"Date","Allegany","Anne Arundel","Baltimore","Baltimore City","Calvert","Caroline","Carroll","Cecil","Charles","Dorchester","Frederick","Garrett","Harford","Howard","Kent","Montgomery","Prince George's","Queen Anne's","Somerset","St. Mary's","Talbot","Washington","Wicomico","Worcester"
2020-06-27,204,5042,7800,7363,408,315,1104,473,1362,183,2465,10,1090,2490,196,14520,18342,224,86,619,130,684,1058,282
2020-06-28,204,5055,7847,7416,410,315,1105,473,1371,185,2471,11,1096,2501,198,14607,18414,226,86,620,130,694,1060,282
2020-06-29,204,5092,7929,7498,413,318,1114,478,1383,188,2486,11,1108,2527,199,14675,18505,227,87,633,136,695,1062,286
2020-06-30,205,5109,7985,7546,414,319,1117,479,1393,188,2490,11,1116,2538,198,14737,18572,230,87,637,137,698,1067,286
2020-07-01,205,5134,8040,7605,415,320,1136,480,1399,188,2493,11,1127,2568,200,14803,18645,230,87,639,137,697,1070,289
2020-07-02,205,5179,8105,7701,418,321,1149,486,1416,189,2501,11,1153,2602,201,14899,18731,232,87,646,141,687,1074,289
2020-07-03,206,5200,8183,7789,419,321,1155,487,1426,188,2520,11,1173,2618,200,15021,18861,234,87,651,144,691,1085,291
2020-07-04,208,5239,8234,7857,419,322,1156,490,1430,192,2546,13,1176,2637,200,15082,18940,240,87,652,147,695,1087,292
2020-07-05,210,5261,8285,7897,421,322,1158,494,1437,201,2552,14,1180,2651,203,15129,18998,247,88,654,150,696,1088,296
2020-07-06,210,5290,8335,7960,422,322,1164,498,1441,201,2554,15,1189,2666,203,15163,19040,248,88,659,152,696,1091,297
2020-07-07,210,5305,8381,8000,422,323,1182,505,1451,199,2551,15,1198,2685,204,15332,19182,256,91,662,155,691,1095,301
2020-07-08,212,5341,8443,8071,425,325,1188,512,1473,199,2553,16,1209,2723,204,15400,19285,260,93,666,161,694,1102,306
2020-07-09,212,5391,8497,8155,435,329,1190,514,1483,199,2567,17,1225,2751,203,15503,19456,268,94,673,165,702,1109,309
2020-07-10,213,5423,8581,8249,438,332,1200,518,1496,203,2577,19,1246,2770,204,15568,19510,273,98,679,170,710,1119,314
2020-07-11,216,5471,8675,8367,445,334,1210,526,1502,209,2586,22,1262,2793,204,15623,19598,287,98,689,184,720,1130,316
2020-07-12,216,5514,8797,8489,449,336,1217,527,1517,217,2598,26,1279,2825,204,15727,19713,290,99,700,185,727,1136,321
2020-07-13,218,5562,8892,8566,453,336,1221,529,1528,217,2605,27,1288,2850,205,15780,19773,290,101,708,189,728,1139,322
2020-07-14,220,5619,8990,8689,458,345,1224,531,1534,217,2619,27,1311,2891,205,15883,19956,296,103,721,197,737,1156,331
2020-07-15,222,5683,9153,8835,459,347,1228,536,1552,219,2635,28,1325,2922,208,15986,20099,299,105,730,207,739,1160,339
2020-07-16,224,5735,9261,8998,467,350,1235,538,1567,231,2655,29,1336,2957,211,16056,20191,301,105,739,216,743,1164,355
2020-07-17,227,5813,9376,9141,479,351,1248,542,1583,232,2661,30,1351,2983,215,16153,20302,305,106,753,230,751,1173,366
2020-07-18,232,5902,9517,9284,483,352,1256,550,1593,238,2701,33,1380,3040,218,16251,20425,310,107,764,238,773,1176,383
2020-07-19,237,5955,9723,9428,490,360,1269,553,1609,245,2722,34,1412,3097,221,16372,20589,318,108,773,243,784,1181,408
2020-07-20,239,6003,9828,9505,494,365,1276,559,1619,246,2739,34,1427,3128,223,16433,20690,331,108,779,257,796,1189,417
