"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Montgomery",45.517,185.367,278.15,88.85,131.767,88.9,271.333,190.217,193.1,148.9,192.283,247.667,238.9,139.65,188.917,55.367,53.45,222.217,142.95,39.367,207.483,40.133,201.133,141.567,207.483,104.633,126.767,197.167,107.717,341.067,104.967,45.45,230.983,211.533,258.383,144.383,96.983,122.983,342.467,276.5,331.233,244.383,154.517,198.85,246.083,87.883,22.933,151.15,270.583,68.933,285.067,53.067,211.917,325.867,170.817,217.85,242.95,294.65,229.533,217.35,334.933,194.367,81.567,126.283,313.017,157.55,349.783,0,187.367,199.05,176.4,140.567,230.05,171.733,93.783,259.767,328.05,91.867,121.95,210.383,129.45,236.433,168.65,219.767,61.65,206.4,254.2,129.25,99.5,133.1,68.033,219.183,230.983,127.767,126.3,39.667,313.85,92.867,78.65,214.583,78.067,95.317
"Morgan",168.567,130.55,100.117,211.167,68.333,153.967,101.217,53.033,172.35,51.2,106.317,181.583,84.167,83.067,35.483,158.95,165.1,43.6,75.967,184.517,52.75,157.95,41.6,127.35,52.75,91.517,66.95,142.35,225.517,186.35,111.2,153.183,244.183,224.733,178.05,161.683,141.717,117.633,187.733,121.45,176.5,153.167,276.85,103.233,164.15,109.417,177.783,154.483,115.85,139.067,107.05,167.95,125.183,171.15,73.967,156.567,133.233,139.917,51.767,62.617,180.2,199.117,217.283,94.817,197.183,199.633,195.067,188.8,0,46.95,207.217,118.45,175.233,53.817,114.967,101.783,173.317,150.167,84.3,55.417,198.117,112.633,69.217,187.75,183.967,62.933,144.5,151.567,221.833,106.667,208.283,43.1,53.383,250.1,118.4,192.133,154.633,213.5,126.45,128.017,200.383,108.367
"Moultrie",171.867,88.767,129.65,214.467,85.45,157.267,115.683,86.083,159.833,65.683,61.8,151.05,79,66.333,14.633,173.417,179.567,72.2,61.65,187.8,49.117,166.55,78.167,130.65,49.117,107.617,81.433,100.55,228.817,181.167,114.483,158.117,201.217,196.817,169.5,164.967,145.017,132.117,182.55,119.733,171.333,145.033,280.15,60.1,151.733,123.883,182.717,157.783,110.667,142.367,129.6,171.233,112.583,165.967,31.183,118.517,128.067,134.75,81.3,57.433,175.033,179.95,231.767,92.117,192,202.933,189.883,199.617,46.45,0,210.5,121.75,133.433,39.717,118.25,96.6,168.15,153.45,82.65,23.217,201.417,107.467,36.65,145.95,187.267,30.717,139.317,154.867,225.133,109.967,219.783,84.683,82.917,253.4,121.683,206.617,153.95,216.8,140.933,115.25,203.683,111.65
"Ogle",151.767,157.25,296.25,176.367,162.25,114.817,289.433,207.867,87.867,166.567,177.317,184.9,257,149.15,207.017,202.75,200.517,240.333,152.45,149.167,225.583,164.083,219.233,80.317,225.583,163.683,186.5,166.65,107.7,360.117,127.967,151.2,89.7,84.65,196.167,45.7,123.95,221.183,361.5,294.6,350.283,198.15,146.917,186.367,195.517,206.683,163.633,63.083,267.417,124.1,303.167,144.517,196.95,344.917,180.6,206.85,227.983,313.7,247.633,235.45,353.983,67.483,215.25,133.667,298.05,18.883,368.833,175.983,205.483,208.55,0,91.417,135.633,185.283,146.583,259.967,347.1,116.267,131.45,228.5,57.85,221.467,178.15,101.933,149.167,216.167,239.233,96.183,158.867,116.617,181.683,237.283,249.083,165.317,107.6,187.233,332.9,99.767,201.9,199.617,165.583,136.333
"Peoria",109.483,81.517,207.35,152.1,73.35,62.6,200.533,118.967,65.6,77.667,88.417,143.8,168.1,60.25,118.117,145.783,142.4,151.433,63.55,125.433,136.683,105.967,130.333,13.517,136.683,74.783,97.6,93.3,111.683,271.217,41.117,97.55,137.483,118.033,154.517,47.833,47.967,132.283,272.6,205.717,261.383,140.517,166.2,97.467,142.233,115.7,121.883,40.65,178.517,80,214.267,108.867,108.05,256.017,91.7,114,139.083,224.8,158.733,146.55,265.083,99.75,184.4,44.767,209.15,85.783,279.933,140.833,116.583,119.65,93.367,0,132.3,96.383,57.683,171.067,258.2,52.6,42.55,139.6,84.283,132.567,89.25,93.517,124.9,127.267,150.333,37.733,155.533,27.717,157.417,148.383,160.183,169.3,21.55,156.417,244,103.75,128.283,110.717,141.317,49.483
"Perry",204.3,50.017,259.467,246.917,156.933,183,246.067,183.783,84.1,141.683,99.033,63.567,206.35,120.283,149.583,238.8,235.417,206.783,133.433,220.25,178.3,198.983,187.383,133.55,178.3,167.8,157.9,57.617,196.317,265.2,146.933,190.567,88.05,78.033,61.367,129.517,168.367,208.583,266.583,231.95,255.367,83.417,249.217,108.083,80.783,200.35,215.15,130.683,178.95,174.817,259.967,203.683,112.1,250,105.183,97.117,132.267,218.767,216.667,186.617,259.05,72.35,277.433,111.817,201.3,133.15,273.917,232.05,174.517,134.95,136.283,131.483,0,137.05,150.7,175.117,252.167,173,124.75,157.717,157.917,134.767,115.833,39.417,219.717,140.5,142.483,157.917,247.5,121.217,252.233,206.317,218.117,253.933,135.217,249.433,237.967,188.383,217.4,114.767,236.133,144.1
"Piatt",148.817,91.817,146.517,191.417,51.817,134.217,138.667,63.65,160.4,36.65,77.933,154.117,106.233,48.817,46.767,144.383,150.55,90.6,43,164.767,74.817,145.95,68.817,107.6,74.817,75,52.4,103.6,205.767,208.417,91.433,136.683,204.267,199.867,164.817,141.933,121.967,103.083,209.8,143.85,198.567,150.817,257.1,81.283,152.533,94.867,161.267,134.733,137.917,119.317,153.45,148.2,118.367,193.2,53.55,124.3,149.4,161.983,97.917,84.683,202.267,180.267,202.733,77.65,219.467,179.883,217.133,179.017,55.75,41.283,187.45,98.7,136.483,0,95.217,123.833,195.383,130.4,68.183,64.233,178.367,134.7,30.433,149.017,164.217,64.817,160.65,131.817,202.083,86.917,193.733,87.567,99.35,230.35,98.65,177.583,181.183,193.75,111.9,121.033,180.633,88.6
"Pike",86.033,102.233,203.617,128.65,62.333,71.45,196.8,115.233,109.967,73.933,109.15,164.533,164.367,56.517,114.383,103.583,100.217,147.7,59.817,101.983,132.95,63.783,126.6,64.967,132.95,37.217,73.717,114.033,145.817,266.55,22.933,55.35,181.85,162.4,175.25,99.283,59.2,84.617,267.933,201.983,256.7,161.25,194.333,115.717,162.967,73.517,79.95,92.1,199.25,56.55,210.533,85.417,128.783,251.333,87.683,134.717,159.817,220.117,155,142.817,260.4,144.133,142.217,43.15,229.883,137.25,275.267,96.85,112.85,115.917,144.817,56.067,146.917,92.65,0,176.633,253.517,67.633,38.817,135.867,126.433,153.3,85.517,136.633,101.45,123.267,171.067,82.667,139.317,49.967,133.217,144.65,156.45,167.567,48.667,114.217,239.317,130.983,86.1,131.45,117.867,21.217
"Pope",232.9,127.933,121.833,275.5,137.2,218.3,96.067,140.017,205.833,120.067,86.75,135.267,53.683,124.4,87.867,227.8,233.967,85.45,135.8,248.833,55.383,227.567,129.167,180.217,55.383,160.383,135.817,129.867,278.383,135.567,175.517,219.15,240.383,234.017,131.733,214.533,206.05,186.5,136.95,90.95,125.717,106.833,332.9,83.683,117.817,178.267,243.75,207.35,33.367,203.4,113.483,232.267,77.383,120.35,90.817,104.967,86.917,89.133,99.55,43.333,129.417,217.15,286.15,151.5,125.95,252.483,144.283,260.65,100.283,95.683,260.067,171.3,172.6,122.683,179.283,0,122.533,214.483,140.717,73.317,250.983,66.317,115.9,183.15,248.3,80.183,87.783,204.433,286.167,163,277.15,121.033,101,314.417,177,261,108.333,270.45,195.317,80.217,264.717,172.683
"Pulaski",310.2,215.483,177.75,352.8,209.967,295.6,154.767,212.783,293.383,192.833,191.25,196.667,128.617,228.883,160.633,300.567,306.717,158.217,217.6,326.133,128.15,299.583,201.933,267.767,128.15,233.15,208.583,217.417,365.917,90.317,252.817,294.817,291.983,295.167,193.133,302.083,283.35,259.267,62.617,117.467,52.617,168.233,418.483,188.167,179.217,251.033,319.417,294.9,107.85,280.7,167.5,309.567,153.083,30.917,195.317,179.65,137.567,40.383,172.317,117.517,45.5,299.317,358.917,236.433,96.817,340.033,91.1,330.417,173.05,168.45,347.617,258.85,251.417,195.45,256.583,123.75,0,291.783,225.933,146.083,338.533,139.967,205.317,265.317,325.6,163.217,136.017,291.983,363.467,250.55,349.917,193.8,173.767,391.733,260.017,333.767,107.55,355.133,268.083,156.133,342.017,249.983
