"","Adjuntas","Aguada","Aguadilla","Aguas Buenas","Aibonito","Anasco","Arecibo","Arroyo","Barceloneta","Barranquitas","Bayamon","Cabo Rojo","Caguas","Camuy","Canovanas","Carolina","Catano","Cayey","Ceiba","Ciales","Cidra","Coamo","Comerio","Corozal","Culebra","Dorado","Fajardo","Florida","Guanica","Guayama","Guayanilla","Guaynabo","Gurabo","Hatillo","Hormigueros","Humacao","Isabela","Jayuya","Juana Diaz","Juncos","Lajas","Lares","Las Marias","Las Piedras","Loiza","Luquillo","Manati","Maricao","Maunabo","Mayaguez","Moca","Morovis","Naguabo","Naranjito","Orocovis","Patillas","Penuelas","Ponce","Quebradillas","Rincon","Rio Grande","Sabana Grande","Salinas","San German","San Juan","San Lorenzo","San Sebastian","Santa Isabel","Toa Alta","Toa Baja","Trujillo Alto","Utuado","Vega Alta","Vega Baja","Vieques","Villalba","Yabucoa","Yauco"
"San Juan",136.7,138.26,131.81,37.71,72.65,152.106,79.474,96.57,58.688,55.34,16.998,184.539,33.728,93.416,26.904,20.686,14.643,53.874,66.972,64.122,54.423,99.317,42.601,38.573,-1,29.998,57.822,71.706,156.649,90.856,139.748,15.646,36.573,91.105,182.561,58.281,114.491,96.144,105.998,43.283,177.894,106.401,134.675,51.775,38.34,50.194,53.405,138.881,80.029,158.767,132.242,60.468,76.185,33.531,77.519,77.225,138.459,118.543,104.503,148.154,38.745,163.678,80.477,173.416,0,42.696,121.433,96.199,29.757,27.95,21.021,105.547,38.124,40.271,-1,116.401,72.13,147.225
"San Lorenzo",115.396,169.383,162.933,24.775,51.346,181.905,110.597,41.758,89.811,59.103,48.121,163.235,10.408,124.539,30.433,43.782,45.766,32.57,48.565,95.245,33.119,78.013,43.208,69.696,-1,61.121,56.018,102.829,135.345,69.552,118.444,29.153,11.52,122.228,161.257,18.803,145.614,128.96,84.694,8.854,156.59,137.524,165.798,12.291,37.648,63.555,84.528,164.41,40.551,170.557,163.365,91.591,36.707,64.654,108.642,33.987,117.155,97.239,135.626,179.277,37.465,142.374,59.173,152.112,43.411,0,152.556,74.895,60.88,59.073,30.191,136.67,69.247,71.394,-1,95.097,32.652,125.921
"San Sebastian",47.876,25.358,24.507,147.451,122.076,26.492,44.505,135.25,65.376,126.633,109.562,59.947,143.469,31.166,141.362,135.144,110.872,163.615,181.43,84.853,164.164,106.294,126.292,101.538,-1,100.595,172.28,74.261,89.3,129.536,97.67,120.658,146.314,33.31,53.991,168.022,27.58,67.098,82.919,153.024,68.011,15.279,14.809,161.516,152.798,164.652,70.381,28.055,156.004,45.594,15.834,93.606,185.926,114.85,110.657,141.537,109.361,73.345,29.89,35.252,153.203,72.818,108.682,67.462,123.99,152.437,0,102.843,99.762,100.525,130.762,44.115,89.056,82.381,-1,93.322,181.871,89.681
"Santa Isabel",54.261,132.383,137.26,72.466,32.68,120.77,100.083,45.873,142.981,38.878,101.291,102.1,64.203,114.497,103.17,96.952,98.936,48.008,127.354,75.173,56.222,16.898,66.356,64.317,-1,114.291,134.807,107.647,74.21,40.159,57.309,82.644,75.884,112.186,100.122,97.592,135.572,67.825,23.559,82.594,95.455,86.47,116.047,91.086,121.842,133.696,137.698,103.275,66.627,109.422,138.028,61.487,115.496,60.74,42.714,52.16,56.02,26.338,125.584,131.028,122.247,81.239,13.045,90.977,96.581,74.354,101.502,0,114.05,112.243,83.682,74.424,122.417,124.564,-1,33.962,75.644,64.786
"Toa Alta",101.84,116.931,110.481,55.507,48.25,130.777,58.145,114.367,37.359,35.535,14.738,151.791,51.525,72.087,49.418,43.2,18.928,71.671,89.486,42.793,36.98,58.852,26.53,13.199,-1,10.455,80.336,50.377,174.446,108.653,157.545,28.714,54.37,69.776,145.835,76.078,93.162,74.815,123.795,61.08,159.855,85.072,113.346,69.572,60.854,72.708,32.076,117.552,97.826,137.438,110.913,39.139,93.982,15.799,56.19,95.022,156.256,136.34,83.174,126.825,61.259,181.475,98.274,159.306,32.046,60.493,100.104,113.996,0,8.407,38.818,84.218,10.792,18.942,-1,134.198,89.927,165.022
"Toa Baja",102.016,117.107,110.657,54.765,89.705,130.953,58.321,113.625,37.535,43.034,16.876,151.967,50.783,72.263,48.676,42.458,18.186,70.929,88.744,42.969,71.478,116.372,35.341,17.026,-1,2.728,79.594,50.553,173.704,107.911,156.803,27.972,53.628,69.952,146.011,75.336,93.338,74.991,123.053,60.338,160.031,85.248,113.522,68.83,60.112,71.966,32.252,117.728,97.084,137.614,111.089,39.315,93.24,23.298,56.366,94.28,155.514,135.598,83.35,127.001,60.517,180.733,97.532,159.482,31.304,59.751,100.28,113.254,8.21,0,38.076,84.394,16.971,19.118,-1,133.456,89.185,164.28
"Trujillo Alto",123.593,149.394,142.944,24.603,59.543,163.24,90.608,83.463,69.822,66.474,28.132,171.432,20.621,104.55,14.099,7.888,25.777,40.767,53.942,75.256,41.316,86.21,43.036,49.707,-1,41.132,44.792,82.84,143.542,77.749,126.641,13.357,23.434,102.239,169.454,45.142,125.625,107.278,92.891,30.144,164.787,117.535,145.809,38.636,25.31,37.164,64.539,172.607,66.89,178.754,143.376,71.602,63.046,44.665,88.653,64.118,125.352,105.436,115.637,159.288,25.715,150.571,67.37,160.309,22.721,29.557,132.567,83.092,40.891,39.084,0,116.681,49.258,51.405,-1,103.294,58.991,134.118
"Utuado",21.753,89.16,82.71,130.491,94.332,103.006,29.902,107.506,48.416,100.53,92.602,120.03,126.509,44.316,124.402,118.184,93.912,109.641,164.47,67.893,117.855,78.55,109.332,84.578,-1,83.635,155.32,37.466,92.14,101.792,75.239,103.698,129.354,42.005,118.052,151.062,65.391,23.593,55.175,136.064,113.385,28.919,57.193,144.556,135.838,147.692,53.421,61.399,128.26,109.667,58.327,76.646,168.966,97.89,93.697,113.793,41.677,45.601,55.403,99.054,136.243,99.169,80.938,108.907,107.03,135.477,43.951,75.099,82.802,83.565,113.802,0,72.096,65.421,-1,65.578,164.911,82.716
"Vega Alta",91.328,106.419,99.969,63.676,98.616,120.265,47.633,122.536,26.847,45.644,25.787,141.279,59.694,61.575,57.587,51.369,27.097,79.84,97.655,32.281,80.389,73.955,37.35,12.678,-1,16.82,88.505,39.865,182.615,116.822,165.714,36.883,62.539,59.264,135.323,84.247,82.65,64.303,131.964,69.249,149.343,74.56,102.834,77.741,69.023,80.877,21.564,107.04,105.995,126.926,100.401,28.627,102.151,25.908,45.678,103.191,164.425,115.176,72.662,116.313,69.428,154.15,106.443,148.794,40.215,68.662,89.592,122.165,10.82,13.264,46.987,73.706,0,8.046,-1,74.338,98.096,173.191
"Vega Baja",83.607,98.698,92.248,68.407,103.347,112.544,39.912,127.267,19.126,53.167,30.518,133.558,64.425,53.854,62.318,56.1,31.828,84.571,102.386,24.56,85.12,65.468,47.248,20.605,-1,21.551,93.236,32.144,153.994,121.553,137.093,41.614,67.27,51.543,127.602,88.978,74.929,56.582,136.695,73.98,141.622,66.839,95.113,82.472,73.754,85.608,13.843,99.319,110.726,119.205,92.68,20.14,106.882,35.806,37.191,107.922,103.531,107.455,64.941,108.592,74.159,146.429,111.174,141.073,44.946,73.393,81.871,126.896,20.718,21.481,51.718,65.985,8.123,0,-1,66.617,102.827,144.57
"Vieques",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
"Villalba",44.805,122.927,127.804,93.497,39.298,111.314,90.627,66.904,64.391,32.654,122.322,92.644,85.234,105.041,124.201,117.983,119.967,69.039,148.385,41.732,77.253,22.152,48.759,56.821,-1,84.562,155.838,48.436,64.754,61.19,47.853,103.675,96.915,102.73,90.666,118.623,126.116,32.465,11.248,103.625,85.999,77.014,106.591,112.117,142.873,154.727,54.218,93.819,87.658,99.966,128.572,48.345,136.527,53.244,29.572,73.191,46.564,26.648,116.128,121.572,143.278,71.783,40.336,81.521,117.612,95.385,92.046,34.497,83.729,133.274,104.713,64.968,73.023,64.111,-1,0,96.675,55.33
"Yabucoa",117.065,199.083,192.633,54.475,89.415,183.574,140.297,31.402,119.511,88.803,77.821,164.904,44.647,154.239,52.089,58.66,75.466,70.639,42.094,124.945,71.188,79.682,72.908,99.396,-1,90.821,49.547,132.529,137.014,35.753,120.113,58.853,37.359,151.928,162.926,17.663,175.314,130.629,86.363,30.331,158.259,167.224,195.498,23.932,59.304,57.084,114.228,166.079,9.233,172.226,193.065,121.291,30.236,94.354,138.342,27.113,118.824,98.908,165.326,208.977,71.536,144.043,60.842,153.781,73.111,32.927,182.256,76.564,90.58,88.773,59.891,166.37,98.947,101.094,-1,96.766,0,127.59
"Yauco",54.556,69.681,74.558,124.087,84.32,58.068,100.378,97.494,118.892,90.518,152.912,39.398,115.824,111.086,154.791,148.573,150.557,99.629,178.975,96.777,107.843,68.538,117.977,115.957,-1,165.912,186.428,107.942,11.508,91.78,9.153,134.265,127.505,112.954,37.42,149.213,92.796,68.12,45.163,134.215,32.753,55.062,53.345,142.707,173.463,185.317,123.897,40.573,118.248,46.72,75.326,113.127,167.117,112.38,94.354,103.781,20.844,29.556,99.77,68.326,173.868,18.537,70.926,28.275,148.202,125.975,90.091,54.919,165.671,163.864,135.303,74.719,174.038,135.897,-1,55.566,127.265,0
