"","Adair","Alfalfa","Atoka","Beaver","Beckham","Blaine","Bryan","Caddo","Canadian","Carter","Cherokee","Choctaw","Cimarron","Cleveland","Coal","Comanche","Cotton","Craig","Creek","Custer","Delaware","Dewey","Ellis","Garfield","Garvin","Grady","Grant","Greer","Harmon","Harper","Haskell","Hughes","Jackson","Jefferson","Johnston","Kay","Kingfisher","Kiowa","Latimer","Le Flore","Lincoln","Logan","Love","Major","Marshall","Mayes","McClain","McCurtain","McIntosh","Murray","Muskogee","Noble","Nowata","Okfuskee","Oklahoma","Okmulgee","Osage","Ottawa","Pawnee","Payne","Pittsburg","Pontotoc","Pottawatomie","Pushmataha","Roger Mills","Rogers","Seminole","Sequoyah","Stephens","Texas","Tillman","Tulsa","Wagoner","Washington","Washita","Woods","Woodward"
"Kiowa",207.587,366.63,44.07,585.684,435.738,338.232,96.806,76.44,57.536,437.425,443.267,217.185,284.163,219.709,38.533,243.987,276.655,30.891,156.998,371.775,257.917,242.966,475.587,351.791,181.461,221.227,132.04,414.415,456.093,508.957,141.461,95.883,236.107,384.935,108.771,335.766,306.796,0,64.607,101.049,429.283,541.341,164.582,390.258,317.492,192.898,169.104,113.418,72.388,133.454,130.643,182.887,247.747,133.393,230.856,107.606,231.544,281.838,256.426,180.903,4.838,97.917,179.536,98.069,458.149,277.312,112.507,217.359,229.668,591.987,343.043,169.59,153.467,187.541,264.451,209.111,453.883
"Latimer",197.482,395.495,108.677,614.549,464.603,367.097,161.413,141.047,76.59,466.29,472.132,246.05,313.028,248.574,103.14,308.594,341.262,33.715,185.863,400.64,282.2,282.088,504.452,380.656,192.295,285.834,142.874,504.762,484.958,537.822,140.755,31.878,264.972,413.8,173.378,364.631,335.661,64.607,0,37.044,523.478,570.206,229.189,419.123,346.357,182.793,225.858,60.474,71.577,198.061,116.162,242.796,272.03,162.258,259.721,136.471,260.409,271.733,285.291,237.657,60.18,162.524,208.401,105.346,487.014,267.207,155.703,228.662,294.275,656.594,461.2,198.455,143.362,244.295,358.684,237.976,482.748
"Le Flore",202.721,431.437,147.109,650.491,500.545,403.039,199.845,179.479,100.841,502.232,493.742,281.992,348.97,270.184,141.572,347.026,379.694,72.147,233.912,436.582,287.439,287.327,540.394,402.266,192.953,324.266,172.148,540.704,520.9,573.764,159.659,9.812,300.914,435.41,211.81,386.241,371.603,103.039,38.793,0,559.42,606.148,267.621,466.105,382.299,188.032,264.29,50.604,95.255,236.493,121.401,305.083,277.269,198.2,295.663,172.747,282.019,276.972,306.901,276.089,98.612,200.956,244.343,134.62,522.956,272.446,194.135,233.901,332.707,695.026,497.142,216.954,148.601,329.954,394.626,273.918,518.69
"Lincoln",520.386,175.368,390.609,315.802,115.967,255.74,367.154,378.611,482.778,101.538,352.211,299.367,317.931,441.191,390.881,195.327,163.059,497.137,425.655,182.581,534.557,518.722,214.807,360.742,514.434,251.365,472.093,63.066,231.04,309.342,480.378,553.68,267.852,398.957,346.252,464.199,303.511,429.194,522.426,558.846,0,325.945,307.995,293.663,351.26,512.235,262.088,540.562,461.578,300.199,487.54,272.4,524.387,404.48,274.632,432.305,453.041,588.861,420.943,257.78,434.032,335.925,326.12,440.893,152.979,586.04,354.935,495.23,199.179,723.768,95.516,445.346,502.925,254.169,188.727,294.803,254.268
"Logan",491.682,276.596,519.856,54.053,196.684,204.102,549.866,542.039,529.812,217.207,201.422,336.843,283.757,373.351,497.56,406.426,395.708,544.171,416.155,205.361,502.631,440.538,97.858,228.253,685.525,473.576,636.104,249.538,117.352,79.919,469.18,600.714,309.981,264.952,496.26,321.4,250.121,539.822,569.46,605.88,312.604,0,494.413,183.501,272.383,483.531,367.647,587.596,508.612,452.33,491.799,355.668,492.461,451.514,312.108,473.712,385.201,560.157,332.434,392.529,544.661,478.199,373.154,602.133,159.722,557.336,401.969,466.526,388.619,989.836,345.396,413.42,477.01,359.652,314.958,341.837,87.488
"Love",425.941,275.231,121.107,539.674,389.728,292.222,71.6,90.177,222.379,391.415,431.699,204.118,238.153,346.746,134.427,120.304,152.403,195.733,331.21,325.765,440.112,424.277,429.577,321.206,218.88,56.644,169.459,309.817,410.083,462.947,306.304,260.725,187.498,373.367,64.847,369.754,260.786,164.842,229.449,265.891,307.953,495.331,0,344.248,271.482,357.741,127.623,278.261,237.231,86.901,295.486,146.049,429.942,250.96,184.784,272.449,358.596,494.416,326.498,134.263,169.68,94.764,173.827,171.166,412.139,491.595,173.333,400.785,135.1,499.59,214.852,350.901,318.31,146.515,214.256,199.581,407.873
"Major",329.371,142.174,368.75,227.826,190.595,52.286,398.76,390.933,378.706,192.282,58.704,185.737,124.759,211.04,346.454,255.32,261.286,393.065,253.844,105.589,340.32,280.623,129.838,65.942,534.419,322.47,484.998,230.754,110.344,151.099,306.869,461.258,158.875,105.45,345.154,184.362,102.612,388.716,418.354,466.424,293.82,183.483,343.307,0,100.999,321.22,216.541,448.14,357.506,301.224,329.488,204.562,330.15,300.408,161.002,311.401,222.89,397.846,170.123,241.423,393.555,327.093,222.048,451.027,175.129,395.025,250.863,304.215,237.513,838.73,246.129,251.109,314.699,208.546,180.536,190.731,96.025
"Marshall",267.294,209.173,295.836,316.538,255.685,105.293,326.109,318.019,305.792,257.372,142.746,119.413,34.341,148.963,273.54,224.389,252.948,320.151,157.34,170.679,278.243,225.431,206.441,56.854,461.505,291.539,412.084,295.844,186.947,239.811,244.792,376.694,86.224,90.133,272.503,133.094,61.995,315.802,345.44,381.86,350.521,272.195,270.656,100.874,0,259.143,143.89,363.576,284.592,228.573,267.411,131.911,268.073,227.494,88.088,249.324,160.813,335.769,93.403,168.772,320.641,254.179,149.134,378.113,237.483,332.948,177.949,242.138,206.582,766.079,288.243,189.032,252.622,135.895,185.727,117.817,184.737
"Mayes",16.291,373.834,237.045,527.22,442.942,345.436,289.781,269.415,135.634,444.629,346.622,220.858,264.13,123.064,231.508,385.008,413.567,187.29,90.831,378.979,85.904,114.215,434.662,255.146,338.836,433.691,289.415,483.101,415.168,459.567,80.298,182.376,244.562,288.29,301.746,239.121,289.166,192.974,182.344,187.542,511.14,482.877,357.557,318.985,258.903,0,291.012,169.258,120.995,300.981,67.181,279.033,78.575,159.116,239.311,128.885,134.899,90.542,159.781,315.894,197.813,294.947,213.77,255.444,465.353,86.016,208.073,37.031,367.201,784.962,448.862,70.392,42.482,283.017,346.346,226.069,395.419
"McClain",299.355,148.645,152.453,413.088,263.142,165.636,183.454,174.636,207.479,264.829,305.113,77.532,111.567,220.16,130.157,132.534,163.909,199.361,204.624,199.179,313.526,297.691,302.991,194.62,288.898,143.884,239.477,246.614,283.497,336.361,259.347,257.091,60.912,246.781,129.861,243.168,134.2,168.47,225.815,262.257,261.482,368.745,128.014,217.662,144.896,291.204,0,263.019,198.58,85.931,241.567,18.45,303.356,158.507,58.198,186.332,232.01,367.83,199.912,26.087,173.308,110.796,81.054,204.674,285.553,365.009,87.251,274.199,118.215,623.437,199.204,224.315,281.894,19.74,96.65,72.995,281.287
"McCurtain",184.437,413.153,157.873,632.207,482.261,384.755,210.609,190.243,82.557,483.948,475.458,263.708,330.686,251.9,152.336,342.695,443.563,93.601,215.628,418.298,269.155,269.043,522.11,383.982,224.321,335.03,210.243,522.42,502.616,555.48,141.375,45.452,282.63,417.126,222.574,367.957,353.319,113.802,60.247,50.618,541.136,587.864,278.385,447.821,364.015,169.748,263.023,0,76.971,232.162,103.117,286.799,258.985,179.916,277.379,154.463,263.735,258.688,288.617,274.822,118.641,211.72,226.059,176.272,504.672,254.162,183.071,215.617,328.376,705.79,478.858,198.67,130.317,311.67,376.342,255.634,500.406
"McIntosh",135.304,334.385,116.6,553.439,403.493,305.987,169.336,148.97,15.189,405.18,409.551,184.94,251.918,185.993,111.063,336.236,364.795,66.845,124.753,339.53,203.248,203.136,443.342,318.075,218.391,293.757,168.97,443.652,423.848,476.712,69.178,90.053,203.862,351.219,181.301,302.05,274.551,72.529,71.503,95.219,462.368,509.096,237.112,358.013,285.247,120.615,198.754,76.935,0,191.204,58.36,181.188,193.078,101.148,198.611,75.361,197.828,209.555,222.71,265.779,77.368,170.447,147.291,134.999,425.904,205.029,106.099,149.71,318.429,664.517,400.09,132.763,81.184,232.902,297.574,176.866,421.638
"Murray",309.669,227.785,96.048,492.228,342.282,244.776,104.079,97.396,174.199,343.969,384.253,138.437,190.707,229.59,94.743,112.521,145.189,163.947,214.938,278.319,323.84,308.005,382.131,273.76,230.556,123.614,181.135,280.038,362.637,415.501,247.984,228.939,140.052,325.921,49.568,274.017,213.34,133.056,197.663,234.105,294.906,447.885,81.653,296.802,224.036,301.518,80.177,229.739,189.051,0,254.306,98.603,313.67,171.246,137.338,199.071,241.44,378.144,232.077,86.817,137.894,41.364,94.115,146.332,364.693,375.323,93.619,284.513,98.202,577.076,211.577,234.629,277.13,99.069,166.81,130.363,360.427
"Muskogee",81.843,358.713,174.261,536.688,427.821,330.315,226.997,206.631,72.85,429.508,356.09,209.268,248.094,132.532,168.724,360.564,389.123,124.506,96.26,363.858,149.787,149.675,467.67,264.614,276.052,351.418,226.631,467.98,448.176,469.035,34.886,116.248,228.19,297.758,238.962,248.589,273.13,130.19,116.216,121.414,486.696,492.345,294.773,328.453,268.371,67.154,265.225,103.13,58.211,253.051,0,232.359,139.617,103.896,222.939,73.665,144.367,156.094,169.249,290.107,135.029,228.108,171.619,192.66,450.232,151.568,160.143,96.249,342.757,722.178,424.418,79.302,27.723,257.23,321.902,201.194,404.887
"Noble",286.707,140.971,166.236,400.44,250.494,152.988,197.237,188.419,195.926,252.181,292.465,64.884,98.919,207.512,143.94,146.729,175.288,213.144,191.976,186.531,300.878,285.043,290.343,181.972,302.681,162.321,253.26,257.993,270.849,323.713,226.527,298.989,48.264,234.133,154.496,230.52,121.552,182.253,267.735,304.155,272.861,356.097,146.451,205.014,132.248,278.556,18.43,285.871,180.872,104.368,232.849,0,290.708,149.789,45.55,177.614,219.362,355.182,187.264,44.524,187.091,124.579,61.866,218.457,272.905,352.361,78.309,261.551,128.922,641.874,210.583,211.667,269.246,30.495,108.067,60.347,268.639
"Nowata",62.814,385.345,289.425,482.328,454.453,356.947,342.161,321.795,208.257,456.14,275.088,232.369,275.641,132.268,283.888,396.519,425.078,259.913,102.342,390.49,10.801,35.639,443.866,264.35,391.057,445.202,341.636,494.612,424.372,388.033,117.185,271.574,256.073,216.736,336.375,165.499,300.677,245.354,271.542,276.74,522.651,492.081,429.289,328.189,268.107,78.536,302.523,258.456,193.618,312.492,139.804,290.544,0,170.627,250.822,140.396,112.267,95.969,168.985,327.405,250.193,306.458,225.281,307.665,476.864,64.775,219.584,45.006,378.712,837.342,460.373,79.596,125.015,294.528,357.857,237.58,404.623
"Okfuskee",167.228,276.697,154.638,495.751,345.805,248.299,206.427,186.061,122.141,347.492,329.368,127.252,194.23,104.556,132.342,278.548,307.107,136.5,82.858,281.842,182.63,167.679,385.654,237.892,277.854,292.661,228.433,385.964,366.16,419.024,88.054,193.043,146.174,271.036,194.918,221.867,216.863,132.151,161.789,198.209,404.68,451.408,250.7,300.325,227.559,159.077,183.209,179.925,100.941,171.035,103.572,150.343,172.46,0,140.923,30.23,116.391,235.703,142.527,208.091,136.99,165.001,89.603,194.462,368.216,232.882,78.127,142.072,260.741,701.608,342.402,94.303,124.993,175.214,239.886,119.178,363.95
"Oklahoma",247.69,137.155,209.377,356.209,206.263,108.757,240.56,231.56,219.333,207.95,223.633,26.364,54.688,168.495,187.081,147.91,176.469,233.692,152.959,142.3,261.861,246.026,246.112,137.741,375.046,201.02,325.625,246.422,226.618,279.482,207.682,290.235,8.476,171.02,186.954,191.503,77.321,229.343,258.981,295.401,274.042,311.866,185.107,160.783,88.017,239.539,58.341,277.117,198.133,143.024,224.095,46.362,251.691,141.035,0,168.86,180.345,316.165,148.247,83.223,234.182,167.72,62.675,291.654,228.674,313.344,91.49,222.534,130.103,680.53,211.764,172.65,230.229,50.346,109.248,31.358,224.408
"Okmulgee",136.997,303.925,151.093,522.979,373.033,275.527,203.829,183.463,90.866,374.72,337.749,154.48,205.403,114.191,145.556,305.776,334.335,111.371,51.48,309.07,152.399,137.448,412.882,246.273,252.725,319.889,203.304,413.192,393.388,450.694,57.823,168.204,173.402,279.417,215.794,230.248,230.439,107.022,136.66,173.37,431.908,478.636,271.605,310.112,214.444,128.846,210.437,155.086,75.812,198.263,73.341,177.571,142.229,30.23,168.151,0,126.026,205.472,150.908,235.319,111.861,192.229,116.831,169.333,395.444,202.651,105.355,111.841,287.969,699.01,369.63,64.072,94.762,202.442,267.114,146.406,391.178
