"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Kalamazoo",265.033,180.2,35.267,279.633,100.817,181.567,508.267,36.617,220.783,175.633,61.95,139.767,38.9,59.95,217.4,247.383,113.1,140.383,100.9,127.067,69.917,416,53.65,36.3,199.95,126.367,167.133,511.433,173.333,109.867,84.2,540.483,109.7,85.483,79.6,97.183,442.733,133.817,64.283,0,160.667,49.783,526.667,66.95,131.3,216.483,105.617,209.7,131.15,-1,159.983,154.65,413.7,79.367,108.517,359.983,199.95,151.05,138.85,127.667,85.683,250.183,85.45,93.517,152.15,112.65,190.5,544.85,123.117,234.833,23.267,135.367,288.783,186.15,141.8,205.633,24.233,97.133,167.517,57.7,139.4,102.283,90.933,114.7,152.15
"Kalkaska",131.033,79.133,151.433,120.3,172.633,99.933,344.583,168.083,61.45,74.817,200.933,99.467,191.283,201.4,58.083,93.183,94.25,84.067,213.833,107.367,158.733,299.233,170.967,189.017,62.083,147.783,90.567,386.417,36.6,116.417,218,376.817,205.9,173.283,150.5,180.267,318.65,89.517,183.433,161.217,0,116.267,363,196.6,164.067,76.933,224.767,50.667,143.583,-1,199.367,97.783,259.5,162.683,100.35,297.767,62.083,110.4,38.367,223.883,114.817,90.85,144.683,108.333,185.567,130.45,67.217,391.65,69.767,133.983,147.933,233.133,134.6,49.467,120.233,196.583,165.6,163.75,209.717,185.083,139.1,200.9,186.283,203.117,51.4
"Kent",233.883,161.867,39.883,234.7,81.717,164.8,463.333,56.533,175.85,130.7,89.817,94.85,80.067,89.85,172.483,202.45,68.167,103.75,128.167,82.133,55.983,371.067,68.533,77.467,155.033,107.25,124.15,466.5,128.417,85.867,125.367,495.55,129.867,81.4,43.183,88.617,397.817,95.55,91.55,49.667,115.75,0,481.75,85.483,112.183,171.55,132.883,164.767,115.633,-1,146.833,109.733,368.767,70.8,63.583,315.067,155.033,120.667,93.933,147.833,40.75,205.25,40.517,48.583,133.033,67.717,153.3,499.933,78.183,218.05,36.383,157.4,243.867,141.217,122.683,186.533,54.05,78.033,157.833,73.967,120.283,125.4,110.783,127.067,107.217
"Keweenaw",411.067,382.317,519.583,377.183,475.817,403.117,34.133,513.383,331.5,435.1,494.233,420.717,494.467,502.917,338.533,291.483,419.167,387.25,517,410.533,461.9,119.55,474.133,501.95,421.15,450.95,393.733,114.05,395.65,419.583,521.167,66.35,509.083,476.467,472.567,483.433,85,392.683,486.617,526.833,364.2,481.867,0,472.683,467.25,436,527.95,317.45,446.767,-1,502.55,435.583,108.133,465.85,427.233,206.183,421.15,413.567,380.7,527.05,462.167,328.4,453.533,478.183,488.733,424,370.4,81.183,412.967,428.5,513.55,536.317,356.867,352.65,423.4,499.767,531.217,466.917,512.9,487.433,442.283,504.083,489.467,506.283,413.1
"Lake",312.567,227.733,73.333,314.483,148.35,229.1,452.15,90.3,255.633,210.483,25.433,161,86.433,45.033,252.25,282.233,147.95,183.533,148.433,161.917,117.45,359.9,101.183,83.833,234.8,173.9,203.933,442.017,208.183,157.4,131.717,484.367,157.233,133.017,117.867,144.717,386.633,175.333,111.817,65.583,195.517,84.917,470.567,0,178.833,251.333,153.15,244.55,178.667,-1,207.517,175.867,442.567,126.9,143.367,303.883,234.8,200.433,173.7,175.2,120.533,285.033,106.667,128.367,199.683,133.867,233.083,483.35,157.967,282.367,70.433,178.317,323.633,221,189.333,253.167,61.133,144.667,215.033,25.4,186.933,149.817,138.467,162.217,187
"Lapeer",176.333,91.5,138.317,196.85,52.433,92.867,446.583,121.683,195.467,193.967,171.583,176.3,102.767,169.583,206.683,195.183,133.15,96.867,93.467,115.383,71.183,401.233,82.45,110.267,218.3,27.9,105.383,488.417,192.567,94.7,130.45,478.8,85.55,78.55,92.833,77.55,420.65,102.667,95.883,130.283,161.033,110.7,465,176.567,0,235.7,115.9,157.5,55.367,-1,48.133,193.333,361.483,75.133,137.117,399.767,218.3,72.6,147.267,106,135.333,184.333,145.55,153.35,40,172.75,101.8,493.633,128.65,146.133,134.8,115.55,218.45,120.467,52.233,79.633,134.2,42.35,54.717,167.333,45.833,80.55,65.933,82.75,170.483
"Leelanau",206.85,154.967,207.2,193.85,237.65,175.767,418.15,223.85,120.217,69.7,256.7,126.967,247.383,257.15,103.85,166.75,150.45,147.95,285.067,172.383,223.733,372.783,235.45,244.783,31.133,224.2,162.05,459.983,44.5,181.417,283.017,450.367,282.333,238.3,206.267,245.283,392.2,154.533,248.45,216.983,77.7,172.017,436.55,252.367,240.5,0,289.783,124.233,220.017,-1,275.8,108.867,333.05,227.7,156.1,374.933,31.133,175.4,105.35,300.3,170.567,164.4,189,159.8,261.983,159.467,143.05,465.2,125.983,209.8,203.7,309.567,208.15,125.3,196.65,273.017,221.367,233.967,286.15,240.833,215.533,277.333,262.717,279.533,73.783
"Lenawee",249.217,164.4,131.3,269.75,105.667,165.767,508.933,115.283,257.8,244.567,148.417,221.867,76.817,140.267,269.033,257.533,175.883,145.3,22.05,135.45,84.783,463.567,85.8,87.083,268.9,111.067,172.05,550.767,243.167,114.783,44.317,541.15,65.833,79.217,115.417,74.417,482.983,138.733,49.1,107.1,223.367,133.283,527.333,153.4,116,286.3,0,219.833,128.25,-1,120.733,237.333,423.833,69.483,165.567,442.667,268.9,145.5,197.867,57.533,155.9,257.233,168.133,175.917,118.167,195.317,174.683,555.983,179.25,219.017,119.317,51.533,291.35,193.367,125.133,177,111.033,103.367,126.583,144.15,123.583,58.417,56.167,70.833,221.083
"Livingston",114.117,74.817,200.2,83.9,168.3,95.617,298.133,205.883,45.65,123.267,249.7,148.25,186.967,250.167,58.7,46.733,111.667,79.733,209.5,103.033,154.4,252.783,166.633,194.45,109.317,143.45,86.233,339.967,83.833,112.083,213.667,330.35,201.583,168.95,165.067,175.933,272.2,85.183,179.1,209.983,52.383,165.033,316.55,245.367,159.75,124.183,220.45,0,139.267,-1,195.033,145.883,213.033,158.35,119.733,251.317,109.317,106.067,73.2,219.55,154.667,54.45,193.45,157.1,181.233,179.217,62.9,345.183,105.467,130.733,196.7,228.817,88.133,45.15,115.9,192.267,214.367,159.417,205.4,233.85,134.783,196.567,181.967,198.783,101.267
"Luce",158.317,73.483,138.95,178.833,53.067,74.85,428.567,122.333,177.45,175.95,172.217,158.283,103.417,170.217,188.667,177.167,110.967,78.85,106.45,70.533,71.817,383.217,83.083,110.9,200.283,40.467,87.367,470.4,174.55,45.717,131.1,460.783,98.533,79.2,84.75,79.083,402.633,73.8,96.533,130.917,143.017,115.933,446.983,177.217,56.7,217.683,128.883,139.483,0,-1,92,175.317,343.467,75.783,100.65,381.75,200.283,54.583,129.25,116.517,90.517,166.317,145.967,127.1,78.2,173.167,83.783,475.617,110.633,128.117,135.45,125.767,200.433,102.45,23.983,108.617,134.85,42.983,102.35,167.967,36.183,93.533,78.917,95.75,152.467
"Mackinac",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Macomb",212.417,127.583,173.933,232.95,88.05,128.967,482.683,157.317,231.55,230.067,202.233,212.4,130.65,200.233,242.783,231.283,169.25,132.967,98.45,147.217,106.817,437.317,118.083,140.917,254.383,68.517,141.467,524.517,228.667,126.533,144.333,514.9,68.333,102.583,128.467,93.767,456.733,138.767,107.883,160.933,197.117,146.333,501.083,207.233,47.833,271.8,120.867,193.583,91.45,-1,0,229.433,397.583,108.233,173.217,435.85,254.383,108.7,183.367,80.383,171.433,220.417,181.183,188.983,26.6,208.383,137.883,529.733,164.75,182.217,173.133,89.95,254.55,156.567,88.317,87.55,164.85,77.983,37.117,197.983,89.75,65.617,76.8,69.417,206.583
"Manistee",215.017,146.35,146.733,217.217,186,156.95,414.883,160.85,156.817,42.383,179.217,35.883,184.383,197.217,140.45,183.583,104.7,102.217,232.467,126.633,160.283,322.633,172.833,181.783,84.483,178.45,116.3,418.05,85.017,135.683,229.667,447.1,236.583,185.7,147.483,192.917,349.367,108.783,195.85,153.983,98.267,109.017,433.3,174.9,194.75,109.833,237.183,147.6,174.267,-1,230.05,0,349.883,175.1,112.75,266.617,84.483,129.667,75.05,254.567,127.217,187.767,80.683,98.45,216.25,51.15,134.433,451.483,80.233,201.183,140.7,263.817,224.983,122.333,150.9,227.267,158.367,182.317,240.4,163.367,169.783,231.583,216.967,233.8,50.533
"Marquette",307.083,278.333,403.733,273.217,371.833,299.133,88.183,409.417,227.517,331.133,453.233,351.767,390.483,453.7,234.567,187.517,315.2,283.267,413.033,306.567,357.917,96.767,370.167,397.983,317.167,346.967,289.767,140.483,291.683,315.617,417.2,120.4,405.1,372.483,368.6,379.467,89.867,288.717,382.633,413.517,260.233,368.55,106.6,444.983,363.267,332.033,423.967,213.467,342.783,-1,398.567,349.417,0,361.883,323.267,138.317,317.167,309.583,276.717,423.083,358.2,224.417,396.983,360.633,384.767,396.3,266.417,135.25,308.983,324.533,400.233,432.333,252.883,248.667,319.417,395.783,417.9,362.95,408.917,437.367,338.3,400.1,385.483,402.317,309.117
"Mason",208.583,123.75,98.217,226.333,44.383,125.117,446.25,71.8,195.133,181.9,121.033,159.2,49.433,119.017,206.35,194.85,113.217,82.617,65.167,72.783,22.117,400.9,28.117,59.717,206.217,69.917,109.383,488.083,180.5,52.117,63.117,478.467,73.967,10.6,52.75,30.517,420.317,76.05,28.567,79.733,160.7,70.617,464.667,126.017,74.85,223.633,69.9,157.167,74.7,-1,107.75,174.667,361.167,0,102.9,380,206.217,93.3,135.2,91.95,93.233,196.883,105.45,113.25,95.7,132.65,134.05,493.317,116.583,178.383,91.933,99.633,236.267,133.617,85.35,149.2,83.65,40.7,115.267,116.783,82.95,66.567,55.2,76,158.417
"Mecosta",189.283,110.083,97.767,189.333,111.833,113.017,409.267,126.983,159.167,114.033,147.25,78.167,135.817,147.717,155.8,157.867,15.883,46.483,159.25,34.25,97.917,386.767,114.867,129.95,138.35,121.5,72.383,451.1,111.733,55.617,157.2,441.483,160.717,112.483,64.717,119.467,383.317,36.517,122.633,107.55,99.067,62.583,427.667,142.933,137.783,154.867,163.967,120.167,98.417,-1,173.083,113.6,324.167,101.883,0,330.75,138.35,64.467,71.1,178.683,40.483,159.883,91.017,53.9,159.283,92.7,104.933,456.317,38.3,166.283,94.25,188.25,199.267,96.617,93.95,170.3,111.917,108.15,183.433,131.4,112.817,156.25,141.633,157.917,90.533
"Menominee",345.4,316.65,354.1,311.517,393.367,337.45,187.4,368.2,265.833,310.75,328.733,255.217,391.733,337.433,272.867,225.817,326.483,341.2,439.833,364.9,367.65,88.067,380.2,389.133,352.867,385.283,328.067,189.65,346.567,373.95,409.533,219.617,441.517,393.067,354.85,400.283,121.883,347.05,403.217,361.35,298.533,316.383,205.817,307.183,401.583,378.217,444.55,251.783,381.1,-1,436.867,270.083,139.05,382.467,332.083,0,352.867,367.933,333.067,459.5,346.567,262.733,288.05,312.7,423.067,258.5,304.733,223.067,315.317,362.833,348.05,469.05,291.2,286.983,357.733,434.1,365.717,389.683,447.233,321.933,376.617,437.05,422.433,438.733,311.2
"Michigan Department of Corrections (MDOC)",192.6,140.717,188.983,179.6,218.167,161.517,403.9,205.633,105.967,45.05,238.483,107.483,229.167,238.95,89.6,152.5,130.967,128.467,265.583,152.9,204.267,358.533,216.5,226.567,0,204.717,142.567,445.733,30.233,161.95,263.533,436.117,262.85,218.817,188.05,225.8,377.95,135.05,228.967,198.767,63.45,153.817,422.3,234.15,221.017,31.183,270.3,109.967,200.533,-1,256.317,84.217,318.8,208.217,137.9,350.283,0,155.933,91.1,280.833,152.367,150.15,164.35,140.317,242.517,134.817,128.8,450.95,106.5,195.55,185.483,290.083,193.9,111.05,177.167,253.533,203.15,214.483,266.667,222.633,196.05,257.85,243.233,260.067,53.967
