"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Monroe",131.467,363.667,83.483,44.833,99.833,214.9,283.117,101.917,88.85,179.583,152.317,151.283,94.2,45.017,188.65,396.133,237.983,345.817,252.383,63.233,152.033,344.05,176.65,68.2,151.8,100.383,206.4,29.5,304.783,140.283,96.15,178.3,238.983,92.55,186.783,42.45,128.817,337.4,194.117,56.9,170.683,21.267,232.583,0,221.817,346.717,138.133,295.617,29.583,181.083,40.383,60.467,33.35,166.1,374.15,71.65,55.517,169.517,144.767,68.15,188.983,194.817,326.383,123.167,260.933,155.25,301.6
"Nassau",124.567,307.067,202.35,237.983,159.5,310.6,226.517,313.45,196.383,82.967,363.833,113.533,285.2,206.117,42.683,339.55,335.1,284.967,195.8,187.283,307.783,287.467,120.5,259.2,322.183,191.383,302.1,237.933,248.2,225.6,141.4,48.45,182.383,189.3,130.2,253.983,162.8,280.817,137.517,268.433,114.533,230.6,329.717,222.967,0,290.117,258.717,239.017,232.8,276.783,211.517,268.917,227.233,110.083,317.567,283.183,263.967,72.483,228.45,193.233,192.2,89.467,269.8,140.233,202.983,249.4,245.017
"Okaloosa",226.867,17.683,359.033,341.917,361.433,490.45,98.417,417.383,300.317,275.75,467.767,208.567,417.317,310.05,261.883,57.167,513.517,183.133,111.367,338.2,462.833,153.617,205.067,404.95,469.933,295.317,481.95,341.85,54.133,414.083,347.733,250.2,137.233,320.217,172.85,357.9,262.55,37.15,166.967,372.35,195.45,346.5,508.133,349.517,291.867,0,414.117,123.367,336.717,456.633,315.433,372.85,370.1,301.3,35.2,387.1,367.9,274.783,418.567,297.167,261.217,239.05,46.2,312.733,149,430.8,63.483
"Okeechobee",196.217,428.417,88.433,171.567,117.517,111.2,347.867,118.667,156.65,216.567,146.083,216.033,77.883,164.2,225.633,460.883,134.167,410.567,317.133,93.367,50.55,408.8,241.4,87.083,75.367,168.183,102.7,155.9,369.533,64.683,135.917,215.283,303.733,137.833,251.533,151.717,193.567,402.15,258.867,134.567,235.433,148,128.767,140.367,258.8,411.467,0,360.35,156.3,77.383,167.1,184.417,108.7,209.95,438.9,138.933,175.833,206.5,53.283,145.967,253.733,259.3,391.133,167.017,325.683,58.933,366.35
"Orange",173.7,139.483,305.867,288.733,308.267,437.283,24.917,364.2,247.15,222.583,414.6,155.4,364.133,256.867,208.717,171.95,460.35,67.35,57.317,285.017,409.65,83.783,151.9,351.783,416.75,242.133,428.767,288.683,80.617,360.9,294.567,197.033,85.533,267.033,119.683,304.733,209.467,113.217,113.783,319.183,142.267,293.317,454.95,296.333,238.683,122.533,360.95,0,283.55,403.45,262.267,319.667,316.917,248.133,149.983,333.933,314.717,221.6,365.383,243.983,202.933,185.867,102.217,259.55,72.85,377.633,77.433
"Osceola",119.183,351.367,100.533,21.117,116.867,220.55,270.817,94.55,76.567,178.817,144.933,138.983,94.483,32.717,202.983,383.85,236.483,333.517,240.1,80.267,167.583,331.767,164.367,85.817,140.917,88.1,223.433,48.15,292.5,157.317,113.2,191.3,226.683,94.717,174.5,35.083,116.533,325.117,181.817,49.517,158.4,26.783,233.8,29.8,232.95,334.417,155.167,283.317,0,198.117,28.083,42.383,50.383,152.483,361.867,64.267,37.433,186.55,161.8,52.3,179.083,182.533,314.1,133.783,248.65,172.3,289.317
"Palm Beach",240.1,472.3,132.183,220.583,135.6,50.75,391.75,182.133,200.533,234.65,134.833,259.917,154.117,208.083,243.717,504.767,77.333,454.45,361.017,137.25,100.95,452.683,285.283,163.317,118.567,212.067,42.233,199.783,413.417,83.417,179.8,233.367,347.617,181.717,295.417,215.867,237.45,446.033,302.75,210.8,279.317,197.017,71.95,189.4,276.883,455.35,80.733,404.25,205.317,0,216.117,236.217,157.717,225.85,482.783,215.167,231.267,224.583,72.017,189.85,297.617,277.383,435.017,196.517,369.567,61.783,410.233
"Pasco",98.9,331.1,109.55,31.233,125.9,232.7,250.55,106.7,56.283,158.55,157.083,118.717,106.633,12.45,182.7,363.567,248.633,313.25,219.817,89.3,178.1,311.483,144.083,94.267,153.067,67.817,232.467,40.133,272.217,166.35,115.217,171.017,206.417,74.45,154.217,47.233,96.25,304.833,161.55,61.667,138.117,35.817,245.95,38.833,212.683,314.15,164.2,263.05,26.033,207.15,0,62.167,59.417,132.2,341.583,76.417,57.217,179.6,170.833,32.033,156.417,162.25,293.817,113.5,228.367,181.317,269.033
"Pinellas",157.133,389.317,132.6,44.5,148.95,234.467,308.767,108.467,111.833,216.767,158.85,176.933,108.383,70.667,237.75,421.8,250.4,357.35,278.05,112.333,181.5,373.783,202.317,105.15,154.833,118.85,245.033,82.733,330.45,189.383,145.267,229.25,264.633,132.667,212.45,66.567,153.1,363.067,219.767,59.3,196.35,58.867,247.717,61.883,270.9,372.367,184.25,321.267,43.8,230.2,66.033,0,82.467,190.433,399.817,77.483,23.333,218.617,193.867,90.25,197.15,220.483,352.05,171.733,272.467,204.367,327.267
"Polk",152.65,384.833,85.5,66.017,101.85,188.9,304.283,104.017,110.033,181.6,150.3,172.45,63.233,66.183,190.65,417.3,211.967,366.983,273.55,65.233,120.983,365.217,197.817,37.25,120.75,121.55,180.383,58.067,325.967,109.233,98.167,180.317,260.15,94.883,207.95,63.633,149.983,358.567,215.283,78.067,191.85,42.45,206.567,34.817,223.833,367.883,107.083,316.783,50.75,155.067,61.55,81.65,0,168.117,395.333,92.817,76.7,171.517,113.717,82.667,210.167,216,347.567,125.183,282.1,129.25,322.783
