"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Richmond",209.783,98.783,293.483,211.183,133,69.483,153.317,92.133,134.167,130.517,152.933,122.45,194.583,277.817,97.283,311.483,303.033,103.633,97.317,153.233,141.383,142.617,214.333,223.583,152.3,246.017,139.133,249.183,238.917,220.5,292.783,106.85,117.283,98.967,63.117,73,163.233,108.767,178.617,288.567,305.217,209.183,0,189.383,236.167,193.083,194.517,142.6,39.367,215.9,147.55,361.917,115.1,108.2,174.85,255.7,164.167,280.85,65.217,296.017,55.517,96.933
"Rockland",135.033,207.3,114.033,94.283,241.517,154.617,261.833,99.367,66.6,137.333,121.033,99.817,29.717,94.667,255.967,250.733,289.883,148.567,205.817,82.933,117.817,131.067,79.267,173,173.55,117.017,126.333,66.033,55.75,137.9,126.217,263.267,146.75,119.783,201.5,141.983,200.683,163.95,97.867,227.667,125.767,134.6,188.05,0,175.267,133.017,102.933,133.883,193.017,253.35,159.55,182.45,145,91.75,32.85,93.2,115.6,105.183,164.483,116.55,208.5,253.267
"Saratoga",51.95,300.167,180.4,91.467,322.7,193.917,346.033,192.233,150.817,127.2,113.017,184.1,192.167,123.2,278.383,102.433,141.583,169.8,298.683,150.35,154.533,102.683,94.85,31.183,150.7,91.917,145.6,138.717,131.85,62.667,192.583,287.933,134.15,160.633,229,234.85,222.433,185.183,122.433,71.433,192.133,51.85,236.533,174.25,0,51.05,74.783,108.233,213.1,200.533,137.533,248.817,144.333,184.617,158.033,101.617,109.033,124.7,246.617,182.917,255.417,277.933
"Schenectady",25.35,258.383,150.067,49.683,279.55,150.767,302.883,150.467,109.05,84.05,69.85,140.95,149.9,92.867,235.233,126.85,166,126.65,256.917,108.567,111.383,59.533,53.083,49.6,107.55,61.583,102.45,108.383,101.517,36.083,162.25,244.783,91,117.483,185.85,193.083,179.283,142.033,78.217,103.783,161.8,24.767,193.383,132.483,51.383,0,33.017,65.083,169.95,219.717,94.383,218.483,101.183,142.833,116.25,71.283,65.883,96.417,203.467,152.583,212.267,234.783
"Schoharie",41.067,240.983,168.133,18.133,275.2,151.483,295.533,133.067,91.65,84.767,69.283,132.133,135.567,110.917,235.933,148.1,187.233,127.35,239.517,91.167,102.733,60.233,35.683,70.35,108.25,73.433,94.467,126.45,119.583,51.8,180.3,245.5,91.717,118.183,186.567,175.683,180,142.733,60.817,125.033,179.85,40.483,194.083,105.833,72.617,30.367,0,65.783,170.65,220.417,95.1,236.55,101.883,125.433,98.867,89.35,53.1,109.6,198.183,170.65,212.983,235.483
"Schuyler",81.15,225.633,205.85,82.55,231.217,102.433,254.55,151.6,110.183,29.167,19.017,92.6,151.05,148.65,186.883,183.017,199.883,78.317,224.15,109.15,55.95,7.8,86.167,94.95,52.667,117.383,47.7,164.183,157.317,91.867,218.033,196.45,42.667,69.133,137.517,170.367,132.467,93.7,44.7,159.933,217.583,80.55,145.033,132.283,107.533,64.45,65.883,0,121.6,164.833,39.5,274.267,52.833,143.983,119.033,127.067,30.267,152.217,155.133,208.383,163.933,186.45
"Seneca",185.267,117.783,296.8,186.683,152,42.5,172.317,93.283,133.667,106.017,128.433,97.933,197.9,252.783,109.433,286.967,278.517,79.133,116.317,131.633,116.883,118.1,189.833,199.067,127.783,221.5,114.617,252.483,242.217,196,296.083,119,92.783,74.467,54.767,59.317,138.717,84.25,154.1,264.067,308.533,184.683,40.917,192.7,211.667,168.567,170,118.083,0,191.4,123.05,365.217,90.6,105.75,178.15,231.2,139.667,256.333,38.017,299.317,84.317,109
"St. Lawrence",225.667,294.317,354.1,237.533,299.9,171.133,323.233,229.833,193.583,165.133,179.283,163.083,257.817,296.9,255.583,156.467,89.5,135.7,292.85,195.1,180.667,168.967,240.683,198.433,120.483,265.633,180.533,312.433,302.133,236.367,356,265.15,156.567,139.617,195.95,239.067,73.317,135.017,204.967,180.383,365.833,225.55,213.733,252.617,201.417,219.433,220.867,165.95,190.3,0,135.4,422.517,150.25,222.2,238.067,275.317,190.517,298.417,223.817,356.617,232.633,255.15
"Steuben",109.417,227.2,234.133,110.833,232.783,104,256.117,160.933,124.683,38.433,52.583,94.183,170.05,176.933,188.467,177.533,175.3,79.883,225.733,118.3,62.3,42.25,113.983,123.217,24.95,145.65,53.367,192.45,185.583,120.15,246.317,198.017,38.883,70.717,139.083,171.95,103.883,94.233,78.25,169.75,245.867,108.833,146.617,160.383,135.817,92.717,94.15,39.233,123.183,134.517,0,302.55,54.417,153.3,138.033,155.35,63.817,180.483,156.7,236.65,165.5,188.017
"Suffolk",205.75,379.9,82.85,217.5,414.117,327.217,434.433,271.967,239.2,293.15,278.95,272.417,190.033,150.833,428.567,323.7,362.833,321.167,378.417,259.15,300.5,268.633,242.117,249.55,316.65,174.867,309,128.683,145.35,206.783,84.967,435.867,300.1,292.383,374.1,314.583,373.283,336.55,280.533,300.633,73.883,205.317,360.65,182.667,248.217,216.5,233.567,274.183,365.617,421.783,303.483,0,310.283,264.35,209.867,167.717,275.383,151.15,337.083,75.4,381.1,425.867
