"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Kalamazoo",451.139,345.893,49.212,465.607,171.054,340.842,694.981,34.058,373.513,305.94,88.714,243.582,57.394,73.849,370.96,454.186,192.508,256.757,164.981,209.012,117.657,561.179,89.806,45.851,326.751,227.661,300.649,704.234,306.87,193.243,125.296,737.823,200.574,144.023,133.773,167.398,602.778,243.991,105.287,0,297.557,82.94,709.215,106.387,241.418,354.769,166.62,375.148,226.715,-1,264.547,274.715,728.757,136.641,183.368,490.49,326.751,248.339,254.805,230.677,138.49,418.899,147.484,139.571,274.507,204.433,366.216,749.972,217.451,410.299,27.972,233.569,512.59,324.168,239.782,351.255,24.585,174.982,301.665,82.871,252.771,184.411,157.498,193.124,272.169
"Kalkaska",186.139,129.289,279.885,168.63,300.345,163.025,536.007,299.251,76.536,95.55,358.465,150.784,347.811,362.371,73.983,145.248,141.423,138.081,385.838,173.476,281.775,471.244,310.498,348.255,69.144,254.437,142.722,608.88,39.048,204.4,376.956,578.849,385.514,302.294,242.194,320.328,506.634,152.874,329.235,297.506,0,215.929,550.241,371.553,298.334,86.555,390.568,66.236,238.199,-1,358.45,126.677,419.819,290.085,159.307,473.98,69.144,188.865,46.887,415.617,195.697,121.922,239.264,182.263,333.699,199.023,107.117,602.355,106.194,192.04,276.22,422.626,203.652,65.51,212.156,321.136,312.244,299.038,386.971,344.961,237.634,373.849,344.51,371.75,66.533
"Kent",389.493,263.518,64.136,384.323,144.018,266.383,613.697,83.502,292.229,224.656,145.598,162.298,144.049,146.622,289.676,372.902,111.224,159.285,229.838,127.728,100.919,479.895,105.13,132.506,245.467,200.625,210.7,622.95,225.586,118.738,211.951,656.539,252.838,143.203,53.905,161.751,521.494,145.241,170.144,81.757,216.273,0,627.931,158.686,214.382,273.485,231.477,293.864,161.991,-1,272.222,193.431,647.473,130.994,102.084,409.206,245.467,173.643,173.521,282.941,57.206,337.615,66.2,58.287,247.471,123.149,254.619,668.688,136.167,335.84,60.471,301.641,431.306,242.884,212.746,324.219,96.495,147.946,303.019,132.094,225.735,241.104,211.765,239.074,190.885
"Keweenaw",591.306,620.481,655.529,549.456,791.537,654.217,31.108,850.959,472.663,634.505,796.368,500.015,839.003,819.145,481.607,423.054,676.028,629.273,877.03,664.668,772.967,151.268,801.69,847.711,615.711,745.629,633.914,155.875,585.615,695.592,868.148,73.95,876.706,793.486,748.123,811.52,106.436,644.066,820.427,709.281,549.177,627.704,0,773.327,789.526,633.122,881.76,484.636,729.391,-1,849.642,519.702,130.954,781.277,684.829,267.075,615.711,680.057,603.307,906.809,733.907,497.466,567.802,591.144,824.891,508.705,598.309,97.456,668.094,642.894,687.995,913.818,520.482,556.702,703.348,812.328,724.019,790.23,878.163,795.354,728.826,865.041,835.702,862.942,615.13
"Lake",551.797,446.551,113.306,539.548,271.712,441.5,757.441,138.849,447.454,379.881,26.938,277.725,158.052,50.647,444.901,528.127,266.449,314.51,265.639,282.953,218.315,623.639,190.464,146.509,400.692,328.319,365.925,773.84,380.811,293.901,225.954,800.283,301.232,244.681,215.649,268.056,665.238,300.466,205.945,107.609,371.498,158.223,771.675,0,342.076,428.71,267.278,449.089,327.373,-1,365.205,297.412,746.143,237.299,257.309,552.95,400.692,328.868,328.746,331.335,212.431,492.84,170.181,213.512,375.165,227.13,409.844,831.264,291.392,510.957,126.086,315.513,586.531,398.109,340.44,451.913,110.708,275.64,402.323,23.394,353.429,285.069,258.156,293.782,346.11
"Lapeer",281.805,176.559,263.968,332.042,84.744,171.508,776.192,207.97,352.886,334.175,324.386,305.947,196.014,309.521,368.534,385.433,233.66,184.662,161.352,176.089,130.191,711.429,158.701,204.722,354.986,38.676,188.928,849.065,335.211,140.179,225.372,819.034,161.028,125.922,171.87,117.359,746.819,184.866,177.651,240.707,298.643,215.009,790.426,342.059,0,383.11,185.676,306.395,85.866,-1,66.452,335.689,660.004,138.501,218.268,714.165,354.986,134.599,274.935,154.461,192.6,304.534,278.297,270.25,38.375,335.246,196.882,842.54,236.306,240.965,260.303,173.161,358.511,236.708,92.176,102.603,259.659,74.397,94.184,318.543,56.919,149.363,120.024,147.264,300.404
"Leelanau",273.507,216.657,337.095,252.577,358.96,250.393,619.954,356.461,144.312,82.766,415.675,167.717,417.008,419.581,125.809,229.195,194.151,191.164,447.544,232.091,340.39,555.191,374.912,405.465,33.305,334.705,206.894,692.827,47.86,263.015,435.571,662.796,465.782,360.909,299.404,378.943,590.581,211.489,387.85,354.716,86.557,273.139,634.188,428.763,378.602,0,449.183,150.183,318.467,-1,438.718,134.322,503.766,348.7,216.517,435.044,33.305,247.48,121.827,495.885,252.907,205.869,268.372,209.067,413.967,209.275,194.485,686.302,158.922,279.408,333.43,502.894,287.599,152.878,292.424,401.404,369.454,362.888,467.239,402.171,317.902,454.117,424.778,452.018,84.773
"Lenawee",397.411,292.165,219.365,447.648,125.674,287.114,867.111,165.195,443.805,402.822,249.143,387.879,112.761,226.074,459.453,476.352,287.816,251.192,24.223,223.588,129.66,802.348,114.416,129.479,423.633,174.117,295.084,939.984,403.858,187.678,55.485,909.953,87.328,93.352,187.143,81.157,837.738,238.426,57.758,165.464,389.562,230.282,881.345,266.816,187.874,451.757,0,397.314,201.472,-1,167.115,420.801,750.923,100.694,267.015,636.576,423.633,250.205,343.582,59.346,236.242,420.14,293.57,285.523,155.228,350.519,312.488,933.459,304.953,356.571,198.125,57.474,474.117,352.314,207.782,256.806,184.416,169.104,190.035,243.3,199.043,71.165,57.652,79.878,369.051
"Livingston",158.046,137.816,358.706,118.535,308.872,171.552,470.864,368.294,53.793,151.564,437.286,229.605,356.338,441.192,68.229,80.105,193.363,146.608,394.365,182.003,290.302,406.101,319.025,365.046,132.77,262.964,151.249,543.737,102.674,212.927,385.483,513.706,394.041,310.821,265.458,328.855,441.491,161.401,337.762,376.327,66.236,294.75,485.098,450.374,306.861,150.181,399.095,0,246.726,-1,366.977,226.577,354.676,298.612,202.164,408.837,132.77,197.392,120.642,424.144,251.242,71.827,318.085,261.084,342.226,277.844,115.644,537.212,185.429,184.272,355.041,431.153,138.509,74.037,220.683,329.663,391.065,307.565,395.498,423.782,246.161,382.376,353.037,380.277,132.189
"Luce",221.874,116.628,247.72,272.111,68.496,111.577,716.261,191.722,292.955,274.244,308.138,246.016,179.766,293.273,308.603,325.502,155.482,124.731,172.847,91.254,113.943,651.498,142.453,188.474,295.055,44.361,128.997,789.134,275.28,53.629,209.124,759.103,172.523,109.674,115.379,107.397,686.888,106.092,161.403,224.459,238.712,162.139,730.495,325.811,85.343,323.179,197.171,246.464,0,-1,145.459,275.758,600.073,122.253,134.681,654.234,295.055,74.668,215.004,202.626,121.364,244.603,215.918,166.752,120.708,272.867,136.951,782.609,176.375,181.034,244.055,209.635,298.58,176.777,27.231,140.577,243.411,58.149,173.98,302.295,40.656,160.858,131.519,158.759,240.473
"Mackinac",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Macomb",341.126,235.88,320.602,391.363,141.378,230.829,835.513,264.604,412.207,393.496,347.103,365.268,210.721,332.238,427.855,444.754,292.981,243.983,147.348,261.341,186.825,770.75,215.335,227.439,414.307,99.197,248.249,908.386,394.532,225.431,217.045,878.355,104.816,155.486,228.504,133.268,806.14,244.187,165.261,263.424,357.964,271.643,849.747,364.776,66.112,442.431,171.672,365.716,145.187,-1,0,395.01,719.325,164.912,277.589,773.486,414.307,193.92,334.256,123.875,251.921,363.855,334.931,326.884,21.513,391.88,256.203,901.861,295.627,300.286,296.085,142.575,417.832,296.029,151.497,112.035,282.376,131.031,45.264,341.26,123.745,99.421,108.365,96.472,359.725
"Manistee",321.455,208.753,221.911,295.268,335.872,219.175,505.347,277.408,197.244,51.827,284.662,48.107,337.955,305.875,178.741,304.864,150.749,147.762,421.692,188.689,292.773,371.545,296.984,326.412,104.203,291.303,163.492,514.6,102.668,219.613,405.857,548.189,422.38,335.057,245.759,353.605,413.144,168.087,361.998,275.663,127.218,194.086,519.581,297.75,335.2,134.322,423.331,192.874,275.065,-1,395.316,0,579.435,322.848,152.823,300.856,104.203,204.078,105.483,452.483,189.213,248.56,134.184,132.324,370.565,75.087,186.581,560.338,115.52,271.504,254.377,459.492,363.268,174.846,249.022,358.002,290.401,339.8,423.837,271.158,274.5,410.715,381.376,408.616,63.656
