"","Alcona","Alger","Allegan","Alpena","Antrim","Arenac","Baraga","Barry","Bay","Benzie","Berrien","Branch","Calhoun","Cass","Charlevoix","Cheboygan","Chippewa","Clare","Clinton","Crawford","Delta","Dickinson","Eaton","Emmet","Federal Correctional Institution (FCI)","Genesee","Gladwin","Gogebic","Grand Traverse","Gratiot","Hillsdale","Houghton","Huron","Ingham","Ionia","Iosco","Iron","Isabella","Jackson","Kalamazoo","Kalkaska","Kent","Keweenaw","Lake","Lapeer","Leelanau","Lenawee","Livingston","Luce","Mackinac","Macomb","Manistee","Marquette","Mason","Mecosta","Menominee","Michigan Department of Corrections (MDOC)","Midland","Missaukee","Monroe","Montcalm","Montmorency","Muskegon","Newaygo","Oakland","Oceana","Ogemaw","Ontonagon","Osceola","Oscoda","Otsego","Ottawa","Presque Isle","Roscommon","Saginaw","Sanilac","Schoolcraft","Shiawassee","St. Clair","St. Joseph","Tuscola","Van Buren","Washtenaw","Wayne","Wexford"
"Presque Isle",76.478,186.424,496.241,34.628,367.911,189.003,506.917,505.829,150.976,289.375,574.821,367.14,493.873,578.727,159.92,97.427,330.898,284.143,444.364,319.538,427.837,442.154,456.56,502.581,270.581,312.963,228.623,579.79,240.485,350.462,523.018,549.759,444.04,448.356,402.993,400.371,477.544,298.936,475.297,513.862,204.047,432.285,521.151,587.909,356.86,287.992,468.688,139.506,296.725,-1,416.976,364.112,390.729,436.147,339.699,444.89,270.581,273.755,258.177,474.143,388.777,90.695,455.62,398.619,392.225,415.379,184.392,573.265,322.964,112.731,492.576,481.152,0,176.486,270.682,379.662,528.6,357.564,445.497,561.317,296.16,432.375,403.036,430.276,270
"Roscommon",144.703,67.651,307.58,150.144,247.747,101.387,542.883,317.168,119.577,157.512,386.16,178.479,305.212,390.066,135.225,152.124,142.237,95.482,324.2,130.877,239.176,478.12,267.899,313.92,135.289,192.799,64.057,615.756,105.193,161.801,334.357,585.725,323.876,259.695,214.332,277.729,513.51,110.275,286.636,325.201,65.334,243.624,557.117,399.248,236.696,152.7,348.524,73.086,176.561,-1,296.812,175.451,426.695,247.486,151.038,480.856,135.289,153.591,69.516,353.979,200.116,125.064,266.959,209.958,272.061,226.718,45.479,609.231,134.303,130.402,303.915,360.988,210.528,0,150.518,259.498,339.939,237.4,325.333,372.656,175.996,312.211,282.872,310.112,123.149
"Saginaw",194.643,89.397,260.787,244.88,81.563,84.346,689.03,204.789,265.724,247.013,321.205,218.785,192.833,306.34,281.372,298.271,146.498,97.5,178.768,81.559,127.01,624.267,155.52,201.541,267.824,47.367,101.766,761.903,248.049,67.988,222.191,731.872,178.444,122.741,137.593,120.464,659.657,97.704,174.47,237.526,211.481,211.828,703.264,338.878,91.264,295.948,203.092,219.233,26.865,-1,151.38,248.527,572.842,135.32,131.106,627.003,267.824,47.437,187.773,208.547,129.383,217.372,207.002,156.615,126.629,259.945,109.72,755.378,149.144,153.803,257.122,215.556,271.349,149.546,0,113.746,256.478,71.216,179.901,315.362,30.564,166.779,137.44,164.68,213.242
"Sanilac",301.453,196.207,372.544,351.69,193.32,191.156,795.84,316.546,372.534,353.823,432.962,325.595,304.59,418.097,388.182,405.081,253.308,204.31,234.3,207.548,238.767,731.077,267.277,313.298,374.634,120.502,208.576,868.713,354.859,181.605,320.117,838.682,191.768,234.498,280.446,236.34,766.467,204.514,268.333,349.283,318.291,323.585,810.074,450.635,102.603,402.758,258.624,326.043,140.482,-1,111.457,355.337,679.652,247.077,237.916,733.813,374.634,154.247,294.583,210.827,243,324.182,386.873,270.232,132.771,366.755,216.53,862.188,255.954,260.613,368.879,229.527,378.159,256.356,113.617,0,368.235,182.973,75.927,427.119,98.405,186.373,211.437,183.424,320.052
"Schoolcraft",468.6,363.354,63.82,480.215,188.515,358.303,709.589,55.652,388.121,320.548,70.935,258.19,74.855,52.19,385.568,468.794,207.116,274.218,182.442,223.62,135.118,575.787,107.267,63.312,341.359,245.122,306.592,718.842,321.478,210.704,107.304,752.431,218.035,161.484,148.381,184.859,617.386,261.452,122.748,24.103,312.165,97.548,723.823,111.591,258.879,369.377,184.081,389.756,244.176,-1,282.008,289.323,743.365,154.102,197.976,505.098,341.359,265.8,269.413,248.138,153.098,433.507,162.092,154.179,291.968,219.041,383.677,764.58,232.059,427.76,42.58,251.03,527.198,338.776,257.243,368.716,0,192.443,319.126,88.075,270.232,201.872,174.959,210.585,286.777
"Shiawassee",282.616,177.37,196.9,332.853,9.052,172.319,777.003,140.902,353.697,316.873,257.318,305.538,128.946,242.453,369.345,386.244,201.867,165.243,131.164,137.639,63.123,712.24,91.633,137.654,337.684,59.138,189.739,849.876,317.909,101.729,158.304,819.845,130.84,56.757,104.802,43.161,747.63,152.477,110.583,173.639,299.454,147.941,791.237,274.991,72.895,365.808,131.55,307.206,58.192,-1,130.735,338.46,660.815,71.433,181.066,554.235,337.684,135.41,257.633,160.943,154.747,305.345,211.229,203.182,105.984,268.178,197.693,843.351,219.004,241.776,193.235,167.952,359.322,237.519,71.259,182.732,192.591,0,161.532,251.475,84.248,119.175,89.836,117.076,283.102
"St. Clair",373.093,267.847,355.256,423.33,176.032,262.796,867.48,285.97,444.174,425.463,383.931,397.235,247.549,369.066,459.822,476.721,324.948,275.95,168.056,267.377,211.973,802.717,236.701,264.267,446.274,129.964,280.216,940.353,426.499,231.467,253.873,910.322,125.524,192.314,263.158,170.096,838.107,276.154,202.089,300.252,389.931,306.297,881.714,401.604,96.879,474.398,192.38,397.683,177.154,-1,45.213,426.977,751.292,201.74,309.556,805.453,446.274,225.887,366.223,144.583,283.888,395.822,369.585,361.538,66.527,426.534,288.17,933.828,327.594,332.253,332.913,163.283,449.799,327.996,183.464,79.656,319.204,165.685,0,378.088,154.512,120.129,145.193,117.18,391.692
"St. Joseph",518.256,423.623,86.844,513.086,248.784,418.572,777.723,115.921,420.992,353.419,29.18,251.263,135.124,53.145,418.439,501.665,239.987,288.048,242.711,256.491,195.387,643.921,167.536,123.581,374.23,305.391,339.463,794.122,354.349,270.973,203.026,820.565,278.304,221.753,189.187,245.128,685.52,274.004,183.017,84.681,345.036,131.761,791.957,25.925,319.148,402.248,244.35,422.627,304.445,-1,342.277,270.95,776.236,214.371,230.847,573.232,374.23,302.406,302.284,308.407,185.969,466.378,143.719,187.05,352.237,200.668,383.382,851.546,264.93,488.029,103.158,311.299,560.069,371.647,317.512,428.985,87.78,252.712,379.395,0,330.501,262.141,235.228,270.854,319.648
"Tuscola",220.737,115.491,273.704,270.974,94.48,110.44,715.124,217.706,291.818,273.107,334.122,244.879,205.75,319.257,307.466,324.365,172.592,123.594,170.933,126.832,139.927,650.361,168.437,214.458,293.918,26.297,127.86,787.997,274.143,93.372,235.108,757.966,170.609,135.658,181.606,126.94,685.751,123.798,186.501,250.443,237.575,224.745,729.358,351.795,56.919,322.042,195.257,245.327,40.29,-1,124.106,274.621,598.936,148.237,157.2,653.097,293.918,73.531,213.867,200.712,160.633,243.466,288.033,187.723,109.081,286.039,135.814,781.472,175.238,179.897,270.039,207.721,297.443,175.64,31.108,98.405,269.395,84.133,151.838,328.279,0,158.944,129.605,156.845,239.336
"Van Buren",355.999,250.753,237.291,406.236,112.568,245.702,850.386,183.121,427.08,408.369,267.069,380.141,130.687,252.204,442.728,459.627,297.371,258.856,48.814,233.143,139.215,785.623,132.342,147.405,429.18,132.705,263.122,923.259,409.405,197.233,137.011,893.228,18.1,93.749,196.698,97.338,821.013,247.981,85.227,183.39,372.837,239.837,864.62,284.742,146.462,457.304,73.138,380.589,160.06,-1,97.887,409.883,734.198,118.62,276.57,646.131,429.18,208.793,349.129,48.203,245.797,378.728,303.125,295.078,101.454,360.074,271.076,916.734,310.5,315.159,216.051,66.903,432.705,310.902,166.37,187.578,202.342,119.01,120.807,261.226,157.631,0,32.391,15.693,374.598
"Washtenaw",327.733,222.487,210.739,377.97,84.302,217.436,822.12,156.569,398.814,380.103,240.517,351.875,104.135,225.652,414.462,431.361,269.105,230.59,37.418,204.877,110.949,757.357,105.79,120.853,400.914,104.439,234.856,894.993,381.139,168.967,110.459,864.962,49.902,67.197,168.432,69.072,792.747,219.715,58.675,156.838,344.571,211.571,836.354,258.19,118.196,429.038,61.742,352.323,131.794,-1,108.649,381.617,705.932,92.068,248.304,617.865,400.914,180.527,320.863,80.005,217.531,350.462,274.859,266.812,97.496,331.808,242.81,888.468,282.234,286.893,189.499,77.106,404.439,282.636,138.104,212.538,175.79,90.744,145.767,234.674,129.365,33.739,0,48.827,346.332
"Wayne",354.954,249.708,251.129,405.191,111.76,244.657,849.341,196.959,426.035,407.324,280.907,379.096,144.525,266.042,441.683,458.582,296.563,257.811,62.652,232.335,138.407,784.578,163.135,161.243,428.135,131.66,262.077,922.214,408.36,196.425,150.849,892.183,20.12,118.748,195.89,96.53,819.968,247.173,99.065,197.228,371.792,239.029,863.575,298.58,145.417,456.259,86.976,379.544,159.015,-1,94.957,429.548,733.153,128.174,275.762,645.323,428.135,207.748,348.084,50.223,244.989,377.683,302.317,294.27,81.711,359.266,270.031,915.689,309.455,314.114,229.889,68.923,431.66,309.857,165.325,184.648,216.18,115.182,117.877,275.064,156.586,14.725,49.642,0,373.553
"Wexford",249.108,156.9,254.057,234.634,280.274,183.891,602.011,273.423,136.078,47.607,332.637,85.642,333.97,336.543,117.575,211.252,115.465,112.478,368.858,153.405,261.704,437.501,290.427,322.427,60.729,256.019,128.208,674.884,41.502,184.329,356.885,644.853,387.096,282.223,216.366,300.257,572.638,132.803,309.164,271.678,66.584,190.101,616.245,345.725,299.916,84.777,370.497,132.24,239.781,-1,360.032,63.656,485.823,270.014,133.479,366.812,60.729,168.794,55.771,417.199,169.869,187.926,200.14,126.992,335.281,141.043,134.728,668.359,80.236,219.651,250.392,424.208,269.656,122.993,213.738,322.718,286.416,284.202,388.553,319.133,239.216,375.431,346.092,373.332,0
