"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Glenn",132.95,517.517,144.317,245.4,156.067,31.183,112.517,324.717,122.667,230.15,0,259.233,577.683,411.083,319.45,358.933,75.667,128.833,399.95,210.533,134.183,223.367,211.067,185.083,235.2,304.55,219.6,113.467,447.1,428.667,108.9,191.05,442.983,88,243.1,441.65,502.517,135.967,237.783,311.7,151.533,402.3,162.9,189.75,89.167,156.233,159.467,94.967,126.083,202.983,53,48.633,196.167,267.1,210.35,411.983,68.4,65.117
"Humboldt",264.1,678.4,351.817,22.483,363.567,255.033,266.7,96.067,330.167,405.617,257.933,0,738.567,614.9,488.983,534.383,209.4,269.567,560.833,385.983,239.833,398.833,178.033,360.533,341,512.05,357.333,255.75,607.983,589.55,317.517,368.717,603.867,295.5,380.833,602.533,663.4,265.383,398.667,449.45,283.033,540.033,297.95,324.8,169.9,296.367,246.633,264.3,243.317,401.717,276.783,225.183,193.5,442.55,397.7,562.5,275.9,288.883
"Imperial",489.267,79.367,515.7,764.367,515.867,557.233,495.083,837.967,536.817,365.933,581.483,745.867,0,338.617,285.633,482.65,626.933,677.3,190.367,384.133,511.75,440.683,660.833,414.05,738.4,449.083,473.867,520.867,138.1,175.65,527.033,614.017,145.283,501.15,432.817,144.317,106.25,503.05,381.45,357.767,496.233,269.717,479.583,488.05,640.433,471.55,710.733,509.733,533.483,530.217,548.7,601.133,747.433,330.55,500.633,244.8,519.283,531.267
"Inyo",363.333,302.933,305.683,608.183,292.167,385.983,370.233,664.35,298.85,255.717,410.233,619.933,339.167,0,169.067,372.433,455.683,417.583,206.933,273.917,385.817,250.483,534.9,296.4,400.233,110.9,379.933,381.017,208.783,236.483,334.333,275.833,210.65,328.683,338.883,202.083,293,377.117,283.183,298.217,370.317,260.267,376.2,403.033,451.933,369.517,489.35,370.1,393.633,304.717,377.467,429.9,534.65,220.333,258.433,235.35,348.05,360.033
"Kern",236.3,223.5,250.083,511.383,244.533,295.8,242.1,584.983,271.2,94.6,320.067,492.883,283.667,169.867,0,211.317,365.517,415.883,105.933,112.8,258.783,169.35,407.867,142.717,501.3,280.317,220.9,267.883,153.083,134.65,261.417,376.9,148.967,238.517,179.85,147.633,208.5,250.083,122.067,139.167,243.267,142.883,226.6,235.067,379.017,218.567,449.3,256.767,280.5,258.883,287.283,339.717,486.017,59.217,229.3,117.967,257.867,269.85
"Kings",279.467,418.383,287,554.567,281.467,332.733,285.283,628.167,308.117,132,356.983,536.067,478.55,371.467,209.55,0,402.433,452.817,300.817,149.733,301.95,206.283,451.033,179.65,538.233,359.917,278.833,311.067,347.967,329.533,298.333,413.833,343.85,275.433,277.333,342.517,403.383,293.25,165.367,268.1,286.45,337.783,278.5,286.95,415.933,270.467,486.233,297.7,323.683,295.8,324.2,376.65,522.933,157.2,266.233,312.867,294.8,306.767
"Lake",179.367,563.933,190.733,194.617,202.5,94.833,158.933,273.933,169.083,276.583,75.6,209.217,624.1,457.517,365.883,405.35,0,99.85,446.383,256.95,180.617,269.783,257.5,231.5,184.417,350.983,266.033,159.9,493.517,475.083,156.433,204.533,489.4,134.417,289.517,488.067,548.95,182.383,284.217,358.133,197.967,448.733,209.333,236.167,38.383,202.65,108.683,141.383,172.517,249.4,116.65,42.85,145.383,313.517,256.783,458.417,114.833,130.033
"Lassen",225.717,610.283,237.083,253.8,248.833,141.183,205.283,333.1,215.433,322.917,126.5,268.383,670.45,417.017,412.217,451.7,94.45,0,492.717,303.3,226.95,316.133,303.85,277.85,166.667,310.483,312.367,206.233,539.867,521.433,197.433,162.433,535.75,180.767,335.867,534.417,595.283,228.733,330.55,404.483,244.3,495.067,255.683,282.517,97.55,249,166.25,187.733,218.85,295.75,157.233,85.55,204.567,359.867,303.117,504.75,161.167,158.833
"Los Angeles",309.25,123.517,335.683,584.35,335.85,377.217,315.067,657.95,356.8,185.917,401.467,565.85,185.417,204.217,105.617,302.633,446.917,497.283,0,204.117,331.733,260.667,480.817,234.033,586.917,314.667,293.85,340.85,55.033,34.667,347.017,462.517,51.217,321.133,252.8,53.733,108.517,323.033,201.433,175.783,316.217,87.733,299.567,308.033,460.417,291.533,530.717,329.717,353.467,350.2,368.683,421.117,567.417,150.533,320.617,62.817,339.267,351.25
"Madera",131.867,321.233,139.4,406.95,133.85,185.117,137.667,480.55,160.5,23.1,209.367,388.45,381.4,274.317,112.4,151.883,254.817,305.2,203.667,0,154.333,58.667,303.417,32.033,390.617,218.45,131.217,163.45,250.817,232.383,150.717,266.217,246.7,127.817,134.567,245.367,306.233,145.65,44.567,156.85,138.833,240.633,130.883,139.35,268.317,122.85,338.617,150.083,176.067,148.183,176.6,229.033,375.317,60.033,118.617,215.7,147.183,159.15
