"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Hendricks",145.833,129.85,30.617,194.433,108.65,153.883,54.333,106.467,144,27.933,192.5,120.75,89.133,127.267,83.517,147.367,155.417,108.7,148.5,195.567,58.633,86.017,107.883,25.117,136.283,67.967,130.783,123.533,172.25,43.25,101.167,0,57.533,123.6,128.95,44.583,151.833,131.45,81.033,55,172.333,175.867,167,194.217,153.8,198.333,44.267,85.817,111.1,110.6,167.45,103.55,149.117,127.617,99.217,129.383,135.083,172.467,53.183,98.917,115.717,32.483,68.267,174.25,118.817,164.133,81.4,101.033,101.033,41.3,164.583,146.767,90.75,180.317,175.867,170.567,121.25,110.233,152.967,83.917,84.383,173.9,123.333,117.233,135.083,111.717,164.717,80.633,92.567,111.017,381.033,152.9
"Henry",108.7,124.517,80.567,157.317,73.267,157.25,66.767,109.833,189.317,56.083,187.183,130.583,133.55,149.1,100.717,110.25,118.3,66.183,174.3,191.567,62,95.567,117.85,64.767,130.95,117.933,135.4,81.033,135.133,16.833,111,59.017,0,133.583,91.833,94.55,173.667,88.933,84.4,104.967,194.167,170.533,140.717,157.083,127.517,192.067,38.933,122.35,73.967,120.567,189.283,98.217,112,149.45,109.067,132.75,97.9,194.3,41.9,154.533,125.25,49.7,71.633,177.617,136,167.483,91.233,118.217,111.017,29.967,186.4,150.133,103.8,174.983,170.533,133.433,131.1,126.7,147.633,77.683,94.367,195.733,133.317,127.083,97.9,74.583,197.883,130.6,43.183,105.683,384.4,115.783
"Howard",197.717,152.6,129.35,224.583,160.533,126.9,99.633,104.267,181.95,104.85,192.633,35.367,163.583,139.233,178.417,199.25,207.317,160.583,183.617,208.033,81.217,69.383,40.6,113.55,144.7,166.7,53.617,175.417,224.133,117.4,51.717,121.717,129.083,0,174.95,143.333,171.15,183.333,83.883,153.75,158.967,163.65,188.883,233.567,175.683,172.417,103.7,184.567,162.983,23.767,167.583,144.933,201,145.5,92.917,72.85,156.35,180.6,149.083,197.667,27,98.483,80.783,147.267,213.717,137.133,61.467,195.933,31.617,137.2,164.317,111.533,101.933,193.417,163.65,222.45,88.917,205.133,175.083,124.867,49.983,175.733,20.067,74.917,156.35,163.6,183.767,179.383,151.55,139.917,334.217,199.033
"Huntington",40.7,54.817,135.75,76.917,46.117,136.383,122.033,75.167,244.483,111.25,112.683,185.85,188.717,204.267,176.283,43.45,50.717,71.75,229.467,104.767,104.117,145.333,143.617,119.933,63.733,173.1,129.033,68.133,67.55,94.733,166.25,128.117,89.883,174.483,0,149.733,228.833,75.083,105.1,160.133,249.333,103.117,56.25,84.65,39.733,116.483,90.45,190.967,37.633,167.183,244.45,55.433,48.117,204.617,164.317,127.133,28.667,249.467,126.65,204.05,175.033,104.867,114.317,135.65,211.567,143.717,146.5,193.783,151.367,114.733,241.583,146.05,159.05,100.5,103.117,65.85,186.35,202.983,69.6,82.3,138.033,250.9,174.217,182.333,28.667,22.35,253.05,185.767,110.9,46.65,358.533,28.683
"Jackson",168.4,152.417,26.4,217.017,131.217,176.45,76.9,129.033,109.783,50.517,215.083,143.317,44.217,114.533,86.45,169.933,178,131.267,111.75,218.133,81.2,108.583,130.45,50.55,158.85,32.85,153.35,146.117,194.817,80.967,123.733,45.183,92.65,146.167,151.517,0,121.533,154.017,103.6,20.8,147.2,198.433,189.567,216.783,176.367,220.9,66.833,51.617,133.667,133.167,137.683,126.117,171.683,101.283,112.683,151.95,157.667,143.05,93.517,64.7,138.283,55.05,90.833,196.817,107,186.7,103.967,91.55,123.617,81.6,134.8,169.333,97.217,202.883,198.433,193.133,138.45,83.633,175.533,106.483,106.95,144.483,145.9,139.817,157.667,134.283,130.5,43.617,115.117,133.583,403.6,175.467
"Jasper",245.367,229.383,139.467,293.967,208.183,247.817,123.35,200.4,23.467,142.783,292.033,141.25,83.867,41.4,174.817,246.9,254.95,208.233,18.583,295.083,152.55,155.733,189.55,131.8,235.817,102.833,202.567,223.067,271.783,157.917,121.667,149.7,169.617,171.1,228.483,119.483,0,230.983,174.95,104,70.117,269,266.533,293.75,253.317,292.267,143.8,135.133,210.633,165.133,59.9,203.083,248.65,39.683,112.217,221.8,234.617,65.25,187.017,107.283,155.783,135.467,162.2,268.183,148.767,258.05,140.183,162.383,183.317,175.133,57.017,240.7,99.167,279.85,269,270.1,87.167,143.483,252.5,183.45,177.917,66.683,156.783,114.633,234.617,211.233,54.1,85.683,192.083,210.55,474.967,252.433
"Jay",69.6,125.583,142.067,137.967,30.983,201.483,128.35,134.583,250.817,117.583,171.233,192.167,195.05,210.6,140.9,43.85,89.383,26.567,235.8,163.2,110.433,151.667,170.45,126.267,132.017,179.433,179.633,14.5,106.2,96.633,172.583,137.567,88.75,186.167,75.117,156.05,235.167,0,129.867,166.467,255.667,171.067,125.783,126.683,113.883,186.017,96.767,190.367,63.133,173.517,250.783,97.783,34.45,210.933,170.65,176.983,87.067,255.8,105.517,210.383,181.367,111.2,120.083,205.183,180.417,211.733,152.817,162.633,163.617,98,247.9,194.367,165.383,170.033,171.067,104.517,192.683,192.433,139.583,87.333,146.133,257.233,185.9,188.667,87.067,52.933,259.383,192.1,51.833,105.55,428.067,99.067
"Jefferson",139.567,82.7,89.283,154.683,101.183,84.083,61.733,33.3,191.817,64.783,143.7,105.483,136.033,151.6,138.583,141.1,149.15,107.55,176.8,146.75,31.467,66.067,60.65,73.483,74.8,126.633,62.233,122.4,165.983,71.033,106.233,81.65,82.717,85.433,105.05,103.267,176.15,130.3,0,113.683,196.383,102.983,118.983,172.1,105.783,128.55,53.717,144.5,87.883,81.7,191.783,63.95,142.85,151.933,104.3,59.6,86.45,196.8,109.233,157.583,90.867,58.417,19.8,104.45,173.867,94.333,83.517,156.083,62.867,97.35,188.9,76.983,99.033,131.5,102.983,164.3,126.333,165.283,105.183,43.883,45.533,198.217,85.167,122.317,86.45,105.433,200.367,139.317,105.183,71.417,311.25,129.133
"Jennings",176.95,160.967,34.933,225.55,139.767,185,85.45,137.583,92.85,59.05,223.617,151.867,55.933,117.4,95.167,178.483,186.533,139.817,97.367,226.667,89.733,117.133,139,59.1,167.4,16.25,161.9,154.65,203.367,89.5,132.267,53.733,101.2,154.717,160.067,20.35,101.983,162.567,112.15,0,130.267,206.967,198.117,225.333,184.9,229.45,75.383,37.433,142.217,141.7,120.75,134.667,180.233,104.167,121.233,160.5,166.2,126.117,102.233,47.767,146.817,63.6,99.383,205.367,86.45,195.233,112.517,97.867,132.15,90.317,117.883,177.883,105.767,211.433,206.967,201.683,150.167,63.083,184.083,115.033,115.5,127.55,154.45,148.35,166.2,142.817,113.567,29.5,123.667,142.133,412.15,184.017
"Johnson",266.867,250.883,160.967,315.467,229.683,264.183,144.85,221.9,52.667,164.283,313.533,129.583,123.933,63.117,202.55,268.4,276.45,229.733,86.217,316.583,174.05,157.617,177.9,153.3,257.317,140.95,190.917,244.567,293.283,179.417,110,171.2,191.117,159.45,249.983,149.117,70.367,252.483,196.45,131.717,0,290.5,288.033,315.25,274.817,309.7,165.3,162.85,232.133,155.2,21.333,224.583,270.15,61.417,129.317,210.133,256.117,45.967,208.517,135,144.117,156.967,183.7,284.55,176.483,274.433,142.067,190.117,173.867,196.633,28.767,248.817,116.267,301.35,290.5,291.6,75.517,171.217,274,204.95,180.033,41.717,145.117,102.967,256.117,232.733,49.133,124.6,213.583,232.05,457.733,273.933
