"","Abbeville","Aiken","Allendale","Anderson","Bamberg","Barnwell","Beaufort","Berkeley","Calhoun","Charleston","Cherokee","Chester","Chesterfield","Clarendon","Colleton","Darlington","Dillon","Dorchester","Edgefield","Fairfield","Florence","Georgetown","Greenville","Greenwood","Hampton","Horry","Jasper","Kershaw","Lancaster","Laurens","Lee","Lexington","Marion","Marlboro","McCormick","Newberry","Oconee","Orangeburg","Pickens","Richland","Saluda","Spartanburg","Sumter","Union","Williamsburg","York"
"Marlboro",210.867,152.333,179.717,217.55,144.35,169.433,175.95,140.417,220.833,153.25,167.233,140.067,43.517,208.2,140.117,36.8,38.833,142.383,165.333,120.3,46.117,128.583,188,190.917,161,74.3,173.95,82.933,101.783,163.3,57.817,116.15,46.067,0,198.617,138.017,244.467,122.867,216.3,239.483,160.167,180.75,85.75,174.083,95.35,148.917
"McCormick",31.583,67.017,121.267,69.483,129.65,113.267,203.583,192.417,100.783,197.383,129.983,127.567,191.95,79.367,160.533,168.917,187.533,186.517,32.883,120.033,168.283,253.183,103.833,33.033,144.117,222.767,201.583,156.383,163.9,68.183,142.667,84.717,196.5,197.317,0,71.517,122.033,134.417,118.767,113.45,38,107.4,157.533,108.1,200.617,153.917
"Newberry",76.467,81.917,135.567,95.35,102.133,114.667,161.167,132.933,98.633,137.9,81.133,61.183,132.7,86,124.517,109.667,128.283,127.05,60.683,51.583,109.017,193.917,65.8,54.65,144.233,163.5,159.183,97.133,95.45,41.1,83.417,48.933,137.233,138.067,71.4,0,122.267,78.883,94.1,117.283,32.95,58.55,98.267,51.267,141.367,90.8
"Oconee",96.65,184.733,228.5,57.75,208.617,220.5,267.667,239.433,27.467,244.4,114.95,154.45,233.317,56.533,231,216.167,234.767,233.533,155.933,158.65,215.517,300.417,64.35,116.5,251.35,270,265.667,203.617,195.967,99.067,189.9,155.433,243.733,244.55,123.033,121.15,0,185.367,39.05,12.05,148.417,98.117,204.767,128.85,247.85,143.267
"Orangeburg",155.317,74.667,59.95,159.7,24.3,47.633,100.583,72.35,162.967,77.317,145.467,102.433,137.2,150.35,48.9,97.233,112.267,66.45,97.783,78.133,93,132.8,130.133,137.283,66.4,144.267,98.583,101.617,110.45,105.433,87.917,57.267,121.233,124.05,131.433,80.15,186.6,0,158.45,181.617,97.3,122.883,76.933,116.217,85.767,129.117
"Pickens",91.883,170.267,214.2,53.15,180.783,193.317,239.817,211.583,27.033,216.55,87.1,126.6,205.467,46.567,203.15,188.317,206.933,205.683,136.15,130.8,187.667,272.567,35.267,95.217,222.867,242.15,237.817,175.767,168.117,71.217,162.067,127.583,215.883,216.7,118.283,93.3,38.25,157.517,0,41.133,120.567,70.267,176.917,101,220,115.417
"Richland",88.633,176.733,220.483,50.417,203.75,212.483,262.783,234.55,22.583,239.517,106.983,149.567,225.35,48.75,226.117,211.283,229.9,228.65,147.933,153.767,210.633,295.533,59.467,108.033,243.35,265.117,260.783,198.733,191.083,94.183,185.033,150.55,238.85,239.667,115.033,116.267,12.117,180.483,42.883,0,143.533,90.15,199.883,123.967,242.967,135.3
"Saluda",58.667,48.917,116.25,102.883,105.767,96.2,182.633,154.4,124.25,159.367,106.6,89.55,153.933,111.6,134.383,130.917,149.517,148.5,27.717,82.017,130.267,215.167,91.417,40.633,139.117,184.75,180.633,118.367,125.883,55.817,104.65,46.717,158.483,159.3,38.45,33.5,147.9,96.4,119.733,143.333,0,84.033,119.517,79.617,162.6,119.167
"Spartanburg",97.733,128.4,179.017,68.55,145.583,158.117,204.617,176.383,73.25,181.35,34.817,71.05,153.183,60.167,167.967,153.117,171.733,170.5,109.333,95.6,152.467,237.367,38.767,81.433,187.683,206.95,202.633,133.4,112.917,46.4,126.867,92.383,180.683,183.267,109.1,58.117,96.9,122.333,68.733,89.117,85.75,0,141.717,38.133,184.817,63.133
"Sumter",170.733,112.217,130.833,177.433,95.483,120.55,127.067,91.017,180.7,104.367,161.25,104.483,90.217,168.083,91.233,59.767,74.8,93.5,125.217,80.167,55.533,107.55,147.867,150.783,112.117,105.317,125.083,66.133,95.3,123.183,33.583,76.017,83.75,86.583,158.483,97.883,204.333,73.983,176.183,199.35,120.033,140.633,0,133.967,54.367,131.167
"Union",98.167,120.517,171.133,100.75,137.7,150.233,196.733,168.5,104.017,173.467,36.283,41,141.583,91.4,160.067,145.233,163.85,162.6,104.483,63.883,144.583,229.483,71.183,81.883,179.783,199.067,194.733,103.35,82.867,46.3,118.983,84.5,172.8,173.617,109.55,50.217,127.667,114.433,99.5,122.683,76.767,39.25,133.833,0,176.917,48.167
"Williamsburg",215.45,158.383,141.633,222.15,106.267,131.35,137.867,54.767,225.417,100.033,205.967,149.2,121.933,212.8,102.033,67.6,82.633,89.167,169.933,124.883,58.3,57.433,192.583,195.5,122.9,80.283,135.867,109.6,138.4,167.9,65.783,120.733,78.033,94.417,203.2,142.6,249.05,84.767,220.9,244.067,164.75,185.333,55.583,178.667,0,175.883
"York",143.267,133.367,182.917,115.183,149.133,162.017,208.167,179.95,119.883,184.917,43.433,34.25,117.033,106.8,171.517,147.733,159.35,174.05,145.083,67.083,140.083,224.983,85.4,126.983,191.233,194.567,206.183,88.6,61.617,91.4,114.483,97.183,168.3,147.1,154.65,90.833,143.533,125.883,115.367,135.75,117.367,63.633,129.333,49.017,172.433,0
