"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Hyde",158.1,72.567,185,169.483,148.5,114.667,207.233,264.117,149.917,34.117,136.417,108.483,214.517,142.017,170.433,256.25,116.567,111.167,163.833,345.233,126.483,83.15,260.45,52.8,183.083,104.083,133.6,158.117,25.183,120.75,320.017,49.067,161.017,0,124.7,69.867,124.1,104.567,144.017,151.067,131.017,60.333,169.117,142.117,108.9,214.583,91.467,125.117,171.367,173.533,231.017,206.033,179.233,63.1,195.683,86.267,205.533,55.833,97.867,137.8,146.85,186.733,87.433,99.883,197.1,143
"Jackson",157.6,109.65,177.333,60.517,159.883,176.283,121.067,339.867,132.933,139.8,11.717,167.9,116.95,193.583,125.1,280.283,71.25,170.583,183.117,369,34.383,168.533,289.75,148.35,111.567,66.033,172.7,187.067,106.367,75.433,395.767,148.417,63.65,125.35,0,81.917,76.717,139.283,198.45,34.933,40.75,84.333,229.25,96.8,194.3,251.183,152.017,115.983,124.167,149.133,223.367,230.067,63.1,187.167,234.983,85.45,119.367,135.45,59.733,120.833,49.75,104.9,172.833,220.8,88.267,234.45
"Jerauld",123.45,41.283,195.033,106.933,116.717,107.917,144.667,321.133,159.95,84.45,84.45,99.517,151.95,130.433,107.867,266.15,54.683,102.217,141.983,354.883,63.1,113.2,270.35,93.017,120.533,114.117,158.567,136.267,51.033,58.2,377.033,102.183,98.467,69.817,81.033,0,129.117,73.267,132.433,87.7,67.633,70.367,160.883,81.267,138.95,237.067,83.65,55.883,108.817,115,241.05,215.95,115.867,131.833,184.1,17.033,142.967,109.083,107.9,147.833,84.283,124.183,117.483,165.45,134.533,202.833
"Jones",205.033,157.917,148.8,102.917,207.317,224.55,163.467,333.183,104.4,158.283,66.017,216.15,159.35,241.017,172.55,273.6,118.683,218.833,230.55,340.417,86.833,207.3,261.217,176.967,161.783,21.517,166.017,234.5,141.65,122.867,389.083,141.717,116.933,124.783,77.383,134.233,0,186.717,245.9,77.333,91.45,77.633,277.517,144.233,233.067,244.5,200.267,163.417,174.867,196.583,194.833,223.383,105.5,187.267,282.417,133.717,161.767,128.75,41.867,92.283,100.233,150.8,211.6,224.05,130.667,227.75
"Kingsbury",56.917,35.917,266.833,128.383,47.333,121.467,132.3,361.067,231.75,112.55,136.433,40.767,139.583,57.15,95.5,337.95,72.717,37.233,68.7,426.667,115.65,136.133,342.133,115.95,108.167,174.667,230.367,62.983,80.217,69.833,416.967,148.767,105,103.433,139.4,71.917,186.583,0,59.167,134.433,101.8,142.15,114.283,54.483,154.55,314.283,94.983,49.867,96.45,72.367,312.85,287.733,137.85,154.767,110.817,62.8,130.6,155.533,168.367,219.633,105.75,111.817,136.05,188.4,121.333,239.967
"Lake",58.617,95.133,326.05,180.55,56.717,98.4,133.85,354.133,290.967,134.817,201.883,35.933,141.133,11.25,97.417,395.767,131.95,32.4,37.75,486.5,180.9,116.183,399.967,112.117,109.783,233.883,273.117,35.717,123.567,129.067,410.033,188.583,156.217,143.25,198.617,131.15,245.8,59.217,0,199.883,167.05,201.383,91.233,105.717,131.15,355.85,71.583,109.083,97.983,73.95,372.067,345.55,203.3,150.933,60.133,122.017,132.15,195.35,227.583,278.85,171.183,119.417,112.65,167.7,165.617,236.133
"Lawrence",149.883,116.067,201.75,35.383,152.15,182.7,95.933,367.033,157.35,166.967,23.717,174.317,91.817,191.017,116.417,307.45,69.183,170.317,175.383,393.367,25.583,195.217,314.167,175.033,94.25,74.467,199.867,179.333,133.533,72.733,422.933,175.567,49.4,152.5,35.317,88.333,78.383,133.083,192.25,0,41.45,111.483,235.667,94.233,215.917,278.35,158.433,116.583,111.167,141.417,247.783,257.233,30.383,213.85,227.25,91.883,94.233,162.6,93.767,145.25,32.7,83.267,199.517,247.483,63.133,261.6
"Lincoln",122.4,92.683,191.133,44.85,124.683,162.483,104.15,346.8,146.733,146.733,38.683,141.35,101.3,158.317,89.917,287.217,36.683,137.817,147.917,375.95,17.35,175,291.417,154.817,73.833,79.833,179.633,151.867,113.3,40.233,402.7,155.35,36.383,132.283,41,68.117,91.75,100.567,159.733,41.95,0,91.267,215.45,61.55,195.683,258.133,138.217,84.083,86.433,113.95,237.167,237,54.317,193.633,199.783,71.65,102.433,142.383,73.533,134.633,22.217,72.867,179.283,227.267,72.6,241.383
"Lyman",162.267,111.483,127.583,128.833,164.533,175.417,166.567,258.3,92.5,94.867,95.767,169.233,173.85,200.633,129.767,198.717,75.9,171.917,187.767,287.433,85.817,143.9,202.9,113.55,142.417,57.5,91.133,191.717,82.667,80.083,314.2,66.833,120.367,61.383,84.033,70.817,77.533,143.467,202.633,110.4,90.35,0,229.867,101.45,169.65,169.617,152.217,120.65,130.7,153.8,173.617,148.5,138.567,120.567,239.65,87.233,164.867,53.867,51.283,80.4,106.183,146.067,148.183,148.25,156.433,152.867
"Marshall",129.05,126,353.55,243.567,127.167,64.767,204.283,316.667,318.233,160,233.05,91.4,211.567,92.633,167.85,419.917,182.783,87.867,108.183,491.5,211.717,86.733,424.117,119.5,180.217,265.817,297.267,106.15,148.75,190.933,372.567,212.733,219.7,168.45,229.633,160.733,277.733,114.683,91.133,236.3,216.967,228.65,0,169.183,62.733,360.85,81.8,164.567,168.433,144.383,399.583,369.7,253.017,157.633,39.2,152.883,202.583,219.5,259.517,306.117,220.917,189.867,97.833,135.9,236.017,241.15
"McCook",73.5,84.15,224.583,82.017,73.483,171.867,77.8,355.283,189.5,155.217,96.167,95.05,85.083,96.767,41,295.7,34.983,91.517,99.017,384.417,75.183,183.95,299.9,163.767,53.667,131.767,188.117,100.967,121.783,34.033,411.183,163.833,50.5,140.767,96.483,77.5,143.683,54.267,104.683,94.15,61.333,99.75,168.567,0,205.067,266.6,147.583,52.9,41.95,65.05,270.6,245.483,97.583,202.583,150.367,66.267,76.1,150.85,125.467,177.383,65.467,57.317,188.25,236.217,66.833,249.85
"McPherson",179.633,129.767,292.65,234.5,177.75,40.45,254.867,253.933,257.317,99.1,204.683,115.033,262.15,139.4,218.433,359.017,181.583,117.717,158.767,428.767,190.683,25.833,363.2,58.6,230.8,211.483,236.367,156.733,87.833,185.767,309.833,151.833,226.033,107.533,192.967,138.317,231.517,154.317,130.333,215.267,195.217,167.733,62.667,207.133,0,298.117,61.867,183.767,219.017,194.967,338.667,308.8,243.433,96.717,99.967,144.917,253.167,158.6,205.267,245.217,211.867,240.45,36.917,74.983,262.117,178.417
"Meade",327.4,277.117,152.967,293.967,329.667,304.417,331.7,91.483,222.667,247.067,260.9,321.433,338.983,354.967,294.9,82.267,241.033,324.117,352.9,134.1,250.95,274.833,90.65,243.017,307.55,222.633,96.233,371.067,238.15,245.217,147.367,173.067,285.5,215.533,249.167,236.467,242.667,309.117,354.733,275.55,255.483,169.433,359.183,266.6,296.5,0,286.25,285.783,295.833,318.933,138.55,29.783,303.7,205.967,396.483,252.867,330,163.233,216.967,177.983,271.317,311.217,280.383,231.783,321.567,120.417
"Mellette",127.117,74.133,276.75,178.867,125.217,29.067,202.333,285.25,241.667,83.433,156.383,55.383,209.617,79.75,165.9,344.383,125.95,58.067,106.233,417.617,135.05,47.317,348.583,43.25,178.267,189.15,221.733,104.2,72.183,130.133,341.15,137.2,170.4,91.867,152.983,84.067,201.067,94.65,70.683,159.633,139.583,152.067,81.533,149.15,62.267,286.967,0,128.133,166.483,142.433,322.767,294.167,187.8,82.067,115.45,89.267,200.633,143.967,182.85,229.55,156.217,187.917,43.767,98.817,206.483,167.267
