"","Anderson","Bedford","Benton","Bledsoe","Blount","Bradley","Campbell","Cannon","Carroll","Carter","Cheatham","Chester","Claiborne","Clay","Cocke","Coffee","Crockett","Cumberland","Davidson","Decatur","DeKalb","Dickson","Dyer","Fayette","Fentress","Franklin","Gibson","Giles","Grainger","Greene","Grundy","Hamblen","Hamilton","Hancock","Hardeman","Hardin","Hawkins","Haywood","Henderson","Henry","Hickman","Houston","Humphreys","Jackson","Jefferson","Johnson","Knox","Lake","Lauderdale","Lawrence","Lewis","Lincoln","Loudon","Macon","Madison","Marion","Marshall","Maury","McMinn","McNairy","Meigs","Monroe","Montgomery","Moore","Morgan","Obion","Overton","Perry","Pickett","Polk","Putnam","Rhea","Roane","Robertson","Rutherford","Scott","Sequatchie","Sevier","Shelby","Smith","Stewart","Sullivan","Sumner","Tipton","Trousdale","Unicoi","Union","Van Buren","Warren","Washington","Wayne","Weakley","White","Williamson","Wilson"
"Chester",200.017,187.55,291.917,185.15,299.25,273.65,211.233,187.15,44.533,303.333,150.517,0,358.383,248.483,329.783,184.15,117.917,235.35,272.433,300.433,212.45,119.283,82.867,57.283,273.833,149.717,59.267,141.183,331.217,351.617,222.35,334.917,380.7,108.783,37.15,57.267,363.633,65.267,0,99.733,185.2,92.733,105.9,27.717,231.233,290.633,288.183,118.783,93.133,35.617,107.533,198.283,287.4,76.45,147.9,363.883,381.85,154.267,291.75,14.467,300.433,239.7,331.433,198.417,284.733,99.617,109.133,80.5,256.667,108.8,208.167,281.867,260.367,25.733,87.7,296.2,230.95,318.1,108.683,62.9,141.35,374.283,168.2,109.8,171.467,383.967,342,59.683,66.117,380.95,88.833,136.083,220.55,149.717,160.25
"Claiborne",239.833,270.833,162.4,283.133,99.983,144.35,163.417,222.983,331.483,74.933,247.883,355.483,0,196.183,69.05,223.983,386.683,134.783,174.4,127.85,186.383,261.867,371.717,373.783,154.983,238.583,348.1,283.167,41.2,75.167,236.933,43.717,104.233,340.75,374.65,359.35,53.417,353.483,355.483,347.633,184.133,356.4,292.25,333.717,204.733,116.633,75.067,407,381.35,326.05,302.133,261.75,105.45,389.3,225.017,56.967,86.817,261.183,123.667,364.567,127.85,183.8,102.55,256.633,129.95,387.833,397.35,308.083,191.5,385.333,158.067,151.5,104.317,375.833,376.533,135.333,196.717,81.183,396.9,318.867,324.767,97.833,225.75,398.017,228.167,107.517,27.067,397.2,382.6,104.5,328.317,297.517,170.067,238.583,448.467
"Clay",142.083,162.483,187.133,174.8,142,169.067,58.233,114.633,223.133,146.083,139.533,247.15,201.15,0,172.55,126.233,278.35,78.1,64.517,143.2,78.033,153.517,263.383,265.433,69.783,130.233,239.767,174.817,173.967,194.367,136.15,177.683,223.45,232.417,266.317,251,206.4,245.15,247.15,239.283,75.783,248.067,183.9,225.383,96.383,133.383,130.933,298.65,273,217.717,193.783,193.05,130.167,280.95,116.683,183.117,224.617,152.85,148.383,256.217,143.2,31.783,142.367,165.467,121.7,279.5,289.017,199.733,48.75,277,53.6,138.55,103.133,267.5,268.2,138.967,157.767,160.85,288.55,210.533,216.417,217.05,106.167,289.683,100.9,226.733,184.75,288.85,274.25,223.7,219.967,189.167,64.867,130.233,340.117
"Cocke",213.05,244.05,135.633,256.367,70.683,117.583,136.65,196.2,304.7,36.517,221.117,328.717,70.567,169.4,0,197.2,359.917,108,172.567,101.083,159.617,235.083,344.95,347,153.15,211.8,321.333,256.383,58.483,44.733,210.15,35.683,81.45,313.983,347.883,332.583,64.4,326.717,328.717,320.85,157.35,329.633,265.467,306.95,177.95,89.85,44.05,380.217,354.567,299.283,275.367,234.983,78.667,362.533,198.25,122.067,82.617,234.417,96.9,337.783,101.083,157.017,100.7,229.867,103.183,361.067,370.583,281.317,174,358.567,131.283,124.733,77.533,349.067,349.767,108.567,169.933,41.533,370.133,292.1,298,75.05,198.983,371.25,201.383,84.733,94.883,370.417,355.833,80.667,301.55,270.733,143.283,211.8,421.683
"Coffee",15.85,61.567,111.85,66.383,165.35,93.6,82.617,41.383,162.183,168.667,86.583,186.2,223.733,125.8,195.133,0,226.283,107.9,146.167,118.917,68.783,92.567,202.433,204.483,149.05,65.2,178.817,101.183,196.567,216.967,42.283,200.267,246.033,171.467,205.367,182.35,228.983,184.2,186.2,178.333,77.583,174.983,122.95,164.433,67.917,129,153.533,237.7,212.05,156.767,120.717,69.65,133,220.017,67.667,229.217,247.2,79.767,111.683,195.267,118.917,113.433,206.483,39.233,159.8,218.55,228.067,138.8,130.4,224.233,85.017,101.817,135.417,206.55,207.25,139,50.9,183.433,227.617,149.583,157.117,239.633,80.917,228.733,83.333,249.317,207.35,227.9,213.317,246.3,146.9,114.483,67.533,65.2,279.167
"Crockett",238.983,226.517,330.883,237.55,338.217,312.617,250.2,226.117,82.267,342.3,170.967,118.367,397.35,285.45,368.75,223.117,0,274.317,304.8,339.4,251.417,158.25,39.083,130.383,312.8,188.683,63.5,222.4,370.183,390.583,261.317,373.883,419.667,72.9,133.05,159.483,402.6,90.567,118.367,64.5,224.167,184.833,126.183,92.117,270.2,329.6,327.15,57.317,80.733,93.333,174.983,257.35,326.367,145.667,176.65,381.317,420.817,192.8,330.717,125.55,339.4,278.667,370.4,255.117,323.7,34.067,140.817,153.7,295.633,25.817,247.133,320.833,299.333,136.833,32.417,335.167,269.917,357.067,142.083,92.317,127.35,413.25,196.95,117.283,200.217,422.933,380.967,155.583,139.2,419.917,180.933,228.167,259.517,188.683,126.25
"Cumberland",123.783,151.9,124.783,164.2,77.483,107.317,44.483,100.45,212.55,81.567,128.95,236.55,136.633,77.25,108.033,107.933,267.75,0,80.617,70.5,67.45,142.933,252.783,254.85,63.95,119.65,229.167,164.233,109.45,129.85,117.85,113.167,158.933,221.817,255.717,240.417,141.883,234.55,236.55,228.7,65.2,237.467,173.317,214.783,85.8,68.867,66.417,288.067,262.417,207.117,183.2,174.75,65.65,270.367,106.083,142.117,160.1,142.25,86.633,245.633,70.5,64.867,116.067,147.167,56.817,268.9,278.417,189.15,81.833,266.4,39.133,65.85,38.617,256.9,257.6,66.25,116.133,96.333,277.967,199.933,205.833,152.533,106.817,279.083,109.233,162.217,120.233,278.267,263.667,159.183,209.383,178.583,43.3,119.65,329.533
"Davidson",163.35,188.067,190.35,200.367,145.233,172.3,79.5,140.2,248.7,146.217,165.117,272.717,174.583,64.467,172.683,147.5,301.95,80.217,0,148.233,103.617,179.083,288.95,291,23.683,155.8,265.333,200.383,175.917,194.5,157.417,177.8,223.583,257.983,291.883,276.583,206.517,270.717,272.717,264.85,101.35,273.633,209.483,250.95,121.95,136.617,132.617,321.767,298.567,243.283,219.367,214.317,133.4,306.533,142.25,146.467,224.733,178.417,151.617,281.783,148.233,34.083,94.017,186.733,82.333,302.617,314.583,225.317,17.383,300.6,74.867,143.583,106.35,293.067,293.767,144,179.033,160.983,314.133,236.1,242,217.183,142.983,315.25,145.383,226.85,165.6,314.417,299.833,223.833,245.55,214.733,86.15,155.8,365.683
"Decatur",135.2,173.817,58.317,180.333,73.167,39.733,105.967,136.25,274.033,76.483,190.433,298.05,131.55,138.733,102.95,119.35,329.25,70.733,142.917,0,128.933,204.417,314.283,316.333,126.267,177.433,290.667,194.483,104.367,124.767,109.067,108.083,153.85,283.317,317.217,280.483,136.8,296.05,298.05,290.183,126.683,273.117,234.8,276.283,135.733,36.583,61.333,349.55,323.9,268.617,232.95,157.133,40.8,331.85,167.583,137.033,155.017,192.017,17.95,307.117,0,126.35,115.683,152.017,83.25,330.4,339.917,250.633,143.317,327.9,100.617,23.633,44.767,318.4,319.1,24.9,92.083,91.25,339.45,261.433,267.317,147.45,168.317,340.583,170.717,157.133,115.15,339.75,325.15,154.1,245.017,207.783,110.267,177.433,391.017
"DeKalb",82.65,118.183,163.117,130.483,129.8,144.85,41.8,40.783,187.833,133.883,104.25,211.85,188.95,79.033,160.35,66.8,243.05,65.917,103,131,0,118.217,228.083,230.133,104.4,94.933,204.467,137.767,161.767,182.183,85.583,165.483,211.25,197.117,231.017,218.383,194.2,209.85,211.85,203.983,31.35,211.017,148.6,190.083,20.783,121.183,118.733,263.35,237.7,182.417,156.75,133.617,117.967,245.65,81.383,194.433,212.417,115.8,136.183,220.917,131,70.267,161.983,106.033,115.3,244.2,253.717,164.433,87.233,241.7,38.717,118.117,90.933,232.2,232.9,126.767,114.867,148.65,253.25,175.233,181.117,204.85,82.117,254.383,84.517,214.533,172.55,253.55,238.95,211.5,182.933,152.117,34.783,94.933,304.817
