"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Harrison",96.267,194.617,178.217,272.083,168.767,174.1,195.283,243.667,167.233,119.683,92.45,72.283,48.033,209.983,262.117,181,197.45,244.5,102.083,175.817,138.383,211.233,25.883,220.417,46.917,142.633,157.617,248.4,270.117,183.283,37.567,163.7,93.467,0,154.45,81.433,126.433,176.867,229.533,133,270,194.367,220.45,170.25,132.083,144.683,243.867,162.45,252.95,245.2,160.217,201.867,182.017,130.25,42.45,40.2,31.8,17.683,50.117,162.467,183.283,142.933,173.25,256.817,121.167,159.25,162.583,72.267,152.817,136.283,20.05,228.433,132.8,204.517,182.267,219.95,211.567,264.617,203.1,73.983,148.717,157.9,255.283,52.45,171.35,205.033,167.133,167.817
"Henry",99.4,50.167,97,176.95,180.5,64.667,203.1,166.017,105.067,131.433,105.533,185.983,157.483,130.633,179.883,168.25,154.533,150.733,109.583,53.567,78.367,66.783,143.517,72.067,118.467,87.917,214.083,147.417,180.25,181.35,136.817,16.217,72.317,154.15,0,160.317,138.183,55.717,85.083,189.467,174.867,118.233,141.1,231.567,139.9,156.433,107.067,88.933,157.817,154,62.933,122.517,189.833,77.4,153.933,124.333,140.5,158.75,150.583,161.117,57.35,38.85,76.183,156.033,156.267,167.067,18.15,123.517,160.617,192.767,148.433,83.983,94.6,212.333,81.25,139.583,219.383,169.5,122.733,102.683,65.783,214.383,164.083,114.833,26.9,75.183,22.683,52.8
"Highland",102.983,201.333,138.317,232.183,119.083,180.833,155.383,203.767,127.333,79.783,77.3,63.583,60.8,170.083,222.233,141.1,157.55,204.6,108.817,182.533,98.483,209.517,70.5,227.15,64.467,102.733,102.517,208.5,230.217,143.383,74.733,170.417,100.2,81.133,161.183,0,79.467,144.867,195.75,77.9,230.1,154.467,180.55,120,92.183,101.233,203.967,122.55,213.05,205.3,126.183,161.967,142.117,136.967,99.667,63.983,57.15,85.733,43.2,122.567,190.017,149.65,179.967,216.917,66.067,122.033,169.317,98.05,112.917,81.183,75.433,206.2,92.4,164.617,142.367,180.05,171.667,224.717,163.2,80.7,155.45,102.8,215.383,59.367,178.067,211.767,173.85,127.917
"Hocking",120.033,182.65,104.05,197.9,45.817,177.383,106,154.4,93.067,11.117,81.45,136.783,122.2,135.8,192.317,93.567,110.017,170.333,125.533,179.1,64.767,175.8,118.017,201.75,109.9,68.45,93.417,174.233,195.95,94,122.25,151.433,117.233,128.65,139.683,79.467,0,111.15,161.483,68.783,195.817,111.2,143.633,110.883,42.817,21.75,169.7,88.283,178.767,171.033,92.467,127.683,91.033,137.783,147.183,111.5,104.667,133.25,98.7,73.183,186.567,146.2,176.933,182.65,21.683,42.55,147.833,116.883,60.1,68.267,122.95,171.383,64.183,115.233,108.083,132.45,122.283,190.45,128.917,97.417,156.25,83.05,181.117,99.667,154.267,208.317,152.367,94.2
"Holmes",121.017,88.3,53.283,149.033,152.017,102.85,168.233,122.3,61.367,102.933,100.483,198.017,177.4,86.933,139.067,124.467,110.817,121.45,131.217,104.917,49.867,76.7,165.15,117.217,140.1,52.117,185.6,125.35,147.067,137.65,158.45,66.917,93.933,175.767,55.167,144.55,109.7,0,66.333,160.967,146.95,74.533,97.4,203.067,111.4,127.95,94.067,45.217,129.9,122.15,33.8,78.817,166.083,99.033,175.567,145.967,159.867,180.383,153.9,129.967,108.717,72.4,102.233,133.767,127.767,138.567,63.3,145.15,136.867,164.267,170.067,67.633,66.1,178.083,37.533,95.883,184.5,141.567,79.017,124.317,82.417,185.883,132.233,136.467,68.167,123.033,67.833,17.2
"Huron",176.25,50.667,66.033,105.4,201.167,116.1,168.667,122.05,97.283,152.083,164.233,248.867,228.25,79.033,112.917,158.167,138.083,83.767,186.433,104.317,113.133,29.15,220.367,97.333,195.317,105.283,236.433,75.867,113.267,138.067,213.667,99.633,149.167,231,85.8,195.383,158.833,67.867,0,211.817,103.317,107.417,87.65,253.917,166.833,177.083,31.517,83.267,86.267,87.017,97.55,64.167,172.5,154.25,230.783,201.183,210.717,235.6,204.733,170.817,102.083,115.7,120.65,84.483,178.617,188.05,75,200.383,179.1,215.1,225.283,19.15,129.367,178.517,62.733,93.883,184.917,97.95,89.383,179.533,141.467,236.717,97.117,191.683,65.15,110.867,76.267,79.733
"Jackson",141.117,234.45,156.417,250.267,46.017,218.967,157.883,205.8,145.433,80.967,116.283,99.35,100.983,188.167,240.317,157.633,174.083,222.7,146.933,220.667,116.583,227.6,125.317,253.55,114.733,120.817,30.083,226.6,248.317,145.4,129.533,203.25,138.317,135.933,191.5,78.467,70.367,162.967,213.85,0,248.183,170.983,195.033,47.567,105.933,63.017,222.067,140.65,231.133,223.4,142.75,180.05,116.483,175.1,154.467,118.783,111.95,140.55,105.983,135.75,228.133,187.783,218.1,235.017,47.633,91.85,199.633,136.167,115.2,23.517,130.233,224.3,109.867,142.167,160.45,183.85,141.85,242.817,181.283,118.833,193.567,31.833,233.483,104.483,206.083,249.9,204.183,146
"Jefferson",254.9,149.283,111.95,16.567,234.733,206.633,151.633,116.183,135.15,188.833,210.8,285.617,265,90.283,61.817,154.317,141.733,66.933,260.4,194.867,162.433,127.767,260.817,187.883,244.767,145.183,273.183,38,24.017,143.317,263.133,188.517,230.367,271.45,174.683,232.15,195.6,147.05,103.317,248.567,0,144.067,92.9,290.667,187.283,213.85,92.317,119.083,21.75,55.2,168.533,86.767,177.733,235.45,282.167,250.633,247.467,276.05,241.483,179.317,192.617,204.583,211.183,30.067,215.367,204.333,167.317,251.75,173.017,251.85,265.733,117.767,177.033,181.967,133.467,99.117,190.733,19.65,100.633,232.283,218.833,264.483,44.717,234.533,157.467,201.4,164.3,153.617
"Knox",176.85,146,42,142.633,152.233,167,116.483,92.233,30.933,103.85,135.167,207.4,186.783,66.767,125.95,55.283,46.35,115.067,182.35,169.083,90.05,126.167,182.6,182,166.717,65.767,194.967,118.967,136.55,82.083,185.083,131.067,158.1,193.233,119.317,153.933,111.817,74.783,105.25,170.35,140.55,0,76.7,212.45,75.617,125.967,110.333,36,123.5,114.967,96.267,71.283,111.183,163.183,204.117,172.583,169.25,197.833,163.283,69.75,172.867,136.55,166.383,127.383,134.15,108.85,127.45,173.7,81.967,173.933,187.533,115.583,106.217,126.333,61.2,65.8,132.75,135.183,48.95,154.233,146.567,189.467,125.25,156.483,133.9,187.183,132,81.35
"Lake",204.533,132.05,61.6,93.717,154.617,188.917,93.783,47.167,85.4,135.35,160.433,235.25,214.633,26.733,66.767,74.2,61.6,61.983,210.033,175.033,112.067,112.7,210.45,168.05,194.417,94.817,206.083,70.05,77.783,63.183,212.767,152.967,180,221.083,141.233,181.783,143.333,96.683,88.267,193.683,91.633,76.667,0,229.917,107.15,153.683,79.217,68.733,74.583,56.217,118.183,42,97.617,185.1,231.8,200.283,197.1,225.7,191.133,99.2,172.783,158.467,188.283,78.45,165.65,124.2,147.483,201.4,92.9,197.317,215.383,102.717,126.683,103.633,83.1,19,110.033,86.267,28.55,181.933,168.467,184.367,66.5,184.167,137.633,181.567,144.467,103.25
