"","Albany","Allegany","Bronx","Broome","Cattaraugus","Cayuga","Chautauqua","Chemung","Chenango","Clinton","Columbia","Cortland","Delaware","Dutchess","Erie","Essex","Franklin","Fulton","Genesee","Greene","Hamilton","Herkimer","Jefferson","Kings","Lewis","Livingston","Madison","Monroe","Montgomery","Nassau","New York","Niagara","Oneida","Onondaga","Ontario","Orange","Orleans","Oswego","Otsego","Putnam","Queens","Rensselaer","Richmond","Rockland","Saratoga","Schenectady","Schoharie","Schuyler","Seneca","St. Lawrence","Steuben","Suffolk","Sullivan","Tioga","Tompkins","Ulster","Warren","Washington","Wayne","Westchester","Wyoming","Yates"
"Ontario",331.918,221.413,512.782,302.739,223.744,79.326,263.862,241.815,218.493,176.499,218.004,160.391,325.595,454.509,154.139,427.652,389.524,80.047,207.231,213.689,177.069,207.14,308.661,330.777,198.815,395.035,175.423,437.544,415.753,353.194,503.493,173.755,152.133,119.09,0,139.363,205.09,84.758,248.702,424.301,529.237,335.231,79.112,329.151,343.906,305.138,284.908,198.452,56.819,276.24,193.504,627.398,134.318,269.367,298.12,423.147,231.379,455.821,100.931,516.749,100.809,109.286
"Orange",365.617,150.274,435.438,322.598,201.964,96.714,249.808,75.073,152.305,227.782,269.287,97.324,248.251,394.059,196.451,564.326,473.088,165.193,136.092,126.639,172.885,258.423,279.171,397.589,250.098,390.298,176.706,360.2,338.409,386.893,426.149,225.813,203.416,141.809,125.8,0,288.654,169.904,274.92,499.917,451.893,368.93,100.12,251.807,419.522,350.277,315.64,249.735,68.911,359.804,244.787,550.054,172.157,102.625,220.776,360.65,292.198,422.212,23.243,439.405,131.005,195.362
"Orleans",354.953,435.736,544.007,325.774,436.896,193.496,477.014,324.674,249.718,199.534,241.039,191.616,356.82,477.544,367.291,277.693,200.531,124.525,421.554,244.914,200.104,230.175,331.696,353.812,120.475,418.07,198.458,468.769,446.978,376.229,534.718,386.907,175.168,150.315,204.576,288.248,0,113.78,271.737,309.115,560.462,358.266,263.529,360.376,366.941,328.173,307.943,176.423,225.65,86.479,138.349,658.623,155.453,298.087,329.345,446.182,254.414,478.856,263.767,547.974,315.145,342.917
"Oswego",280.026,304.686,469.509,250.847,320.152,72.271,360.27,250.176,175.22,124.607,166.112,117.118,282.322,402.617,250.547,375.76,298.512,17.937,290.504,170.416,125.177,155.248,256.769,278.885,110.18,343.143,123.531,394.271,372.48,301.302,460.22,270.163,100.241,75.817,84.763,158.965,114.078,0,196.81,372.409,485.964,283.339,146.785,285.878,292.014,253.246,233.016,146.56,108.906,185.228,110.188,584.125,80.526,223.589,254.847,371.255,179.487,403.929,147.023,473.476,184.082,192.559
"Otsego",121.694,403.417,307.219,78.675,455.107,207.304,502.951,201.339,124.016,73.152,35.23,121.508,162.327,209.848,381.099,291.216,292.491,178.689,389.235,106.579,70.473,45.945,49.894,126.992,118.539,146.375,69.862,227.397,205.606,142.97,318.362,400.715,105.58,159.991,250.382,275.055,270.425,196.631,0,226.807,323.674,125.007,277.337,115.543,146.412,106.354,71.717,51.064,239.458,268.822,101.195,421.835,122.804,174.752,99.112,178.486,21.643,198.395,279.059,311.186,328.953,356.725
"Putnam",155.372,628.308,388.716,213.266,624.409,381.009,664.527,426.23,348.907,258.882,231.531,374.997,358.074,280.28,554.804,76.752,145.532,352.394,614.126,331.47,295.725,220.667,231.632,98.558,240.626,220.806,286.25,317.73,306.091,172.922,399.859,574.42,279.285,333.696,424.087,499.946,309.695,370.336,226.331,0,405.171,155.579,451.042,327.531,83.454,141.168,195.435,228.343,413.163,234.524,222.209,503.332,296.509,399.643,324.003,248.918,214.406,275.4,451.28,392.683,502.658,530.43
"Queens",252.065,577.491,18.295,252.463,629.181,439.775,677.025,375.413,309.851,412.336,384.985,368.894,193.831,128.928,623.668,467.165,503.351,466.231,563.309,315.864,341.017,374.121,269.022,321.503,445.698,175.72,350.397,91.318,132.904,220.838,23.74,678.678,432.739,410.846,526.223,449.129,557.553,484.173,316.189,402.756,0,251.61,527.337,200.605,322.361,274.423,270.294,381.797,465.789,574.531,428.354,105.449,449.963,348.826,247.759,176.835,351.926,132.029,453.133,11.484,558.222,634.688
"Rensselaer",3.185,497.993,238.937,82.951,536.335,292.935,576.453,295.915,218.592,170.808,143.457,257.316,208.295,130.501,466.73,219.193,255.379,264.32,483.811,201.155,207.651,132.593,101.317,73.531,204.17,71.027,198.176,167.951,156.312,27.181,250.08,486.346,191.211,245.622,336.013,369.631,356.056,282.262,125.446,154.784,255.392,0,362.968,191.121,74.389,32.895,65.12,140.269,325.089,326.559,186.826,353.553,208.435,269.328,193.688,99.139,110.398,129.659,363.206,242.904,414.584,442.356
"Richmond",358.968,153.029,513.645,329.789,204.719,86.609,252.563,153.28,230.512,203.549,245.054,189.552,326.458,472.266,148.555,454.702,448.855,140.96,138.847,252.003,204.119,234.19,335.711,357.827,225.865,422.085,202.473,438.407,416.616,380.244,504.356,168.171,179.183,148.251,85.791,100.305,264.421,145.671,275.752,451.351,530.1,362.281,0,330.014,370.956,332.188,311.958,225.502,45.816,335.571,220.554,628.261,175.72,180.832,298.983,450.197,258.429,482.871,76.772,517.612,57.553,128.953
"Rockland",189.972,380.727,191.675,112.725,432.417,243.011,480.261,178.649,113.087,168.198,142.694,172.13,32.634,145.712,426.904,388.317,424.503,269.467,366.545,101.184,140.411,153.409,95.898,221.58,224.139,140.276,149.791,111.853,90.062,190.65,202.818,481.914,172.312,214.082,329.459,252.365,360.789,287.409,115.583,323.908,208.13,189.517,330.573,0,243.513,174.268,128.69,158.528,269.025,431.939,206.5,306.291,244.43,152.062,50.881,112.303,137.37,173.865,256.369,195.642,361.458,437.924
"Saratoga",73.655,546.591,306.999,131.549,542.692,299.292,582.81,344.513,267.19,177.165,149.814,293.28,276.357,198.563,473.087,166.295,202.481,270.677,532.409,249.753,214.008,138.95,149.915,28.631,210.527,139.089,204.533,236.013,224.374,91.205,318.142,492.703,197.568,251.979,342.37,418.229,362.413,288.619,144.614,83.354,323.454,73.862,369.325,245.814,0,59.451,113.718,146.626,331.446,273.661,193.183,421.615,214.792,317.926,242.286,167.201,132.689,193.683,369.563,310.966,420.941,448.713
"Schenectady",30.586,479.625,261.613,64.583,506.186,262.786,546.304,277.547,200.224,140.659,113.308,256.774,238.535,153.177,436.581,205.904,242.09,234.171,465.443,182.787,177.502,102.444,82.949,54.356,174.021,93.703,168.027,190.627,178.988,51.862,272.756,456.197,161.062,215.473,305.864,351.263,325.907,252.113,107.078,141.495,278.068,33.899,332.819,178.848,61.1,0,46.752,110.12,294.94,324.304,156.677,376.229,178.286,250.96,175.32,121.815,96.183,154.489,333.057,265.58,384.435,412.207
"Schoharie",60.918,444.186,257.44,17.831,495.876,242.909,543.72,242.108,164.785,120.782,79.455,203.509,161.852,149.004,416.704,259.627,295.813,214.294,430.004,147.348,122.421,82.567,47.51,92.89,154.144,85.531,114.087,186.454,174.815,82.194,268.583,436.32,141.185,195.596,285.987,315.824,306.03,232.236,71.639,195.218,273.895,64.231,312.942,129.217,114.823,45.578,0,90.243,275.063,304.427,136.8,372.056,158.409,215.521,139.881,117.642,62.177,137.551,319.828,261.407,364.558,392.33
