"","Barbour","Berkeley","Boone","Braxton","Brooke","Cabell","Calhoun","Clay","Doddridge","Fayette","Gilmer","Grant","Greenbrier","Hampshire","Hancock","Hardy","Harrison","Jackson","Jefferson","Kanawha","Lewis","Lincoln","Logan","Marion","Marshall","Mason","McDowell","Mercer","Mineral","Mingo","Monongalia","Monroe","Morgan","Nicholas","Ohio","Pendleton","Pleasants","Pocahontas","Preston","Putnam","Raleigh","Randolph","Ritchie","Roane","Summers","Taylor","Tucker","Tyler","Upshur","Wayne","Webster","Wetzel","Wirt","Wood","Wyoming"
"Pocahontas",125.8,217.833,187.483,131.333,244.2,200.517,116.167,132.35,174.817,109.033,126.25,272.4,288.65,175.533,227.067,132.4,118.133,165.683,165.017,211.967,209.8,170.233,203.017,235.217,178.65,223.15,170,132.017,161.15,36.517,177.467,92.95,201.133,83.233,237.933,84.7,206.85,0,161.117,178.1,104.033,86.717,193.533,162.033,178.267,136.133,117.517,196.767,120.117,219.733,142.2,228.4,197.95,206.017,150.933
"Preston",56.083,139.933,203.1,121.167,123.8,215.467,54.3,156.583,99.083,174.067,107.067,151.983,354.917,64.733,105.167,226.083,149.417,225.233,179.983,139.733,200.767,259.617,229.267,140.067,186.55,187.45,263.683,225.717,76.25,124.383,51.217,251.533,167.683,148.117,117.517,132.217,131.117,162,0,193.067,202.233,75.283,120.4,176.3,120.55,96.117,43.817,121.033,86.633,234.683,49.217,143.817,164.617,192.767,240.333
"Putnam",149.667,282.8,56.667,104.5,194.767,42.183,153.333,74.867,125.15,100.05,99.417,225.417,383.85,230.433,248.05,116.05,85.217,78.8,26.633,88.567,42.167,126.017,82.833,168.567,69.417,62.25,153.65,115.667,239.733,181.233,160.667,157.6,73.85,104.467,170.1,223.083,118.333,179.133,193.117,0,91.2,147.517,116.8,87.433,138.2,236.367,167.383,140.583,125.417,61.4,150.717,151.067,95.9,41.633,130.283
"Raleigh",156.367,236.133,95.583,111.2,234.1,112.333,160.033,93.617,164.717,45.95,106.117,262.283,306.267,237.133,254.75,44.333,98,73.783,76.833,130.917,121.617,78.333,111.117,210.9,111.767,138.2,81.933,43.967,246.433,139.333,167.367,80.017,116.183,59.367,212.45,172.85,160.667,105.217,199.817,89.917,0,154.217,159.133,123.05,158.15,227.333,174.083,182.917,132.117,131.55,157.417,193.4,138.233,121.083,59.033
"Randolph",39.083,185.817,158.117,76.183,157.483,170.483,29.45,111.6,88.1,129.083,62.083,185.667,325.067,110.117,169.067,181.117,104.433,180.25,135,128.75,179.783,214.633,184.283,148.5,147.933,176.467,218.7,180.733,103.15,49.083,90.75,176.25,156.7,103.15,151.217,75.567,120.133,86.7,74.4,148.083,157.25,0,109.417,131.317,99,88.833,30.8,110.05,33.4,189.7,55.483,141.683,134.567,176,195.35
"Ritchie",82.933,208.617,133.983,86.467,142.75,146.35,90.35,107,26.15,145.817,66.45,169.183,431.983,156.25,173.85,186.933,107.117,156.133,110.867,39.75,100.783,203.333,160.15,90.9,90.017,87.467,224.533,186.55,163.617,156,86.483,220.767,67.7,119.883,116.6,182.483,30.183,194.533,118.933,119.1,162.083,106.917,0,78.817,32.067,190.183,124.833,41.6,84.817,165.583,76.533,69.383,48.983,92.783,201.167
"Roane",133.05,266.183,96.783,80.65,175.383,109.167,136.717,63.533,106.067,114.75,69.483,206.033,415.95,213.817,231.433,149.733,68.467,118.933,73.683,64.383,75.733,166.15,122.967,149.167,17.5,78.383,187.333,149.35,223.117,165.583,144.05,189.7,57.15,88.8,150.717,206.467,98.95,163.467,176.5,87.967,124.883,130.9,81.1,0,97.5,219.75,150.767,121.5,108.8,128.383,134.1,131.667,37.017,61.267,163.983
"Summers",83.683,209.367,155.267,72.083,161.15,167.633,91.117,113.95,26.917,131.45,52.083,187.583,424.517,157,174.617,183.467,106.8,177.417,132.15,61.033,122.067,217,181.433,106.1,112.85,108.75,221.067,183.1,164.383,148.533,87.233,206.4,88.983,105.5,134.983,175,52.417,180.167,119.683,140.383,159.617,99.433,32.933,96.233,0,188.283,119.317,53.35,77.35,186.867,77.283,84.6,77.917,114.067,197.717
"Taylor",110.983,102.117,245.783,163.867,202.333,258.167,109.2,199.267,171.467,216.75,149.75,230.517,276.383,70.767,106.517,260.95,192.1,267.933,222.667,212.117,267.45,292.767,271.95,223.7,235.6,259.833,292.55,254.567,56.367,134.483,130.35,205.767,240.067,190.817,196.05,55.55,203.5,135.017,96.267,235.75,226.583,87.667,192.783,218.983,186.667,0,70.617,193.4,121.067,277.383,121.6,227.45,222.25,265.15,273.483
"Tucker",43.767,155.55,178.15,96.233,158.667,190.533,41.983,131.633,104.217,149.117,82.117,186.85,329.817,79.85,138.8,201.15,124.467,200.3,155.033,144.867,199.817,234.683,204.317,164.6,167.967,192.583,238.75,200.767,72.867,80.55,87.767,207.7,172.817,123.183,152.383,95.333,136.25,118.167,43.583,168.117,177.3,31.45,125.533,151.35,119.033,71.017,0,126.15,53.433,209.75,57.583,157.783,154.617,197.9,215.4
"Tyler",85.667,211.35,156.317,111.633,107.783,168.683,93.083,149.483,26.783,159.833,91.633,134.217,434.717,158.983,176.583,209.267,135.183,178.467,133.2,62.083,123.117,225.667,182.483,52.733,108.9,109.8,246.867,208.883,166.35,158.733,89.217,234.8,90.033,133.9,81.633,185.217,53.467,196.367,121.667,141.433,184.417,109.65,42.75,121.317,53.533,192.917,127.567,0,87.55,187.917,79.267,31.233,86.967,115.117,223.5
"Upshur",34.583,190.9,136.133,54.217,135.5,148.5,36.467,89.617,66.117,107.1,40.1,163.7,355.717,129.85,156.15,159.133,82.45,158.267,113.017,106.783,157.8,192.667,162.3,126.517,125.95,154.5,196.733,158.75,122.867,79.75,68.767,182.067,134.717,81.167,129.233,106.217,98.15,117.367,83.733,126.1,135.283,30.65,87.433,109.333,77.017,119.5,50.517,88.067,0,167.733,48.883,119.7,112.583,154.017,173.367
"Wayne",189.833,322.95,86.017,144.667,240.417,30.033,193.483,115.033,170.783,140.217,139.583,271.067,424,270.583,288.2,156.2,125.383,108.15,68.35,134.217,81.083,126.317,83.133,214.2,115.067,101.167,188.133,155.833,279.9,221.4,200.833,197.767,119.483,144.633,215.75,263.25,163.967,219.283,233.283,61.2,131.35,187.667,162.433,126.35,183.833,276.517,207.55,186.217,165.583,0,190.867,196.7,141.533,93.367,145.517
"Webster",17.95,170.783,160.883,78.95,115.617,173.25,26.067,114.367,56.867,131.85,64.85,143.8,380.75,103.2,136.033,183.867,107.2,183.017,137.767,97.517,158.55,217.4,187.05,115.417,144.333,145.233,221.467,183.5,114.55,104.783,46.717,206.8,125.467,105.9,109.333,131.25,88.9,142.4,48.683,150.85,160.017,55.683,78.183,134.083,78.333,119.933,57.95,78.817,49.3,192.467,0,113.1,122.4,150.55,198.117
"Wetzel",117.017,229.133,166.183,138.317,77.183,178.55,124.45,175.967,58.633,191.2,123.483,103.617,450.983,176.767,194.383,219.117,176.083,188.317,143.067,76.967,132.983,235.533,192.35,22.133,118.767,120.5,256.717,218.75,184.15,190.1,101.583,260.683,100.733,165.267,51.017,216.583,57.517,227.717,142.75,151.3,194.283,141,69.233,132.417,85.383,225.967,158.917,31.833,118.917,197.767,112.317,0,95.65,124.983,233.367
"Wirt",125.633,251.317,114.233,97.917,138.483,126.6,133.067,100.933,68.867,150.85,77.917,169.133,434.983,198.95,216.567,167.183,104.583,136.367,91.117,29.883,81.033,183.583,140.4,112.283,43.033,80.1,204.767,166.8,206.333,184.95,129.183,208.733,55.65,124.917,113.817,211.417,62.05,199.583,161.633,99.35,142.333,135.85,49.317,37.383,78.65,224.7,155.733,84.3,113.767,145.833,119.233,94.767,0,73.033,181.417
"Wood",155,280.683,87.217,129.333,167.85,73.633,162.433,99.7,98.233,128.233,128.083,198.5,412.017,228.317,245.933,144.217,110.05,109.35,58.75,61.65,31.783,156.567,113.383,141.65,42.65,41.8,181.817,143.833,235.7,206.067,158.55,185.783,42.433,129.3,143.183,247.9,91.417,203.95,191,40.683,119.367,172.333,89.867,60.65,111.283,262.25,192.217,113.667,150.25,92.867,148.6,124.15,68.983,0,158.467
"Wyoming",194.817,284.483,90.65,149.65,272.55,151.967,198.467,132.067,203.15,84.4,144.567,300.733,354.6,275.567,293.183,89.6,136.45,68.867,116.467,170.55,161.25,19.283,65.25,250.533,151.4,177.833,68.567,75.633,284.883,187.683,205.817,128.367,155.817,97.8,252.083,221.183,200.3,153.55,238.267,129.55,58.733,192.65,198.767,162.683,196.583,275.667,212.533,222.55,170.567,142.383,195.85,233.033,177.883,160.717,0
