"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Scotts Bluff",378.6,227.75,148.067,31.617,321.467,327.833,57.983,312.333,304.817,248.217,423.6,342.5,398.867,336.483,174.567,174.217,59.967,311.283,392.017,404.017,282.167,442.65,433.25,430.75,114.75,409.65,376.733,377.333,209.75,327,290.583,200.917,264.5,396.45,226.917,284.033,226.15,147.817,300.933,176.433,342.783,271.617,263.233,225.833,372.533,383.2,304.317,382.2,410.917,248.217,181.983,257.317,49.7,307.75,359.133,346.6,228.417,272.483,358,184.1,308.733,20.767,330.017,424.55,330,386.95,421.967,167.2,246.6,377.7,259.683,321.117,241.883,351.383,267.283,358.083,383.333,275.183,0,333.5,221.217,234.767,70.233,379.017,326.15,170.55,425.367,393.95,403.017,406.167,376.733,277.217,313.2
"Seward",61.917,274.233,248.05,319.283,259.083,94.067,325.667,216.733,44.4,159.95,105.45,57.133,79.783,87.267,258.217,304.133,280.833,68.4,68.8,98.367,177.1,145.917,125.217,114.05,223.633,122.483,76.967,60.633,250.5,52.667,130.25,181.25,171.733,84.283,167.2,199.133,136.967,228.05,114.933,172.067,66.633,147.25,103.217,233.467,55.833,66.5,89.217,68,94.217,96.9,162.25,251,294.25,33.417,39.45,28.833,206.5,116.183,85.867,206.033,67.433,349.233,76.3,107.867,91.25,70.25,105.283,218.05,132.067,117.283,81.083,49.3,189.1,18.517,221.983,40.55,64.267,130.417,333.583,0,187.217,200.767,398.717,93.95,26.967,212.633,120.133,70.25,83.95,107.417,76.967,136.267,31.333
"Sheridan",230.567,121.083,134.9,207.3,246.85,210.533,214.667,257.833,156.783,102.033,276.483,194.467,250.817,192.933,106.4,216.65,168.85,163.167,243.983,280.367,124.817,325.467,302.017,282.7,111.65,298.583,253.083,229.283,103.583,178.967,129.067,20.617,92.85,245.367,122.5,73.233,54.5,86.483,184.4,63.133,190.05,108.017,110.133,86.567,224.483,235.15,159.8,231.117,262.867,100.167,68.317,211.917,182.267,159.717,211.1,198.567,113.967,124.433,234.967,92.883,160.7,237.25,181.983,276.517,168.3,238.917,273.933,69.033,74.95,266.367,111.65,173.083,65.917,203.35,204.617,210.05,235.3,171.9,221.6,185.45,0,35.817,286.733,256.183,178.117,120.267,302,245.917,254.983,283.533,253.083,190.833,165.167
"Sherman",244.717,135.233,149.05,221.45,261,224.683,228.817,271.983,170.933,116.183,290.633,208.617,264.967,207.083,106.683,230.8,183,177.317,258.133,294.517,138.967,339.617,316.167,296.85,125.8,312.733,267.233,243.433,98.967,193.117,126.783,34.767,83.433,242.883,136.65,71.45,68.65,100.633,198.55,77.283,204.2,104.183,124.283,81.933,238.633,249.3,173.95,228.633,277.017,114.317,82.467,226.067,196.417,173.867,225.25,212.717,128.117,138.583,249.117,107.033,174.85,251.4,196.133,290.667,165.817,253.067,288.083,83.183,89.1,280.517,125.8,187.233,37.567,217.5,218.767,224.2,249.45,186.05,235.75,199.6,36.917,0,300.883,270.333,192.267,134.417,316.15,260.067,269.133,297.683,267.233,204.983,179.317
"Sioux",443.817,292.95,172.817,96.767,294.35,354.617,84.767,285.217,370.033,309.733,441.983,385.433,464.067,363.267,239.783,147.117,125.183,376.5,430.783,434.233,308.95,415.533,428.617,495.95,179.967,382.55,403.517,442.55,274.967,392.217,355.8,266.133,329.717,461.667,253.7,349.25,291.367,213.033,327.733,241.65,408,336.817,328.45,291.05,437.75,448.417,331.1,447.417,476.133,313.433,247.2,230.2,114.867,372.967,424.35,411.817,266.3,304.45,379.017,210.9,361.35,63.017,361,489.767,395.217,452.167,487.183,232.417,311.817,350.583,324.9,374.15,307.1,415.617,240.183,423.3,448.55,301.983,70.167,398.717,286.433,299.983,0,381.383,391.367,197.333,418.267,447.6,457.817,384.533,403.517,304,378.417
"Stanton",152.75,344.983,293.9,390.033,199.8,69.9,320.417,139.2,129.233,220.283,72.967,64.383,121.633,78.55,328.967,238.117,351.583,141.3,65.383,65.2,225.333,75.167,59.583,180.467,294.383,48.3,38.6,151.483,321.25,135.683,201.017,252.017,242.483,178.183,190.8,269.883,207.717,298.8,101.6,242.817,149.633,218.017,173.967,304.217,146.683,157.35,116.183,161.917,171.633,167.267,233,173.467,365.017,116.433,121.567,115.7,234.217,164.5,26.733,251.883,95.467,392.217,82.633,172.667,164.15,139.483,182.7,288.8,202.817,37.633,151.833,99.2,259.85,87.967,144.467,134.467,108.9,129.333,377.55,94.033,257.983,271.517,381.383,0,110.15,207.4,51.7,82.683,92.9,33.233,38.6,102.967,111.233
"Thayer",85.417,266.433,240.25,311.483,244.517,79.5,316.05,202.167,36.283,152.167,132.35,54.633,106.683,72.7,250.417,294.533,273.033,60.6,96.833,126.4,169.3,173.95,153.25,137.55,215.833,150.5,105,84.133,242.7,42.733,122.45,173.45,163.933,104.983,157.583,191.333,129.167,220.25,100.367,164.267,56.7,139.467,95.417,225.667,79.333,90,74.65,88.717,117.717,89.1,154.45,236.433,286.45,23.483,65.95,53.417,201,106.583,90.2,198.233,52.867,341.433,61.733,131.367,83.45,93.75,128.783,210.25,124.267,121.6,73.283,34.733,181.3,46.55,207.433,64.883,91.15,115.85,325.783,28.017,179.417,192.967,390.917,111.417,0,203.033,148.15,98.267,110.85,135.45,105,121.7,16.767
"Thomas",259.483,170.917,88.267,190.783,154.133,157.283,113.017,157.883,185.7,112.383,253.033,188.1,279.733,165.917,156.6,97.55,171.083,192.667,233.433,233.45,111.617,273.067,262.683,311.617,124.633,240.067,206.167,258.2,178.4,207.867,182.167,100.383,163.617,277.333,56.35,182.867,125.267,129.05,130.383,66.033,221.833,162.35,154.817,161.367,253.4,264.067,133.75,263.083,291.783,132.717,76.1,107.25,195.25,188.617,240.017,227.467,68.95,107.1,187.45,60.05,164,184.817,163.667,305.433,215.517,267.817,302.833,119.217,145.717,208.117,151.283,176.8,140.733,218.267,99.95,238.95,264.2,104.633,170.15,214.367,120.7,134.25,198.217,208.467,205.2,0,254.8,250.25,260.467,235.6,206.167,106.65,194.067
"Thurston",159.017,390.417,340.25,435.45,236.85,116.25,366.783,172.35,164.483,266.633,58.6,107.283,117.85,124.9,374.4,275.167,397.017,186.733,88.167,56.333,271.683,35.033,41.55,176.667,339.8,43.05,53.2,148.183,366.667,172.75,246.433,297.433,287.9,183.2,237.15,315.3,253.15,344.233,147.95,288.25,186.717,263.433,219.4,349.633,152.95,163.617,161.6,179.85,167.85,212.683,278.433,210.517,410.433,153.5,126.633,121.967,280.567,209.933,72.75,298.233,140.883,438.583,128.983,168.867,209.583,135.683,178.9,334.217,248.25,69.217,197.25,144.633,305.267,109.35,181.5,159.617,105.1,175.683,423.9,120.217,303.4,316.95,418.433,51.817,147.05,253.75,0,78.9,89.117,36.867,53.2,149.317,151.417
"Valley",89.383,336.683,311.633,381.717,274.95,108.767,362.683,214.35,106.833,222.4,50.533,76.35,43.817,112.983,320.667,313.283,343.283,130.85,54.683,66,243.067,91.667,67.867,102.65,286.067,102.683,48.583,74.167,312.933,115.117,192.7,243.7,234.167,119.617,208.533,261.567,199.417,290.5,145.167,234.517,129.067,209.7,165.667,295.9,89.35,95.517,120.917,116.25,93.817,159.35,224.7,248.633,356.7,95.867,56.75,59.317,251.95,171.9,86.4,269.617,102.85,411.683,106.583,94.833,153.7,61.667,104.867,280.483,194.517,112.833,143.517,96.983,251.533,59.867,219.617,96.033,31.067,165.4,396.033,70.717,249.667,263.217,447.883,82,97.55,249.65,78.167,0,19.45,87.617,48.583,145.233,97.283
