"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Drew",80.933,183.5,24.883,104.133,217.25,173.183,140.367,97.9,92.333,219.617,195.2,130.7,149.833,220.217,113.117,200.5,192.367,181.8,294.883,59.567,177.067,0,207.917,225.75,166.333,165.733,179.567,219.617,151.083,134.433,121.7,267.75,216.35,224.317,169.683,244.2,93.567,199.383,176.667,252.7,220.817,181.967,107.233,165.2,188.317,40.433,190.133,220.65,133.717,139.033,134.717,224.75,140.183,205.2,177.55,191.517,223.217,150.117,219.233,96.917,42.667,14.517,94.35,129.85,219.867,223.35,190.267,271.2,206.95,116.317,210.067,163.867,67.55,152.067,260.3
"Faulkner",221.5,229.883,231.4,113.133,127.567,146.85,191,131.45,127.65,266,25.017,223.983,193.95,266.583,153.933,246.867,108.3,231.333,271.9,176.95,223.433,206.817,0,272.117,88.883,122.35,178.167,266,95.367,86.95,162.517,308.567,262.717,247.283,216.05,196.417,148.15,245.75,177.65,208.533,81.983,174.767,153.733,214.733,237.85,185.45,239.667,270.167,91.183,92.267,175.017,61.333,153.65,251.567,60.2,237.883,246.167,163.967,265.6,143.417,212.067,193.967,140.833,176.217,150.9,57.783,236.633,317.567,247.75,162.683,152.717,80.75,236.75,198.45,212.517
"Franklin",216.433,52.05,249.883,163.683,252.217,287.667,134.7,243.617,151.9,113.85,265.05,191.45,141.717,90.083,154.883,108.15,232.483,157.933,183.933,237.5,60.117,225.317,271.117,0,244.367,277.867,214.533,113.85,237.717,193.983,157.933,77.033,19.117,149.083,88.6,220.5,246.133,84.583,211.633,248.65,298.85,216.933,142.733,169.883,160.617,197.45,157.467,161.867,194.367,223.817,131.25,280.917,174.067,114.317,246.733,128.633,158.117,185.083,128.35,141.35,222.083,229.35,144.483,104.883,254.833,302.3,61.033,153.25,60.6,114.05,245.033,241.9,289.8,107.683,234.433
"Fulton",195.117,203.483,189.15,86.733,202.333,67.917,164.617,97.117,101.25,239.6,67.733,197.6,164.25,240.2,127.533,220.483,149.367,204.95,309.3,120.583,197.033,164.567,88.8,245.733,0,40.85,193.983,239.6,17.767,98.017,136.117,282.167,236.317,238.733,189.667,258.617,82.217,219.35,191.083,267.117,59.35,196.383,127.35,188.333,211.45,150.017,213.267,243.783,62.2,31.867,148.617,137.35,143.267,225.183,52.583,211.483,237.617,164.533,239.217,117.017,180.017,151.717,114.45,149.817,226.917,71.033,210.233,291.183,221.367,136.3,234.25,18.017,169.55,172.05,274.7
"Garland",221.017,234.917,189.017,118.167,222.05,32.483,196.033,97.717,132.683,271.033,100.9,229.017,195.667,271.617,158.967,251.9,184.45,236.367,340.717,120.45,228.467,164.433,121.95,277.15,41.617,0,225.4,271.033,42.683,129.433,167.533,313.6,267.75,270.15,221.083,290.9,80.383,250.783,222.517,303.017,73.3,227.8,158.767,219.767,242.883,149.883,244.7,275.2,93.617,61.25,180.05,155.817,174.683,256.6,94.217,242.917,269.05,195.95,270.633,148.45,194.433,151.583,145.867,181.25,245.367,89.917,241.667,322.6,252.783,167.717,247.2,57.667,144.633,203.483,307
"Grant",186.05,183.4,202.733,110.55,51.517,234.533,149.233,193.567,102.933,216.467,193.25,182.217,75.067,217.067,72.417,197.35,94.167,189.567,142.783,190.35,166.917,178.15,180.25,213.85,191.233,224.733,0,216.467,184.583,140.9,58.417,197.083,195.183,106.767,166.533,78.017,198.967,196.233,8.767,86.517,214.617,19.583,111.967,172.967,196.083,150.3,197.9,228.4,141.233,170.683,95.017,130.65,69.183,202.05,190.5,188.367,111.5,38.217,216.083,101.65,174.933,182.2,105.383,126.7,53.683,189.917,190.15,268.05,153.95,113.167,43.883,188.767,242.633,148.917,94.1
"Greene",193.133,97.967,245.567,159.367,256.05,283.35,128.233,239.3,147.567,0,260.733,156.667,188.633,58.633,150.567,34.2,237.4,80.35,287,233.183,109.033,220.983,266.783,114.3,240.05,273.533,218.367,0,233.4,189.667,160.5,177.283,118.983,252.15,70.65,283,241.8,45.5,215.467,291.5,294.533,220.767,138.417,105.767,83.033,193.133,79.867,62.933,190.033,219.483,137.45,276.6,178.983,28.067,242.4,56.517,261.2,188.917,38.817,137.017,217.767,225.033,140.167,100.55,258.667,297.983,94.717,51.567,146.65,109.733,248.867,237.583,285.483,100.483,299.083
"Hempstead",186.367,194.733,171.367,77.983,197.233,52.45,155.867,79.333,92.5,230.85,74.85,188.833,155.5,231.45,118.783,211.733,144.267,196.183,300.55,102.8,188.283,146.8,95.9,236.983,17.9,42.65,185.233,230.85,0,89.267,127.367,273.417,227.567,229.967,180.917,249.867,64.433,210.6,182.333,258.367,74.117,187.633,118.583,179.583,202.7,132.233,204.517,235.033,53.45,22.383,139.867,144.1,134.517,216.417,54,202.733,228.867,155.783,230.467,108.267,171.267,133.95,105.7,141.067,229.067,81.317,201.483,282.417,212.6,127.55,229.15,15.55,151.767,163.3,265.95
"Hot Spring",144.15,152.517,159.067,35.767,130.717,139.433,113.65,96.783,50.283,188.633,80.867,146.617,118.6,189.233,76.567,169.517,75.017,153.967,257.683,121.633,146.067,134.5,86.933,194.767,96.133,129.633,142.383,188.633,89.483,0,85.15,231.2,185.35,185.767,138.7,207.017,113.033,168.383,139.483,215.5,142.317,125.017,76.367,137.367,160.483,106.633,162.3,192.817,39.283,75.583,97.65,95.833,78.317,174.2,78.117,160.517,184.667,102.45,188.25,66.05,131.267,138.667,63.483,98.85,171.667,118.117,159.267,240.2,170.383,85.333,171.75,93.667,198.583,121.083,223.1
"Howard",128.883,126.233,145.567,53.383,97.217,177.367,92.067,136.4,45.767,159.317,154.75,125.05,29.783,159.9,15.25,140.183,77.867,132.4,174.833,133.183,109.767,120.983,160.817,156.95,134.067,167.567,59.517,159.317,127.417,83.683,0,157.85,138.283,104.267,109.367,124.15,141.8,139.067,56.617,132.65,188.55,61.917,54.8,115.8,138.917,93.133,140.733,171.233,84.067,113.517,37.867,146.667,19.45,144.883,136.433,131.2,103.167,30.067,158.917,44.483,117.767,125.033,48.217,69.533,99.833,192,132.983,210.883,97.033,56,90.017,131.6,185.467,91.767,140.25
