"","Adams","Antelope","Arthur","Banner","Blaine","Boone","Box Butte","Boyd","Brown","Buffalo","Burt","Butler","Cass","Cedar","Chase","Cherry","Cheyenne","Clay","Colfax","Cuming","Custer","Dakota","Dawes","Dawson","Deuel","Dixon","Dodge","Douglas","Dundy","Fillmore","Franklin","Frontier","Furnas","Gage","Garden","Garfield","Gosper","Grant","Greeley","Hall","Hamilton","Harlan","Hayes","Hitchcock","Holt","Hooker","Howard","Jefferson","Johnson","Kearney","Keith","Keya Paha","Kimball","Knox","Lancaster","Lincoln","Logan","Loup","Madison","McPherson","Merrick","Morrill","Nance","Nemaha","Nuckolls","Otoe","Pawnee","Perkins","Phelps","Pierce","Platte","Polk","Red Willow","Richardson","Rock","Saline","Sarpy","Saunders","Scotts Bluff","Seward","Sheridan","Sherman","Sioux","Stanton","Thayer","Thomas","Thurston","Valley","Washington","Wayne","Webster","Wheeler","York"
"Dawes",217.384,570.651,535.704,774.48,326.023,183.762,617.469,277.622,251.569,401.936,53.679,159.921,163.671,201.082,587.16,450.415,700.998,301.43,115.414,51.277,371.648,52.375,0,263.783,593.357,103.203,81.352,195.444,572.379,264.208,380.714,479.193,454.841,254.441,367.206,471.198,407.018,591.929,236.921,481.804,285.01,417.866,336.039,543.432,212.994,223.984,248.776,249.367,235.537,316.672,465.001,339.984,732.762,231.706,155.288,159.645,419.459,323.252,114.194,471.593,212.915,728.006,210.375,259.321,338.216,189.352,255.284,567.904,384.69,115.578,300.403,215.829,476.089,160.048,290.27,222.527,137.238,281.082,703.213,184.149,476.203,493.975,691.758,82.162,225.961,419.152,53.482,96.316,106.846,82.102,81.352,240.586,235.369
"Dawson",90.503,511.514,619.348,791.485,553.236,322.488,727.227,512.483,235.788,437.979,203.94,269.677,103.641,321.855,528.023,688.183,718.003,226.034,239.146,253.498,455.22,300.516,272.554,0,610.362,342.995,244.797,119.432,513.242,188.02,291.153,496.198,371.833,101.482,441.644,412.061,424.023,608.934,369.129,498.809,185.616,327.154,298.219,484.295,103.514,90.367,328.215,114.691,44.988,347.01,482.006,560.209,749.767,215.925,138.561,139.957,520.112,366.312,308.517,555.237,280.376,801.244,307.583,36.828,215.468,98.042,38.5,584.909,346.729,335.803,317.408,259.475,416.952,191.301,510.495,127.701,127.393,391.311,775.576,181.921,493.208,510.98,881.128,297.429,222.567,528.91,284.073,169.48,167.657,302.327,244.797,405.758,219.588
"Deuel",525.42,145.498,92.695,182.854,403.4,454.712,178.582,464.069,383.317,232.643,612.043,434.339,555.088,425.138,108.412,294.077,109.372,400.466,491.755,546.722,257.944,622.605,627.079,609.907,0,586.13,518.961,516.817,165.829,430.409,344.681,169.479,281.297,544.891,229.618,261.524,223.057,63.864,346.136,123.144,418.488,308.428,299.26,192.588,521.03,532.02,379.594,526.174,568.172,271.371,135.648,373.427,141.136,397.907,482.025,473.546,181.568,306.536,494.177,173.835,381.345,204.663,410.866,600.461,408.13,534.305,587.919,92.709,256.014,539.2,301.167,409.627,217.042,474.187,360.983,487.315,546.621,320.085,178.995,448.141,187.016,204.788,284.547,526.159,423.353,223.047,589.307,553.326,561.131,565.029,518.961,358.812,402.384
"Dixon",274.147,561.981,538.04,706.749,262.29,170.681,582.699,194.384,243.963,384.579,124.112,151.251,238.097,188.001,578.49,386.682,692.328,274.399,126.38,97.019,354.291,55.859,102.521,338.209,584.687,0,98.141,254.981,563.709,260.413,372.044,470.523,446.171,307.959,349.849,462.528,398.348,583.259,223.84,473.134,281.215,409.196,327.369,534.762,269.757,280.747,240.106,283.375,324.39,308.002,456.331,276.251,724.092,227.911,214.825,215.954,402.102,314.582,101.906,454.236,204.245,687.003,197.294,329.386,311.185,248.889,314.821,559.234,376.02,66.928,291.733,207.159,467.419,168.216,226.537,238.234,196.775,246.698,675.368,179.564,467.533,485.305,628.025,69.874,221.376,384.382,53.94,155.853,166.383,21.571,98.141,205.816,220.065
"Dodge",178.358,494.85,456.69,698.679,328.53,104.748,538.455,270.395,176.832,322.922,73.344,84.12,144.51,122.068,511.359,443.188,625.197,207.268,57.378,30.113,292.634,109.938,81.504,244.622,517.556,98.161,0,169.755,496.578,193.282,304.913,403.392,379.04,215.415,288.192,395.397,331.217,516.128,157.907,406.003,214.084,342.065,260.238,467.631,173.968,184.958,172.975,210.341,216.376,240.871,389.2,332.757,656.961,160.78,127.862,120.165,340.445,247.451,66.058,392.579,137.114,648.992,131.361,244.737,244.054,170.191,236.123,492.103,308.889,104.015,224.602,140.028,400.288,101.085,283.043,171.103,118.077,202.068,624.199,112.433,400.402,418.174,673.278,54.97,154.245,340.138,71.779,77.155,87.685,77.06,0,161.572,152.934
"Douglas",52.193,494.504,526.196,698.333,460.084,229.336,634.075,445.379,142.636,344.827,154.672,176.525,97.706,228.703,511.013,595.031,624.851,192.497,149.289,184.282,362.068,264.568,194.688,119.328,517.21,254.212,166.023,0,496.232,155.275,304.567,403.046,378.694,123.19,348.492,395.051,330.871,515.782,275.977,405.657,176.077,341.719,259.892,467.285,81.743,60.417,235.063,118.116,77.593,253.858,388.854,499.875,656.615,122.773,45.409,46.805,426.96,273.16,218.422,462.085,187.224,708.092,214.431,109.882,229.283,43.726,97.34,491.757,308.543,263.445,224.256,166.323,399.942,98.149,450.161,91.276,89.25,298.159,682.424,88.769,400.056,417.828,787.976,218.655,129.415,435.758,214.857,100.264,103.76,233.111,166.023,312.606,126.436
"Dundy",458.658,80.482,193.938,346.916,454.755,432.865,330.537,515.424,361.47,241.96,590.196,412.492,533.241,403.291,59.857,395.32,273.434,322.058,469.908,524.875,267.261,600.758,605.232,513.26,165.793,564.283,497.114,494.97,0,360.51,241.616,135.668,173.928,434.643,302.735,140.773,180.669,102.053,394.29,193.613,354.909,206.115,236.469,29.397,437.116,456.109,357.747,415.926,496.283,249.437,209.004,446.544,305.198,376.06,460.178,451.699,254.685,284.602,472.33,246.952,359.498,356.618,389.019,527.32,314.647,512.458,490.011,120.99,209.52,517.353,279.32,387.78,96.291,452.34,444.832,418.34,524.774,371.801,330.95,426.294,153.205,129.496,436.502,504.312,401.506,296.164,567.46,531.479,539.284,543.182,497.114,404.771,380.537
"Fillmore",99.329,358.809,439.3,611.437,373.188,142.359,547.179,332.62,55.74,257.931,249.188,111.848,192.233,141.726,375.318,508.135,537.955,38.452,166.17,222.628,275.172,307.647,264.224,188.857,430.314,260.459,193.29,153.962,360.537,0,161.454,282.002,235.729,115.349,261.596,259.356,206.011,428.886,189.081,318.761,21.669,195.628,124.653,331.59,90.133,105.929,148.167,96.632,152.201,166.962,301.958,412.979,569.719,33.857,119.17,110.691,340.064,186.264,172.169,375.189,100.328,621.196,127.454,183.238,74.778,171.45,165.608,404.861,172.848,217.192,137.36,79.346,264.247,111.332,363.265,59.011,183.766,211.263,595.528,85.286,279.012,296.784,701.08,204.151,60.428,348.862,264.294,190.471,198.276,239.358,193.29,225.71,39.459
"Franklin",243.595,240.349,353.507,525.644,329.643,241.296,509.322,372.123,169.901,172.138,398.627,220.923,341.672,211.722,256.858,464.59,452.162,123.47,278.339,333.306,189.379,409.189,413.663,291.147,344.521,372.714,305.545,303.401,242.077,161.462,0,193.838,80.679,195.911,218.051,140.896,117.847,301.217,202.721,232.968,147.615,36,45.254,213.13,215.003,233.996,166.178,177.194,274.17,81.072,216.165,369.434,483.926,184.491,268.609,260.13,254.271,116.208,280.761,289.396,167.929,535.403,197.45,305.207,88.145,320.889,258.451,272.964,84.684,325.784,87.751,196.211,145.787,260.771,319.72,211.046,333.205,207.371,509.735,234.725,190.848,165.789,615.287,312.743,209.937,305.317,375.891,339.91,347.715,351.613,305.545,239.35,188.968
"Frontier",410.213,123.809,178.822,350.443,344.276,339.505,334.121,404.945,268.11,126.273,496.836,319.132,439.881,309.931,142.116,328.092,276.961,243.561,376.548,431.515,151.574,507.398,511.872,494.7,169.32,470.923,403.754,401.61,135.733,315.202,193.861,0,134.437,377.306,170.494,111.84,76.197,107.378,300.93,61.372,277.234,159.175,157.972,106.786,405.823,416.813,264.387,358.589,452.965,156.164,76.763,314.303,308.725,282.7,366.818,358.339,122.444,191.329,378.97,114.711,266.138,360.202,295.659,485.254,257.31,419.098,472.712,79.125,109.154,423.993,185.96,294.42,67.358,358.98,301.859,372.108,431.414,271.58,334.534,332.934,17.536,35.308,440.086,410.952,308.146,163.923,474.1,438.119,445.924,449.822,403.754,299.688,287.177
