"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Lake of the Woods",144.759,34.917,40.288,392.917,105.811,261.038,248.371,199.624,199.1,90.882,245.442,197.968,102.209,271.547,42.017,342.679,241.106,141.446,298.659,182.791,131.338,145.396,250.866,226.497,161.681,88.271,66.787,299.998,243.37,42.1,302.253,300.711,65.756,148.78,582.084,417.817,236.967,508.799,0,143.152,206.157,264.895,328.578,264.895,399.817,132.319,114.879,46.184,156.428,224.825,314.543,178.962,332.245,158.404,200.939,240.659,302.721,99.388,333.016,421.389,164.203,34.587,349.691,96.815,217.205,77.239,319.914,506.664,224.288,13.529,158.394,229.221,55.72,170.002,243.602,488.912,258.442,160.779,196.527,197.163,193.157,179.81,240.185,281.335,249.633,187.42,213.75
"Le Sueur",278.498,110.66,151.966,512.826,48.004,265.303,108.113,63.38,310.541,48.47,377.859,260.944,161.495,403.689,163.017,454.12,161.303,273.588,263.242,126.823,97.327,64.951,215.449,106.419,122.472,131.039,94.311,264.581,375.512,156.961,434.395,160.453,199.495,161.872,701.993,569.634,203.652,663.047,143.202,0,65.899,169.43,460.72,169.43,259.559,63.593,121.788,179.923,290.167,151.298,174.285,38.704,191.987,269.845,165.522,360.568,435.703,202.273,246.835,541.298,284.112,116.533,481.833,80.859,136.177,209.381,218.578,638.806,265.202,129.297,28.464,340.662,182.206,89.836,262.225,643.16,390.584,20.521,174.028,329.305,75.405,32.733,99.927,401.244,247.975,323.096,163.961
"Lincoln",341.651,173.813,215.119,513.894,111.157,271.486,60.061,43.36,373.694,111.623,381.736,274.364,224.648,407.566,174.29,517.273,161.727,277.465,264.296,147.255,164.601,100.442,216.503,95.97,164.759,194.192,157.464,265.635,379.389,220.114,438.272,99.688,262.648,179.986,703.061,632.787,209.835,666.924,206.355,65.744,0,166.687,464.597,166.687,198.794,91.075,145.043,243.076,353.32,151.964,113.52,31.361,131.222,332.998,166.576,361.636,439.58,265.426,186.07,542.366,250.632,179.686,485.71,144.012,149.597,213.258,157.813,642.683,269.308,192.45,58.516,403.815,192.53,104.129,268.408,647.037,394.461,53.976,235.115,333.182,76.459,58.009,39.162,402.312,249.029,386.249,170.342
"Lyon",357.227,262.821,239.489,376.365,187.074,133.796,223.886,124.592,414.492,196.504,366.087,159.843,314.433,352.58,222.562,558.071,23.791,299.043,400.31,283.269,249.654,236.456,381.27,276.56,274.799,285.22,247.197,401.649,331.025,296.169,374.735,149.112,281.148,118.058,591.818,591.727,74.749,700.927,264.57,169.492,166.901,0,354.087,0,131.068,160.943,152.262,260.677,369.583,315.139,53.168,149.696,100.894,373.796,302.59,224.101,423.208,355.211,70.619,404.837,163.362,268.694,462.906,233.669,75.908,234.836,57.517,660.032,139.902,266.807,141.311,444.613,214.108,240.143,139.002,705.027,336.231,169.184,326.355,274.951,212.473,194.023,141.786,239.642,385.043,402.812,49.964
"Mahnomen",251.82,350.576,303.579,67.794,418.105,266.744,516.84,422.988,328.34,403.176,125.71,207.967,397.286,98.937,297.752,307.399,339.112,212.42,616.329,500.461,449.008,457.69,568.536,538.791,479.351,405.941,379.081,617.668,119.613,355.709,62.588,474.798,309.967,293.945,197.584,285.126,284.018,238.341,335.432,455.446,465.065,353.992,0,353.992,537.079,378.476,311.311,298.165,251.345,537.119,407.16,437.706,454.886,362.791,518.609,131.132,160.72,346.96,488.891,89.805,213.382,350.246,130.872,409.109,342.573,251.915,409.143,195.971,219.487,330.775,413.333,339.072,276.295,482.296,240.466,242.441,103.248,473.073,514.197,131.472,505.451,492.104,438.511,160.897,567.303,298.945,315.04
"Marshall",357.227,262.821,239.489,376.365,187.074,133.796,223.886,124.592,414.492,196.504,366.087,159.843,314.433,352.58,222.562,558.071,23.791,299.043,400.31,283.269,249.654,236.456,381.27,276.56,274.799,285.22,247.197,401.649,331.025,296.169,374.735,149.112,281.148,118.058,591.818,591.727,74.749,700.927,264.57,169.492,166.901,0,354.087,0,131.068,160.943,152.262,260.677,369.583,315.139,53.168,149.696,100.894,373.796,302.59,224.101,423.208,355.211,70.619,404.837,163.362,268.694,462.906,233.669,75.908,234.836,57.517,660.032,139.902,266.807,141.311,444.613,214.108,240.143,139.002,705.027,336.231,169.184,326.355,274.951,212.473,194.023,141.786,239.642,385.043,402.812,49.964
"Martin",535.33,367.492,368.057,518.115,304.836,255.181,194.441,217.613,567.373,305.302,494.655,277.73,418.327,578.925,351.13,710.952,152.359,427.611,433.443,346.959,384.065,328.01,351.825,247.115,402.772,387.871,351.143,434.782,459.593,413.793,586.602,119.667,456.327,246.626,661.464,813.302,200.236,770.573,400.034,259.423,198.749,130.433,534.114,130.433,0,285.441,280.83,436.755,546.999,285.694,116.42,225.04,69.885,526.677,351.124,411.161,551.776,459.105,60.501,546.297,299.901,373.365,667.171,337.691,204.476,363.404,78.447,729.678,250.446,386.129,252.195,597.494,342.676,303.563,242.416,774.673,556.1,247.655,418.283,403.519,270.138,251.688,163.597,367.493,418.176,579.928,178.532
"McLeod",268.249,104.176,100.523,427.764,28.429,216.243,139.025,69.536,304.834,46.389,295.606,194.953,155.788,321.436,83.596,448.413,139.195,191.335,303.417,187.549,136.096,140.893,255.624,156.193,166.439,126.575,88.552,304.756,293.259,150.477,352.142,185.865,189.246,93.124,616.931,563.927,154.592,580.794,132.953,63.831,91.165,160.947,378.467,160.947,284.971,0,58.913,169.674,279.918,201.085,187.467,60.247,217.399,264.138,205.697,275.506,353.45,196.566,229.068,456.236,161.188,110.049,399.58,92.312,87.117,127.128,215.966,556.553,206.713,119.048,35.874,334.955,106.4,152.862,213.165,560.907,308.331,63.747,206.997,247.052,125.192,90.811,125.339,316.182,288.15,317.389,114.901
"Meeker",210.955,121.29,78.221,353.898,86.329,171.861,197.31,103.458,268.22,104.289,257.042,136.04,175.098,257.179,61.294,411.799,128.531,152.771,341.431,225.563,174.11,178.907,293.638,214.122,204.453,145.148,106.349,342.77,235.624,149.897,279.334,212.807,134.876,34.211,543.065,462.024,124.392,542.23,114.909,121.984,145.535,152.32,311.774,152.32,280.89,58.946,0,114.405,223.311,258.336,202.99,118.176,235.6,227.524,243.711,201.64,314.886,215.876,220.441,382.37,102.275,127.163,361.016,130.326,95.694,88.564,207.339,533.491,147.43,101.956,93.803,298.341,67.836,203.513,157.91,522.343,240.83,121.676,245.011,179.55,183.121,148.74,151.268,242.316,326.164,256.54,101.175
"Mille Lacs",99.026,71.665,55.354,380.649,142.559,253.846,285.119,197.57,154.114,127.63,199.709,185.7,99.908,241.056,68.273,297.693,233.914,110.955,335.407,219.539,168.086,182.144,287.614,263.245,198.429,125.019,103.535,336.746,212.879,58.331,271.762,337.459,20.77,141.588,569.816,372.084,229.775,463.066,46.137,179.9,242.905,257.703,298.087,257.703,436.565,169.067,122.589,0,110.695,261.573,308.373,215.71,368.993,113.418,237.687,228.391,256.988,62.815,325.824,409.121,151.935,71.335,319.2,133.563,200.431,46.649,312.722,476.173,212.02,54.23,195.142,184.235,46.598,206.75,231.334,443.179,227.951,197.527,233.275,166.672,229.905,216.558,276.933,269.067,286.381,142.434,206.558
