"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"Pierce",190.806,147.695,166.918,208.756,318.108,497.264,376.874,218.929,161.835,234.599,110.085,132.925,410.191,99.271,243.452,89.175,318.072,185.654,217.995,49.014,457.17,150.059,119.728,279.683,61.79,206.942,189.66,231.776,215.367,212.135,347.838,78.997,459.471,301.213,0,161.552,200.393,350.943,420.292,261.395,170.966,93.182,563.523,458.614,372.47,150.059,68.475,269.747,140.004,210.18,413.123,179.968,127.444
"Ramsey",108.35,290.295,27.96,100.94,152.279,564.658,265.626,286.323,286.803,179.467,236.004,289.922,408.599,63.309,310.846,103.537,341.813,165.126,366.06,147.899,524.564,217.407,267.906,189.134,101.74,302.815,257.054,255.517,211.482,279.529,267.058,235.994,348.223,229.296,162.58,0,346.124,223.495,309.044,106.22,327.963,238.201,438.011,526.008,439.864,217.407,182.692,110.063,221.297,158.165,301.875,110.697,79.341
"Ransom",325.342,142.888,344.764,366.29,495.954,568.78,554.72,355.066,141.962,389.713,132.674,67.467,546.328,289.044,256.211,267.021,501.434,264.191,20.818,203.44,504.69,286.196,99.98,457.529,251.563,167.967,325.797,414.195,393.213,318.822,525.684,118.42,637.317,379.75,199.606,346.18,0,528.789,598.138,444.923,36.727,129.172,699.66,594.751,508.607,286.196,204.612,447.593,200.509,322.522,590.969,357.814,277.05
"Renville",280.616,479.236,225.132,231.932,70.036,461.917,127.217,234.513,493.376,287.167,396.789,464.466,294.278,279.335,334.064,264.322,232.099,381.152,549.536,339.8,421.823,284.618,428.691,75.729,301.469,421.929,260.095,168.413,173.155,272.825,145.525,410.538,201.21,336.996,353.467,223.46,531.934,0,93.827,129.787,502.507,398.986,305.935,423.267,337.123,284.618,343.477,113.431,437.323,330.431,86.658,184.993,295.367
"Richland",371.227,546.097,310.696,322.543,160.647,406.59,103.18,301.661,560.237,377.778,463.65,531.327,249.517,364.899,400.925,331.183,299.247,466.716,616.397,406.661,398.937,351.479,495.552,142.59,368.33,488.79,327.243,235.561,240.016,339.973,161.261,477.399,138.31,427.607,420.328,309.024,598.795,93.827,0,220.398,569.368,465.847,248.553,367.94,289.393,351.479,410.338,204.042,507.19,421.042,30.661,251.854,380.931
"Rolette",159.352,389.077,120.115,102.144,59.75,574.579,235.881,296.244,385.585,181.27,328.159,395.836,386.066,162.091,320.767,195.692,323.887,263.908,464.842,246.681,534.485,227.328,360.061,159.389,200.522,365.182,266.975,239.761,199.392,289.45,237.313,341.908,318.478,231.099,261.362,106.216,444.906,129.787,220.398,0,433.877,330.356,408.266,535.929,449.785,227.328,274.847,80.318,320.079,203.262,213.229,120.618,178.123
"Sargent",330.145,170.24,316.089,348.095,467.279,540.105,526.045,326.391,169.314,348.196,103.999,38.041,517.653,265.633,227.536,238.346,472.759,291.543,54.329,188.353,476.015,257.521,71.305,428.854,228.152,139.292,297.122,385.52,364.538,290.147,497.009,104.897,608.642,407.102,170.931,327.985,36.727,500.114,569.463,426.728,0,100.497,670.985,566.076,479.932,257.521,175.937,418.918,227.861,349.874,562.294,329.139,266.783
"Sheridan",251.936,148.13,212.433,269.886,363.623,501.07,422.389,222.735,162.27,295.729,19.548,62.456,413.997,167.604,189.83,134.69,369.103,253.598,147.526,110.144,460.976,153.865,29.191,325.198,130.123,153.959,193.466,281.864,260.882,215.941,393.353,45.932,504.986,369.157,92.722,238.126,129.924,396.458,465.807,330.291,100.497,0,567.329,462.42,376.276,153.865,72.281,315.262,189.871,271.31,458.638,225.483,188.574
"Sioux",527.334,647.84,425.205,504.418,372.748,254.742,195.094,348.371,661.98,583.544,565.393,633.07,155.93,460.91,450.401,429.692,198.795,595.539,718.14,505.17,296.044,415.656,597.295,268.036,466.839,538.266,377.395,282.979,325.2,390.125,190.351,579.142,112.582,633.373,562.799,437.847,700.538,305.928,248.637,408.186,671.111,567.59,0,216.092,193.211,415.656,498.022,330.841,605.699,577.149,227.885,350.363,509.754
"Slope",647.826,542.43,500.484,622.894,483.685,38.65,286.884,242.961,556.57,691.619,459.983,527.66,124.135,513.909,344.991,440.918,196.624,647.898,612.73,506.034,98.99,310.246,491.885,384.374,490.463,432.856,271.985,268.447,322.816,284.715,283.635,473.732,286.529,763.457,457.389,526.177,595.128,433.044,368.136,536.123,565.701,462.18,216.119,0,80.035,310.246,392.612,430.865,584.171,667.2,338.261,425.642,584.464
"Stark",563.582,458.186,416.24,538.65,399.441,118.685,208.255,158.717,472.326,607.375,375.739,443.416,39.876,429.665,260.747,356.674,112.38,563.654,528.486,421.79,109.543,226.002,407.641,300.13,406.219,348.612,187.741,184.203,238.572,200.471,205.006,389.488,263.629,679.213,373.145,441.933,510.884,348.8,289.507,451.879,481.457,377.936,193.219,80.035,0,226.002,308.368,346.621,499.927,582.956,259.632,341.398,500.22
"Steele",339.1,233.704,191.714,314.124,249.26,349.251,308.026,70.916,247.844,382.893,151.257,218.934,262.178,205.139,95.439,132.148,217.284,339.172,304.004,197.308,309.157,0,183.159,210.835,181.737,139.33,41.647,130.045,128.791,64.122,252.778,165.006,390.623,454.731,148.663,217.407,286.402,282.095,351.444,227.353,256.975,153.454,415.51,310.601,224.457,0,83.886,200.899,275.445,358.474,344.275,116.872,275.738
"Stutsman",258.039,152.643,157.541,275.989,308.731,431.113,367.497,152.778,166.783,301.832,70.196,137.873,344.04,138.157,177.301,79.798,299.146,258.111,222.943,116.247,391.019,83.908,102.098,270.306,100.676,136.425,123.509,211.907,210.699,145.984,334.64,83.945,450.094,373.67,67.602,183.234,205.341,341.566,410.915,275.399,175.914,72.393,497.372,392.463,306.319,83.908,0,260.37,194.384,277.413,403.746,170.591,194.677
"Towner",199.515,395.506,111.7,176.599,81.899,469.45,158.525,225.861,389.397,255.725,313.059,380.736,308.71,165.903,250.334,180.592,246.531,267.72,465.806,256.07,429.356,200.888,344.961,82.033,204.334,338.199,196.592,162.405,122.036,219.017,159.957,326.808,241.122,305.554,269.737,110.028,448.204,113.431,204.042,80.367,418.777,315.256,330.91,430.8,344.656,200.888,259.747,0,323.891,249.33,196.873,100.348,181.935
"Traill",175.036,70.931,237.922,232.006,365.99,622.674,463.642,344.339,67.439,190.594,206.888,230.638,535.601,173.557,368.862,175.943,432.466,65.072,179.461,100.435,582.58,275.469,211.587,366.451,148.558,332.987,315.07,346.17,302.135,337.545,434.606,147.152,546.239,180.631,140.004,221.188,200.28,437.206,507.06,319.931,227.617,189.985,605.559,584.024,497.88,275.469,193.885,323.774,0,123.403,499.891,266.736,152.058
"Walsh",51.633,192.394,182.483,108.602,260.394,705.618,404.844,427.283,188.902,55.777,288.606,299.174,559.916,167.002,451.806,236.607,493.13,65.003,300.924,161.099,665.524,358.413,299.852,328.352,189.563,415.931,398.014,406.834,362.799,420.489,406.276,235.417,487.441,80.843,210.113,158.16,321.743,330.431,421.042,203.262,349.08,271.703,577.229,666.968,580.824,358.413,276.829,249.281,123.396,0,413.873,265.22,108.692
"Ward",364.058,538.928,303.527,315.374,153.478,376.715,73.305,294.492,553.068,370.609,456.481,524.158,219.642,357.73,393.756,324.014,262.507,459.547,609.228,399.492,369.062,344.31,488.383,135.421,361.161,481.621,320.074,228.392,232.847,332.804,131.386,470.23,115.338,420.438,413.159,301.855,591.626,86.658,30.661,213.229,562.199,458.678,227.77,338.065,259.518,344.31,403.169,196.873,500.021,413.873,0,244.685,373.762
"Wells",215.405,305.738,85.004,207.414,142.55,464.123,208.401,185.788,319.878,286.54,223.291,290.968,308.064,122.042,210.311,90.824,241.278,264.597,376.038,166.302,424.029,116.872,255.193,111.21,127.971,254.726,156.519,154.982,110.947,178.994,179.365,237.04,290.998,336.369,179.969,110.697,358.436,182.47,251.819,120.643,329.009,225.488,350.318,425.473,339.329,116.872,169.979,100.334,266.831,265.22,244.65,0,178.812
"Williams",81.557,220.88,96.131,99.507,224.199,622.949,337.546,344.614,217.388,132.885,205.937,228.777,457.651,68.577,369.137,134.342,390.865,95.711,296.645,86.754,582.855,275.744,215.58,261.054,78.995,333.262,315.345,304.569,260.534,337.82,338.978,174.849,420.143,182.714,127.444,79.397,276.709,295.415,380.964,178.14,266.818,189.034,509.931,584.299,498.155,275.744,194.16,181.983,151.882,108.466,373.795,178.868,0
