"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"San Diego",784.765,46.728,808.541,1251.832,766.467,913.39,795.996,1365.151,835.913,542.927,963.494,1228.8,189.272,502.086,380.488,638.712,1050.071,1111.609,193.893,578.609,823.188,666.332,1042.333,633.094,1169.014,685.647,707.057,840.55,175.747,147.519,863.623,941.684,159.741,810.761,618.882,172.551,0,806.537,550.619,502.112,785.412,351.12,748.158,750.034,1078.794,738.618,1222.323,826.748,851.921,762.727,887.122,1006.911,1204.004,471.29,742.61,307.486,847.179,867.757
"San Francisco",24.619,836.984,206.203,457.82,200.272,193.26,57.21,571.139,200.337,299.69,243.364,434.788,943.688,540.966,458.208,443.202,329.941,391.479,613.942,262.769,28.98,268.086,248.125,209.381,575.303,384.566,181.617,78.406,709.526,665.409,192.371,398.589,698.694,140.337,204.15,698.218,806.643,0,281.068,373.43,33.957,523.259,72.707,117.291,358.467,82.859,501.996,75.603,70.605,237.218,197.838,286.584,483.677,373.688,228.084,567.279,139.97,178.122
"San Joaquin",259.206,580.983,282.982,726.273,239.666,387.831,270.437,839.592,310.354,50.169,437.935,703.241,687.687,500.359,205.283,191.242,524.512,586.05,357.941,51.808,297.467,139.348,516.612,106.11,771.45,321.792,219.987,314.829,453.539,409.422,337.902,544.12,442.707,285.04,169.882,442.231,550.656,280.816,0,211.897,259.691,361.726,222.437,224.313,553.073,212.897,696.602,301.027,326.2,235.743,361.401,481.19,678.283,104.445,215.626,370.398,321.458,342.036
"San Luis Obispo",356.326,532.691,469.568,824.88,463.637,534.15,385.938,938.199,496.94,220.354,584.254,801.848,637.869,516.853,222.788,366.067,670.831,732.369,304.859,256.047,396.053,343.587,615.198,310.349,916.207,492.561,229.444,430.309,403.721,355.612,524.467,730.685,392.889,471.605,169.895,392.413,502.364,373.359,211.463,0,343.291,151.888,306.037,264.014,699.371,296.497,842.9,416.507,437.678,439.982,538.742,627.488,824.581,205.356,419.865,195.908,480.874,519.026
"San Mateo",44.041,815.323,199.321,491.825,193.39,224.373,90.646,605.144,231.45,292.808,274.477,468.793,922.027,534.084,436.547,436.32,361.054,422.592,592.281,255.887,62.998,261.218,282.143,202.513,606.43,377.698,151.696,109.533,687.879,643.762,223.498,429.716,677.047,171.464,174.229,676.571,784.996,34.979,259.421,343.509,0,493.338,42.786,87.37,389.594,52.938,533.123,106.73,104.623,230.35,228.965,317.711,514.804,366.82,221.216,537.358,171.097,209.249
"Santa Barbara",506.547,381.123,619.789,975.101,613.858,684.371,536.159,1088.42,647.161,370.575,734.475,952.069,486.301,450.069,244.891,503.115,821.052,882.59,153.291,406.268,546.274,493.808,765.419,460.57,1066.428,633.447,379.665,580.53,252.153,204.044,674.688,880.906,241.321,621.826,320.116,240.845,350.796,523.58,361.684,151.217,493.512,0,456.258,414.235,849.592,446.718,993.121,566.728,587.899,590.203,688.963,777.709,974.802,335.51,570.086,44.34,631.095,669.247
"Santa Clara",64.415,778.019,192.772,532.969,186.841,243.695,95.483,646.288,250.772,249.796,293.799,509.937,884.723,527.535,399.243,393.308,380.376,441.914,554.977,212.875,104.1,254.627,323.245,195.922,625.71,371.107,123.518,139.812,650.533,606.416,242.778,448.996,639.701,190.744,136.883,639.225,747.65,73.144,222.075,306.163,43.076,455.992,0,50.275,408.874,15.592,552.403,126.01,145.725,223.759,248.245,336.991,534.084,323.766,214.625,500.012,190.377,228.529
"Santa Cruz",109.315,779.933,237.672,577.869,231.741,288.595,140.383,691.188,295.672,251.71,338.699,554.837,886.637,572.435,401.157,395.222,425.276,486.814,556.891,214.789,148.997,253.367,368.142,196.01,670.607,416.004,69.058,184.709,652.444,608.327,287.675,493.893,641.612,235.641,121.077,641.136,749.561,118.433,223.986,264.123,88.365,413.952,52.278,0,453.771,57.092,597.3,170.907,190.622,268.656,293.142,381.888,578.981,325.677,259.522,457.972,235.274,273.426
"Shasta",355.176,1108.732,346.852,207.945,377.885,182.767,318.102,330.669,332.7,542.339,147.337,228.133,1215.436,719.503,717.189,685.851,47.703,119.844,885.69,505.418,351.455,510.756,392.965,452.051,241.748,539.192,517.1,315.338,981.295,937.178,316.228,295.055,970.463,269.505,530.465,969.987,1078.412,357.367,552.837,699.745,388.291,849.574,408.072,453.005,0,403.776,168.441,286.078,326.709,420.045,211.696,80.059,125.209,616.358,455.407,898.154,231.865,209.057
"Sierra",63.381,769.543,187.811,531.935,181.88,238.734,90.522,645.254,245.811,241.32,288.838,508.903,876.247,522.574,390.767,384.832,375.415,436.953,546.501,204.399,103.095,249.695,322.24,190.99,620.778,366.175,115.071,134.88,642.086,597.969,237.846,444.064,631.254,185.812,128.436,630.778,739.203,83.476,213.628,297.716,53.408,447.545,16.154,57.607,403.942,0,547.471,121.078,146.251,218.827,243.313,332.059,529.152,315.319,209.693,491.565,185.445,223.597
"Siskiyou",498.945,1252.501,490.621,303.276,521.654,326.536,461.871,260.082,476.469,686.108,291.106,323.464,1359.205,800.411,860.958,829.62,191.472,244.072,1029.459,649.187,495.194,654.495,536.704,595.79,262.231,620.07,660.839,459.077,1125.034,1080.917,459.967,375.933,1114.202,413.244,674.204,1113.726,1222.151,501.106,696.576,843.484,532.03,993.313,551.811,596.744,165.058,547.515,0,429.817,470.448,563.784,355.435,223.798,89.063,760.097,599.146,1041.893,375.604,352.796
"Solano",72.614,856.745,142.284,471.682,142.02,121.055,35.54,585.001,128.132,287.459,171.159,448.65,963.449,513.388,462.309,430.971,257.736,319.274,633.703,250.538,68.886,255.869,262,197.164,503.112,388.273,234.531,32.769,729.301,685.184,120.18,326.398,718.469,68.146,247.896,717.993,826.418,74.798,300.843,417.176,105.722,567.005,125.503,170.436,286.276,121.207,429.805,0,44.14,190.859,125.647,214.393,411.486,361.471,200.52,611.025,67.779,105.931
"Sonoma",84.178,881.549,183.511,417.914,183.922,162.282,60.344,531.233,169.359,344.255,212.386,394.882,988.253,555.29,502.773,487.767,298.963,360.501,658.507,307.334,43.72,312.673,208.24,253.968,544.347,429.508,256.285,22.904,754.113,709.996,161.415,367.633,743.281,109.381,269.65,742.805,851.23,70.816,325.655,438.93,104.388,588.759,145.906,190.839,327.511,146.019,471.04,44.647,0,232.769,166.882,255.628,452.721,418.275,242.43,632.779,109.014,147.166
"Stanislaus",215.749,795.536,67.3,627.792,42.237,254.633,195.263,750.516,109.922,223.64,304.737,659.784,902.24,389.256,398.49,367.152,391.314,452.852,572.494,186.719,253.905,124.78,473.05,130.624,507.049,221.698,333.069,221.456,668.008,623.891,199.088,279.719,657.176,149.86,325.72,656.7,765.125,237.254,238.028,442.839,230.732,628.501,224.041,268.974,419.77,219.745,563.299,190.936,232.827,0,228.098,347.887,544.98,297.568,51.083,584.867,188.155,208.733
"Sutter",195.195,917.464,155.584,419.804,186.617,28.996,158.121,542.528,141.432,351.071,68.417,410.879,1024.168,581.891,525.921,494.583,183.326,203.011,694.422,314.15,191.523,319.537,261.705,260.832,406.843,401.629,357.168,155.406,790.076,745.959,93.431,257.927,779.244,78.286,372.71,778.768,887.193,197.435,361.618,539.813,228.359,689.642,248.14,293.073,211.839,243.844,355.368,126.146,166.777,228.826,0,122.707,337.049,425.139,264.188,706.935,61.578,19.701
"Tehama",284.124,1037.68,275.8,287.934,306.833,111.715,247.05,410.658,261.648,471.287,65.078,274.388,1144.384,702.107,646.137,614.799,51.456,112.028,814.638,434.366,280.396,439.697,321.906,380.992,296.832,521.789,446.041,244.279,910.236,866.119,197.266,272.395,899.404,198.446,459.406,898.928,1007.353,286.308,481.778,628.686,317.232,778.515,337.013,381.946,79.996,332.717,223.525,215.019,255.65,348.986,122.149,0,205.206,545.299,384.348,827.095,160.806,128.998
"Trinity",481.084,1234.64,472.76,227.708,503.793,308.675,444.01,349.532,458.608,668.247,273.245,247.896,1341.344,833.758,843.097,811.759,173.611,245.752,1011.598,631.326,476.699,636,475.916,577.295,298.58,652.783,642.344,440.582,1106.539,1062.422,441.472,408.646,1095.707,394.749,655.709,1095.231,1203.656,482.611,678.081,824.989,513.535,974.818,533.316,578.249,125.243,529.02,89.054,411.322,451.953,545.289,336.94,205.303,0,741.602,580.651,1023.398,357.109,334.301
"Tulare",352.382,501.594,341.238,819.449,299.306,451.598,363.613,932.768,368.61,75.766,501.702,796.417,608.298,399.624,104.548,171.551,588.279,649.817,278.552,111.448,389.925,198.291,609.07,165.053,828.988,347.276,320.865,407.287,374.159,330.042,395.44,601.658,363.327,346.212,200.762,362.851,471.276,373.274,103.983,205.959,366.752,334.652,323.315,325.191,616.122,313.775,759.651,361.034,418.658,294.686,424.45,544.239,741.332,0,274.569,291.018,384.507,405.085
"Tuolumne",205.333,775.444,87.246,672.4,62.183,290.497,204.873,785.719,129.868,203.548,340.601,649.368,882.148,359.196,378.398,347.06,427.178,488.716,552.402,166.627,243.53,104.729,462.675,110.573,548.294,178.841,293.924,231.107,647.957,603.84,234.993,320.964,637.125,185.765,284.922,636.649,745.074,226.879,217.977,422.788,220.357,608.45,213.666,258.599,455.675,209.37,599.204,200.587,242.478,52.905,264.003,383.792,580.885,277.517,0,564.816,224.06,244.638
"Ventura",550.623,337.615,629.436,1019.177,587.362,734.285,580.235,1132.496,656.808,363.822,784.389,996.145,442.793,406.561,201.383,459.607,870.966,932.504,109.783,399.504,590.349,487.074,809.494,453.836,1117.913,589.969,423.74,624.605,208.675,160.566,684.365,890.583,197.843,631.503,364.191,197.367,307.318,567.655,371.361,195.292,537.587,44.3,500.333,458.31,899.536,490.793,1043.065,610.803,631.974,583.469,707.864,827.653,1024.746,292.032,563.352,0,667.921,688.499
"Yolo",137.602,877.943,116.063,440.208,147.096,67.049,100.528,562.932,101.911,311.55,117.153,426.5,984.647,542.37,486.4,455.062,203.73,265.268,654.901,274.629,133.757,279.843,277.237,221.138,448.99,361.935,299.402,97.64,750.382,706.265,85.315,291.533,739.55,38.592,312.767,739.074,847.499,139.669,321.924,482.047,170.593,631.876,190.374,235.307,232.154,186.078,375.683,68.38,109.011,189.132,61.609,160.271,357.364,385.445,224.494,667.241,0,41.893
"Yuba",175.549,898.023,136.143,418.722,167.176,45.248,138.475,541.446,121.991,331.63,84.669,427.131,1004.727,562.45,506.48,475.142,182.244,209.594,674.981,294.709,171.821,300.04,277.733,241.335,413.202,382.132,337.466,135.704,770.579,726.462,84.801,291.019,759.747,58.789,353.213,759.271,867.696,177.733,342.121,520.111,208.657,669.94,228.438,273.371,210.533,224.142,354.062,106.444,147.075,209.329,19.715,129.066,335.743,405.642,244.691,687.438,41.876,0
