"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Itawamba",275.073,449.589,499.315,204.175,294.765,312.259,368.009,212.259,92.846,243.775,426.518,306.58,6.786,219.894,397.761,321.079,313.735,282.457,267.473,344.42,417.939,171.739,539.734,179.635,341.761,258.033,408.428,363.299,0,341.761,347.088,458.402,387.828,360.911,218.884,118.648,147.74,240.856,320.648,238.385,36.665,200.311,429.668,102.074,322.117,257.79,126.303,467.931,277.701,262.111,314.581,179.09,142.641,158.154,254.742,485.503,478.587,70.915,387.828,306.58,318.768,316.426,231.555,372.69,254.979,470.121,280.83,233.871,176.071,103.345,55.862,227.069,269.688,139.829,407.707,483.077,349.402,184.198,538.353,165.172,162.835,409.762
"Jackson",42.08,122.991,159.473,113.84,73.824,206.771,138.503,153.346,252.501,140.805,99.92,187.755,347.507,271.062,57.919,30.766,194.91,76.052,89.61,101.076,231.979,182.779,327.902,223.911,0,100.226,81.83,122.809,341.3,0,104.357,118.56,96.097,145.635,183.569,258.821,326.485,177.312,96.731,86.819,307.367,203.397,89.826,246.413,23.907,160.999,305.048,128.089,137.835,139.518,103.432,241.228,204.382,241.623,117.085,218.667,138.745,284.354,96.097,187.755,30.867,210.938,231.537,112.903,171.745,203.285,165.641,170.166,274.815,345.483,372.777,322.363,125.564,204.463,73.368,155.91,194.898,167.631,198.511,186.93,213.203,75.423
"Jasper",123.234,220.473,213.2,137.231,174.578,311.014,38.273,203.137,234.042,100.005,197.402,67.447,353.495,353.181,124.139,131.52,72.036,55.97,190.364,205.319,134.136,232.597,213.997,273.729,104.554,200.98,179.312,220.291,347.288,104.554,0,188.679,87.784,38.891,130.063,308.639,376.303,107.595,53.442,100.43,309.554,253.215,142.97,226.463,124.661,91.282,354.866,181.778,238.589,79.19,43.976,171.511,194.09,291.441,102.362,159.766,192.472,276.071,87.784,67.447,88.13,315.181,281.355,25.602,102.028,144.384,269.884,240.057,324.633,383.323,383.396,372.181,73.089,200.355,170.85,232.707,89.204,157.339,252.2,176.638,263.021,172.905
"Jefferson",159.308,37.523,85.974,231.068,191.052,257.078,189.194,270.574,369.729,252.141,42.662,299.091,464.735,349.618,66.496,147.994,270.792,187.388,206.838,175.761,271.434,300.007,296.339,341.139,118.181,217.454,67.872,147.598,458.528,118.181,188.678,0,117.175,196.326,294.905,376.049,443.713,288.648,208.067,204.047,424.595,320.625,57.239,363.641,141.135,272.335,422.276,39.471,231.745,250.854,214.768,352.564,321.61,358.851,234.313,258.122,107.182,401.582,117.175,299.091,142.203,249.348,348.765,176.147,283.081,242.74,257.863,264.076,392.043,462.711,490.005,383.434,236.9,321.691,90.882,37.349,245.589,284.859,68.756,304.158,330.431,93.38
"Jefferson Davis",135.851,154.624,126.416,187.355,167.595,304.04,73.627,247.117,299.898,178.252,148.713,150.636,394.904,364.833,83.052,124.537,155.225,113.499,183.381,198.345,155.164,276.55,196.083,317.682,97.571,193.997,142.144,213.317,388.697,97.571,88.467,117.1,0,80.759,224.6,352.592,420.256,202.132,134.178,151.994,354.764,297.168,56.186,321,117.678,185.819,398.819,94.994,231.606,176.965,140.879,266.048,269.557,335.394,174.614,141.852,105.688,341.927,0,150.636,96.444,308.207,325.308,74.651,196.565,126.47,262.91,263.937,368.586,439.254,420.174,416.134,163.011,298.234,163.876,145.923,130.022,232.806,165.416,252.105,306.974,165.931
"Jones",183.319,233.401,196.945,175.636,215.063,351.508,7.079,294.585,303.371,150.392,216.136,69.217,366.613,412.301,143.777,172.005,73.806,94.375,230.849,245.813,93.651,324.018,180.56,365.15,145.039,241.465,202.835,260.785,360.406,145.039,38.715,195.877,79.777,0,143.181,380.652,440.836,120.713,95.019,138.835,322.672,344.636,134.963,239.581,165.146,104.4,419.399,173.771,279.074,145.684,85.553,184.629,249.705,382.862,168.856,126.329,164.611,330.573,79.777,69.217,125.611,355.675,372.776,33.733,115.146,110.947,310.378,311.405,416.054,396.441,396.514,463.602,139.583,251.585,211.344,224.7,47.957,208.569,244.193,233.6,315.047,213.399
"Kemper",137.898,299.153,335.65,108.463,172.782,297.484,150.222,171.806,161.361,45.384,276.082,93.531,224.603,314.787,234.096,160.49,100.686,103.286,158.597,221.732,204.89,181.354,321.947,235.335,183.234,154.925,257.992,298.971,218.396,183.234,129.301,294.737,222.92,143.124,0,238.642,298.826,38.984,87.254,88.896,180.662,214.821,266.003,97.571,156.193,42.569,277.389,304.266,192.251,57.752,81.187,42.619,107.695,253.047,57.228,267.716,314.922,188.563,222.92,93.531,154.714,301.651,242.961,154.903,52.855,252.334,240.377,208.726,286.239,254.431,254.504,333.787,51.667,122.835,249.53,332.087,136.353,72.859,374.688,92.158,186.297,251.585
"Lafayette",222.659,367.387,417.113,170.404,212.563,196.368,393.834,130.029,90.93,200.321,344.316,326.468,125.196,104.003,315.559,238.877,333.623,252.72,185.271,231.581,437.827,84.193,528.229,63.744,259.559,175.831,326.226,257.333,118.989,259.559,308.75,376.2,351.428,380.799,238.772,0,71.056,260.744,280.053,208.648,88.162,104.117,347.466,170.386,239.915,277.678,49.619,385.729,171.735,218.657,255.774,198.978,151.236,42.263,224.809,473.998,396.385,52.215,351.428,326.468,286.198,200.535,115.664,368.234,274.867,458.616,161.107,137.677,75.492,90.054,150.876,123.04,226.234,97.746,325.505,400.875,369.29,167.931,456.151,179.033,73.382,327.56
"Lamar",295.896,440.624,490.35,243.641,285.8,273.546,452.946,203.266,150.28,273.558,417.553,391.517,160.013,159.866,388.796,312.114,398.672,325.957,258.508,304.818,502.876,157.43,624.671,140.199,332.796,249.068,399.463,358.323,153.806,332.796,432.025,449.437,424.665,445.848,303.821,76.354,0,325.793,353.29,281.885,124.949,177.354,420.703,226.812,313.152,342.727,22.125,458.966,244.972,291.894,399.518,264.027,227.578,119.011,298.046,570.44,469.622,110.333,424.665,391.517,359.435,277.713,192.119,441.471,339.916,555.058,257.553,210.914,82.001,56.28,126.517,119.912,299.471,170.983,398.742,474.112,434.339,269.135,529.388,250.109,146.619,400.797
"Lauderdale",176.152,292.355,328.852,140.171,217.004,382.896,127.819,241.315,183.238,81.518,269.284,66.39,246.48,384.296,227.298,203.402,73.545,103.069,232.79,277.201,177.749,239.548,299.544,304.844,176.436,186.633,251.194,292.173,240.273,176.436,106.898,287.939,200.517,120.721,38.983,260.519,320.703,0,80.458,150.991,202.539,284.33,259.205,119.448,196.543,17.6,299.266,297.468,223.959,96.745,74.391,64.496,129.572,322.556,88.936,245.313,308.124,210.44,200.517,66.39,147.916,387.063,312.47,132.5,14.754,229.931,309.886,278.235,355.748,276.308,276.381,400.032,90.644,181.029,242.732,325.289,109.212,125.252,367.89,113.467,244.491,244.787
