"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Columbia",103.3,220.367,100.5,239.283,166.833,83.917,163.45,169.683,175.117,54.15,0,162.6,126.2,76.867,208.2,108.767,138.617,59.95,232.467,158.35,169.733,88.517,189.85,147.9,160.85,223.117,186.717,163.067,163.817,229.367,194.7,95.717,65.033,155.2,174.25,195.55,89.333,209.867,142.417,147.033,190.267,189.85,191.267,161.617,140.533,213.167,113.5,198.133,183.133,109.767,146.267,223.883,95.55,172,100.467,100.967,149.533,138.7,200.633,150.25,39.117,78.9,190.083,119.717,193.85,221.8,48.233,179.783,104.5,113.667,139.65,41.233
"Crawford",162.717,336.8,220.817,359.6,249.317,109.55,167.233,207.5,310.883,220.983,161.783,0,126.25,119.883,290.7,150.55,123.15,180.25,372.75,191.367,201.267,209.883,134.717,194.917,74.4,362.683,200.35,158.483,165.65,224.8,277.183,74.483,185.333,299.9,314.517,254.9,225.983,290.85,181.25,277.65,185.7,134.717,272.25,246.15,222.733,209.35,150.283,280.617,202.117,144.7,282.333,219.317,248.817,159.75,220.767,124.333,269.833,269.333,234.083,257.05,133.833,101.45,185.5,260,182.133,342.117,168.567,175.217,217.65,187.733,209.6,170.267
"Dane",73.617,289.483,186.283,322.883,139.8,139.917,57.717,97.983,250.85,163.467,123.833,127.517,0,143.467,181.183,41.6,28.283,145.717,254.017,81.85,91.75,174.283,74.317,79.6,62.317,243.95,96.183,52.733,56.133,119.033,167.667,120.3,150.8,181.167,195.783,145.383,116.15,181.333,65.933,162.333,79.933,74.317,162.733,136.65,113.217,103.583,180.633,171.1,92.6,29.383,163.617,113.55,208.15,61.667,186.233,42.25,235.3,154.017,124.567,236.017,120.35,125.017,79.75,141.267,83.517,305.417,134,69.45,102.333,72.417,100.083,118.267
"Dodge",122.667,230.917,114.933,253.717,238.25,13.85,181.667,220.55,203.95,115.833,76.733,119.483,144.4,0,279.633,126.983,156.817,74.517,294.733,204.433,214.333,101.133,208.067,166.117,178.983,259.883,221.75,181.267,182.017,247.583,266.117,50.283,79.467,217.467,236.5,266.983,150.967,275.05,160.617,212.217,208.483,208.067,256.45,233.033,211.95,232.117,62.783,269.55,218.167,127.983,205.867,242.1,150.117,190.217,114.9,119.167,163.967,203.883,247.133,164.683,42.733,19.967,208.283,181.983,212.067,236.233,64.35,198,175.917,149.267,207.4,106.85
"Door",177.717,310.2,248.983,343.617,51.267,279.65,136.017,104.65,271.583,184.2,208.367,291.233,180.733,280.267,0,180.583,178.883,219.15,162.733,114.283,121.233,239.867,229.767,129,221.633,264.683,138.6,181.967,145.967,181.183,43.967,260.033,203.767,143.05,160.433,81.033,136.883,93.483,147.317,92.433,140.05,229.767,74.883,60.25,78.467,117.3,282.1,36.483,139.067,176.567,139.767,175.7,228.883,212.267,248.933,198.5,298,82.2,98.233,298.717,242.517,264.767,162.283,152.233,195.383,326.15,227.55,158.25,111.633,138.767,90.75,178.4
"Douglas",43.55,265.483,168.633,298.9,139.9,122.267,74.717,113.617,226.85,139.467,106.183,151.217,41.95,125.817,181.267,0,54.367,128.067,230.017,97.483,107.383,156.633,105.25,55.6,96.55,219.95,118.2,78.8,78.467,145.117,167.767,102.65,133.15,157.167,171.8,161.017,92.15,181.433,39.767,138.35,106.017,105.25,162.833,136.733,113.317,129.667,162.983,171.2,114.617,20.3,139.617,139.633,184.15,87.75,168.583,35.733,217.65,130.017,140.2,218.367,102.7,107.367,105.833,117.267,109.6,281.417,116.35,95.533,78.333,48.417,100.167,96.1
"Dunn",86.383,302.25,199.05,335.667,137.033,152.683,54.95,95.217,263.617,176.25,136.6,125.583,28.533,156.233,178.417,54.367,0,158.5,247.817,79.083,88.983,187.067,61.133,86.333,55.967,256.717,88.067,46.2,53.367,112.517,164.9,133.067,163.583,193.95,208.567,142.617,128.933,178.567,75.767,167.267,73.417,61.133,159.967,133.883,110.45,97.067,193.417,168.333,89.833,42.15,176.383,107.033,220.933,48,199.017,53.8,248.083,157.033,121.8,248.8,133.117,137.8,73.217,154.05,69.85,318.183,146.783,62.933,115.117,85.183,97.317,131.033
"Eau Claire",123.183,170.667,54.683,193.467,180.833,84.233,183.35,211.8,143.7,55.583,59.867,181.267,146.1,72.883,218.917,128.667,158.517,0,234.467,200.467,211.85,44.533,209.75,167.8,180.733,199.633,223.433,182.95,183.717,249.267,211.933,112.067,19.217,157.217,176.25,213.683,90.717,214.8,162.3,151.967,210.167,209.75,196.2,173.483,182.65,233.8,72.65,208.833,219.85,129.667,145.6,243.783,89.867,191.9,54.65,120.85,103.717,143.633,230.883,104.417,50.65,81.567,209.967,121.733,213.75,175.983,21.083,199.683,146.617,149.8,181.75,90.167
"Florence",224.817,166.483,241.483,199.9,124.517,306.667,205.017,173.65,178.983,199.917,231.9,368.05,254.667,295.317,162.6,229.117,247.883,234.867,0,183.283,194.867,255.583,298.767,198,290.633,127.283,211.65,250.967,214.967,258.983,157.1,304.033,219.483,79.883,58.25,158.85,157.317,101.85,216.317,125.2,217.867,298.767,111.05,129.25,147.467,195.117,297.817,152.533,208.067,233.85,95.367,253.517,173.083,281.267,225.883,248.45,209.85,134.817,176.05,291.233,269.283,304,240.1,117,273.2,182.417,243.267,236.067,180.633,211.917,159.75,205.167
"Fond du Lac",117.483,292.233,231,325.65,73.617,199.017,36.5,23.683,253.6,166.217,159.117,191.733,81.217,202.567,115,96.317,79.367,204.333,184.4,0,15.067,221.883,130.25,48.7,122.117,246.7,44.2,82.45,46.45,106.65,101.483,179.383,185.8,153.867,175.85,70.217,118.9,115.15,58.917,103.867,67.583,130.25,96.55,70.467,47.033,72.183,239.733,104.917,40.617,77.05,147.717,101.167,210.9,112.75,230.95,98.983,280.017,93.617,49.4,280.733,179.45,184.117,78.05,144.017,111.15,308.167,192.617,74.267,62.383,75.067,33.9,129.15
