"","Arkansas","Ashley","Baxter","Benton","Boone","Bradley","Calhoun","Carroll","Chicot","Clark","Clay","Cleburne","Cleveland","Columbia","Conway","Craighead","Crawford","Crittenden","Cross","Dallas","Desha","Drew","Faulkner","Franklin","Fulton","Garland","Grant","Greene","Hempstead","Hot Spring","Howard","Independence","Izard","Jackson","Jefferson","Johnson","Lafayette","Lawrence","Lee","Lincoln","Little River","Logan","Lonoke","Madison","Marion","Miller","Mississippi","Monroe","Montgomery","Nevada","Newton","Ouachita","Perry","Phillips","Pike","Poinsett","Polk","Pope","Prairie","Pulaski","Randolph","Saline","Scott","Searcy","Sebastian","Sevier","Sharp","St. Francis","Stone","Union","Van Buren","Washington","White","Woodruff","Yell"
"Pope",245.609,209.958,293.447,148.515,88.573,359.392,212.536,277.143,132.803,319.459,191.958,262.646,58.67,315.157,73.323,281.684,66.593,301.817,192.641,262.458,193.252,262.166,198.363,223.404,308.2,343.51,59.712,319.459,288.762,116.559,50.924,198.856,202.254,106.697,229.072,194.771,285.088,269.99,61.248,193.805,272.544,49.03,152.942,265.977,314.112,218.813,315.71,383.7,209.034,264.979,101.748,155.534,61.852,292.794,186.015,260.162,91.814,0,308.564,135.377,258.342,261.949,139.046,154.735,136.341,238.188,216.538,383.698,161.331,132.295,125.904,300.144,340.152,191.634,216.661
"Prairie",257.804,130.182,360.961,272.906,393.688,483.783,159.614,382.124,249.542,45.354,418.003,194.347,296.841,104.983,237.251,33.126,359.957,72.854,381.135,376.371,144.489,376.079,424.408,168.095,432.591,467.901,365.529,45.354,413.153,320.558,259.116,243.58,173.685,329.027,99.09,500.588,399.001,82.862,367.065,499.622,510.95,366.175,214.686,139.221,93.746,332.726,87.975,65.391,333.425,389.37,215.281,436.436,284.721,20.774,404.775,46.786,337.513,310.226,0,235.679,310.986,375.862,238.932,158.238,442.158,464.233,125.018,106.96,195.802,181.088,431.721,424.535,454.065,136.22,522.478
"Pulaski",126.056,157.756,196.184,61.692,219.675,272.569,78.015,170.948,38.328,243.778,206.789,128.125,122.828,239.476,63.261,206.003,185.944,167.296,324.445,165.195,149.794,164.903,213.194,210.232,221.377,256.687,191.516,243.778,201.939,109.344,85.103,256.129,197.75,238.593,153.391,326.575,187.825,194.309,193.052,325.609,299.736,192.162,18.421,131.456,179.591,121.55,181.189,249.179,122.211,178.156,64.548,225.222,110.708,217.113,193.561,184.481,223.71,136.213,232.883,0,161.079,164.686,14.459,79.054,268.145,253.019,164.336,308.017,164.827,56.614,257.708,213.321,242.889,115.953,348.465
"Randolph",54.875,295.781,52.219,169.456,342.403,268.551,165.889,158.062,146.092,381.803,282.318,120.652,245.556,377.501,185.989,270.766,283.794,224.81,447.173,122.619,287.819,52.908,283.463,348.257,284.939,252.669,314.244,381.803,265.501,217.108,207.831,378.857,335.775,361.321,291.416,449.303,159.277,332.334,315.78,448.337,363.298,314.89,141.461,179.785,222.204,62.631,223.792,294.246,185.773,241.718,202.573,295.491,233.436,281.876,257.123,242.108,346.438,258.941,310.942,159.577,0,66.981,127.158,217.079,390.873,328.548,302.361,422.578,303.108,194.639,380.436,276.883,131.999,253.978,471.193
"Saline",121.251,299.475,44.722,149.363,346.097,214.349,197.4,109.557,149.786,385.497,227.507,192.009,249.25,381.195,189.683,347.722,287.488,286.883,450.867,55.637,291.513,13.441,242.191,351.951,203.685,194.281,317.938,385.497,177.393,172.506,211.525,382.551,339.469,365.015,295.11,452.997,100.889,336.028,319.474,452.031,282.044,318.584,180.836,251.043,299.178,43.136,300.776,368.766,152.51,162.16,206.267,268.961,237.13,358.832,202.312,326.2,350.132,262.635,374.602,163.271,66.221,0,156.24,220.773,394.567,267.548,306.055,449.736,306.802,198.333,384.13,195.629,91.404,257.672,474.887
"Scott",106.562,161.25,188.591,54.099,223.309,264.976,95.222,163.355,30.735,247.272,199.196,123.862,126.462,242.97,66.895,209.497,168.437,184.503,328.079,157.602,153.288,157.31,205.601,213.726,213.784,249.094,195.15,247.272,194.346,101.751,88.737,259.763,201.244,242.227,156.885,330.209,180.232,197.803,196.686,329.243,292.143,195.796,29.253,148.663,196.798,113.957,198.396,266.386,114.618,170.563,68.042,217.629,114.342,220.607,185.968,187.975,227.344,139.847,236.377,14.459,127.11,157.093,0,82.548,271.779,245.426,167.83,311.511,168.321,60.108,261.342,205.728,235.296,119.447,352.099
"Searcy",151.596,82.04,252.012,117.558,238.34,328.435,58.092,226.776,94.194,168.062,262.655,138.654,107.2,163.76,81.903,130.287,204.609,127.913,269.536,221.023,74.078,220.731,269.06,134.516,277.243,312.553,210.181,168.062,257.805,165.21,103.768,183.705,122.034,208.535,77.675,345.24,243.653,118.593,211.717,344.274,355.602,210.827,59.338,120.161,148.246,177.378,158.955,202.82,178.077,234.022,59.933,281.088,129.373,141.397,249.427,108.765,242.375,154.878,157.167,80.331,216.907,220.514,83.584,0,286.81,308.885,88.62,232.301,94.067,25.74,276.373,269.187,298.717,40.237,367.13
"Sebastian",377.992,342.341,425.83,280.898,61.575,359.36,344.919,299.389,265.186,451.842,231.409,395.029,191.053,447.54,205.706,414.067,143.781,434.2,204.016,394.841,325.635,394.549,199.805,355.787,290.472,332.334,84.842,451.842,288.73,207.115,183.307,290.956,334.637,203.826,361.455,103.217,417.471,402.373,79.073,89.389,244.685,107.536,285.325,398.36,446.495,351.196,448.093,516.083,341.417,264.796,234.131,136.629,194.235,425.177,223.038,392.545,204.602,136.124,440.947,267.76,390.725,394.332,271.429,287.118,0,211.222,348.921,516.081,293.714,264.678,9.479,272.898,472.535,324.017,125.107
"Sevier",363.645,399.981,311.51,205.053,174.408,158.56,341.272,180.07,229.298,486.003,46.276,391.382,284.83,481.701,280.392,448.228,171.462,430.553,412.88,219.847,392.019,280.229,68.813,452.457,87.17,120.968,236.828,486.003,96.887,146.338,302.234,473.26,439.975,344.73,395.616,312.081,174.388,436.534,238.927,299.988,34.436,233.208,281.678,394.713,442.848,264.63,444.446,512.436,142.844,105.408,306.741,85.794,235.543,459.338,71.587,426.706,329.847,238.033,475.108,264.113,328.235,266.787,257.082,321.279,211.032,0,406.561,550.242,397.511,298.839,221.543,80.838,299.996,358.178,333.971
"Sharp",233.961,10.755,336.196,201.742,299.14,412.619,129.611,310.96,178.378,134.635,346.839,182.584,147.922,107.376,166.087,96.86,265.409,155.277,270.116,305.207,23.031,304.915,353.244,71.084,361.427,396.737,270.981,134.635,341.989,249.394,164.568,138.579,58.602,209.115,41.918,406.04,327.837,79.685,272.517,405.074,439.786,271.627,143.522,147.525,198.409,261.562,192.638,206.307,262.261,318.206,125.295,365.272,190.173,107.97,333.611,94.564,217.601,215.678,123.74,164.515,301.091,304.698,167.768,87.074,347.61,393.069,0,198.874,75.89,109.924,337.173,353.371,382.901,89.3,342.208
"St. Francis",371.551,186.432,483.625,349.171,469.953,560.048,231.584,458.389,325.807,64.241,494.268,266.317,373.106,97.813,313.516,98.291,436.222,202.731,446.657,452.636,220.754,452.344,500.673,187.478,508.856,544.166,441.794,64.241,489.418,396.823,335.381,262.963,211.022,357.603,175.355,576.853,475.266,124.037,443.33,575.887,587.215,442.44,290.951,252.968,207.493,408.991,201.722,134.585,409.69,465.635,291.546,512.701,360.986,94.367,481.04,127.033,367.6,386.491,107.122,311.944,448.52,452.127,315.197,234.503,518.423,540.498,201.283,0,242.288,257.353,507.986,500.8,530.33,216.056,589.799
"Stone",245.637,70.696,338.52,193.588,244.929,404.465,152.133,322.216,177.876,183.089,338.685,233.464,92.191,159.24,118.708,167.652,211.173,210.336,194.225,307.531,53.99,307.239,345.09,62.309,353.273,388.583,216.77,183.089,333.835,241.24,114.676,92.196,41.159,133.224,107.698,248.281,330.161,138.02,218.306,284.897,431.632,217.416,153.379,202.584,230.669,263.886,231.222,244.891,254.107,310.052,112.407,300.114,135.937,178.762,325.457,150.836,141.71,161.467,194.532,165.487,303.415,307.022,168.74,94.04,293.399,384.915,77.276,247.328,0,119.781,282.962,345.217,385.225,122.66,266.317
"Union",141.49,104.383,230.409,95.955,214.641,306.832,54.333,205.173,72.591,190.405,241.052,143.559,117.794,186.103,58.204,152.63,180.91,150.256,274.228,199.42,96.421,199.128,247.457,156.859,255.64,290.95,186.482,190.405,236.202,143.607,80.069,224.354,144.377,233.559,100.018,321.541,222.05,140.936,188.018,320.575,333.999,187.128,33.597,146.89,170.589,155.775,196.623,225.163,156.474,212.419,36.234,259.485,105.674,163.74,227.824,131.108,218.676,131.179,179.51,58.728,195.304,198.911,61.981,25.681,263.111,287.282,110.963,254.644,119.749,0,252.674,247.584,277.114,62.58,343.431
"Van Buren",367.804,332.153,415.642,270.71,70.214,367.999,334.731,399.338,254.998,441.654,242.685,384.841,180.865,437.352,195.518,403.879,152.42,424.012,193.828,384.653,315.447,384.361,211.081,345.599,299.111,343.61,74.654,441.654,297.369,215.754,173.119,280.768,324.449,193.638,351.267,93.029,407.283,392.185,68.885,75.822,255.961,97.348,275.137,388.172,436.307,341.008,437.905,505.895,331.229,273.435,223.943,145.268,184.047,414.989,231.677,382.357,194.414,125.936,430.759,257.572,380.537,384.144,261.241,276.93,9.352,222.498,338.733,505.893,283.526,254.49,0,281.537,462.347,313.829,114.919
"Washington",312.198,348.534,239.17,153.606,240.016,84.329,289.825,114.844,177.851,434.556,72.77,339.935,288.512,430.254,228.945,396.781,169.015,379.106,490.129,147.507,340.572,207.889,95.307,401.01,22.574,68.447,357.2,434.556,16.049,139.524,250.787,421.813,388.528,404.277,344.169,371.007,99.059,385.087,358.736,358.914,97.04,357.846,230.231,343.266,391.401,197.739,392.999,460.989,98.989,40.182,255.294,166.043,219.644,407.891,49.821,375.259,389.394,301.897,423.661,212.666,276.788,194.447,205.635,269.832,272.865,80.809,355.114,498.795,346.064,247.392,280.469,0,222.127,306.731,392.897
"White",184.552,377.521,104.509,218.515,424.143,198.359,271.977,150.186,227.832,463.543,290.494,250.329,327.296,459.241,267.729,425.768,338.512,361.46,528.913,120.077,369.559,79.105,308.648,429.997,231.871,189.102,395.984,463.543,205.579,241.658,289.571,460.597,417.515,443.061,373.156,531.043,126.078,414.074,397.52,530.077,288.02,396.63,258.882,309.462,373.755,126.186,375.353,443.343,225.746,194.464,284.313,334.71,315.176,436.878,245.383,404.246,428.178,340.681,452.648,241.317,131.956,91.442,234.286,298.819,472.613,299.852,384.101,527.782,384.848,276.379,462.176,223.815,0,335.718,552.933
"Woodruff",153.283,83.374,288.983,154.529,275.311,365.406,41.543,263.747,131.165,149.11,299.626,112.036,178.464,144.808,118.874,109.131,241.58,88.908,309.682,257.994,75.412,257.702,306.031,135.85,314.214,349.524,247.152,149.11,294.776,202.181,140.739,203.345,123.368,294.229,58.723,382.211,280.624,99.641,248.688,381.245,392.573,247.798,96.309,81.156,109.241,214.349,119.95,155.258,215.048,270.993,96.904,318.059,166.344,120.241,286.398,87.567,279.346,191.849,136.011,117.302,253.878,257.485,120.555,39.861,323.781,345.856,89.954,213.349,125.764,62.711,313.344,306.158,335.688,0,404.101
"Yell",458.454,336.833,506.292,361.36,181.546,572.237,425.381,489.988,345.648,532.304,354.017,475.491,271.515,528.002,286.168,494.529,283.179,514.662,117.478,475.303,320.127,475.011,322.413,291.17,521.045,454.942,165.304,532.304,501.607,333.145,263.769,218.986,285.84,141.643,441.917,24.986,497.933,482.835,159.535,47.715,367.293,187.998,365.787,478.822,526.957,431.658,528.555,596.545,421.879,477.824,314.593,256.6,274.697,505.639,343.009,473.007,172.054,216.586,521.409,348.222,471.187,474.794,351.891,367.58,124.685,333.83,343.413,588.874,266.136,345.14,114.248,392.869,552.997,404.479,0
