"","Adams","Alamosa","Arapahoe","Archuleta","Baca","Bent","Boulder","Broomfield","Chaffee","Cheyenne","Clear Creek","Conejos","Costilla","Crowley","Custer","Delta","Denver","Dolores","Douglas","Eagle","El Paso","Elbert","Fremont","Garfield","Gilpin","Grand","Gunnison","Hinsdale","Huerfano","Jackson","Jefferson","Kiowa","Kit Carson","La Plata","Lake","Larimer","Las Animas","Lincoln","Logan","Mesa","Mineral","Moffat","Montezuma","Montrose","Morgan","Otero","Ouray","Park","Phillips","Pitkin","Prowers","Pueblo","Rio Blanco","Rio Grande","Routt","Saguache","San Juan","San Miguel","Sedgwick","Summit","Teller","Washington","Weld","Yuma"
"Logan",322.745,726.845,333.983,792.039,512.126,473.113,377.51,359.133,575.692,318.143,386.247,771.818,711.489,455.213,586.922,790.882,352.712,960.771,382.445,550.043,462.991,414.128,536.141,592.746,488.174,500.998,669.282,757.12,522.506,464.045,457.886,397.877,361.111,918.155,508.437,319.54,473.113,479.388,0,726.512,757.916,637.665,466.199,826.002,759.123,483.348,884.081,483.986,110.356,675.351,441.782,532.225,673.395,938.451,559.091,639.08,920.824,929.041,91.138,475.154,533.464,206.298,307.645,190.948
"Mesa",389.999,437.059,656.892,404.812,768.335,665.758,379.755,379.13,345.028,642.813,319.508,481.791,503.262,603.672,420.883,83.991,361.538,335.255,392.55,159.557,466.467,441.414,420.072,316.91,681.514,310.051,240.62,255.747,564.795,360.342,325.808,433.481,601.455,340.644,250.213,458.437,665.758,268.841,708.111,0,336.577,387.933,274.897,137.292,448.582,636.736,195.371,299.612,632.379,283.935,687.52,535.701,99.221,249.741,278.947,352.926,232.114,240.331,625.134,264.607,407.222,539.868,442.114,582.935
"Mineral",440.605,109.831,539.637,102.84,478.641,375.47,429.856,429.736,191.186,525.558,397.095,154.563,176.034,344.621,266.2,233.968,412.144,271.572,458.138,369.605,373.551,427.453,281.733,203.411,391.226,418.757,168.911,80.826,330.78,490.339,300.006,443.54,487.049,228.956,277.034,509.043,375.47,315.77,758.717,335.72,0,134.073,352.484,199.735,121.354,346.448,135.806,274.902,682.985,212.226,422.042,304.99,415.759,137.804,474.963,118.883,136.557,213.345,675.74,310.001,338.216,590.474,492.72,633.541
"Moffat",320.223,61.273,487.775,167.528,426.779,323.608,309.474,309.354,70.804,473.696,276.713,106.246,124.172,292.759,145.818,285.333,291.762,336.26,305.681,249.223,234.737,293.456,161.351,83.029,339.364,298.375,147.559,211.183,253.089,369.957,179.624,309.543,435.187,293.644,156.652,388.661,323.608,195.388,638.335,387.085,133.405,0,232.102,251.1,93.551,294.586,309.436,154.52,562.603,165.634,370.18,223.995,372.575,357.504,354.581,35.442,340.209,354.396,555.358,189.619,217.834,470.092,372.338,513.159
"Montezuma",148.397,293.003,415.29,386.801,526.733,424.156,138.153,137.528,170.454,401.211,77.906,337.976,355.902,362.07,237.619,358.084,119.936,555.533,150.948,117.245,224.865,199.812,187.376,187.508,439.912,108.509,264.044,351.882,323.193,180.091,93.112,191.879,359.853,512.917,75.639,216.835,424.156,36.145,466.509,293.714,352.678,232.427,0,393.204,325.281,395.134,451.283,66.916,390.777,270.113,445.918,294.099,240.597,505.653,164.715,233.842,488.026,496.243,383.532,31.911,174.526,298.266,200.512,341.333
"Montrose",507.551,300.206,606.563,268.014,631.944,490.88,497.307,496.682,207.632,592.484,437.06,344.938,366.409,428.794,282.646,34.982,479.09,198.457,510.102,277.109,379.528,430.284,298.179,180.057,506.636,427.603,103.767,118.894,389.917,477.894,314.93,446.371,551.126,203.846,291.958,575.989,490.88,386.393,825.663,136.734,199.724,251.08,392.449,0,311.729,461.858,58.573,289.826,749.931,147.082,537.452,360.823,216.773,112.943,396.499,216.073,95.316,103.533,742.686,324.925,353.14,657.42,559.666,700.487
"Morgan",442.242,32.503,462.309,155.454,401.313,298.142,452.741,434.364,163.639,448.23,369.548,33.201,73.672,267.293,245.623,345.979,406.153,324.186,380.81,342.058,296.223,350.125,254.186,175.864,313.898,391.21,208.205,199.109,253.452,462.792,272.459,366.212,409.721,281.57,249.487,510.611,298.142,288.223,758.934,447.731,121.331,94.165,324.937,311.746,0,269.12,370.082,247.355,683.202,225.444,344.714,227.662,465.41,345.43,447.416,95.653,328.135,415.042,675.957,282.454,310.669,537.614,494.357,576.681
"Otero",311.64,236.944,195.529,380.461,167.061,31.619,326.784,308.407,256.64,181.45,324.412,281.917,221.588,43.25,195.895,496.423,280.196,549.193,254.853,479.406,170.266,224.168,164.076,282.113,47.375,430.361,358.649,424.116,98.055,505.012,309.665,229.469,142.941,506.577,355.892,384.654,31.619,325.429,483.558,655.875,346.338,295.25,395.562,462.19,269.222,0,520.526,284.561,389.352,364.718,78.191,107.04,602.758,570.437,526.899,327.159,553.142,565.486,400.581,319.66,240.577,296.68,363.755,313.929
"Ouray",565.856,358.511,664.868,209.441,690.249,549.185,555.612,554.987,265.937,650.789,495.365,366.201,424.714,487.099,340.951,93.287,537.395,172.463,568.407,335.414,437.833,488.589,356.484,238.362,564.941,485.908,162.072,62.944,448.222,536.199,373.235,504.676,609.431,145.273,350.263,634.294,549.185,444.698,883.968,195.039,135.809,309.385,450.754,58.304,370.034,520.163,0,348.131,808.236,205.387,595.757,419.128,275.078,54.37,454.804,274.378,36.743,77.539,800.991,383.23,411.445,715.725,617.971,758.792
"Park",166.795,215.285,374.244,309.083,448.603,313.161,156.046,155.926,92.736,360.165,121.385,260.258,278.184,251.075,170.703,324.1,138.334,477.815,152.253,141.808,133.998,197.965,120.46,109.79,328.917,143.047,186.326,274.164,212.198,214.629,26.196,193.355,318.807,435.199,115.534,235.233,313.161,40.868,484.907,318.277,274.96,154.709,66.523,289.867,247.563,284.139,348.203,0,409.175,192.395,359.733,183.104,265.16,402.573,199.253,156.124,384.946,393.163,401.93,35.099,107.61,316.664,218.91,359.731
