"","Adams","Alcorn","Amite","Attala","Benton","Bolivar","Calhoun","Carroll","Chickasaw","Choctaw","Claiborne","Clarke","Clay","Coahoma","Copiah","Covington","DeSoto","Forrest","Franklin","George","Greene","Grenada","Hancock","Harrison","Hinds","Holmes","Humphreys","Issaquena","Itawamba","Jackson","Jasper","Jefferson","Jefferson Davis","Jones","Kemper","Lafayette","Lamar","Lauderdale","Lawrence","Leake","Lee","Leflore","Lincoln","Lowndes","Madison","Marion","Marshall","Monroe","Montgomery","Neshoba","Newton","Noxubee","Oktibbeha","Panola","Pearl River","Perry","Pike","Pontotoc","Prentiss","Quitman","Rankin","Scott","Sharkey","Simpson","Smith","Stone","Sunflower","Tallahatchie","Tate","Tippah","Tishomingo","Tunica","Union","Walthall","Warren","Washington","Wayne","Webster","Wilkinson","Winston","Yalobusha","Yazoo"
"Newton",75.817,135.983,141.417,86.65,102.65,198.917,66.233,136.017,147.717,51.35,122,55.233,191.717,225.317,89.3,79.333,59.567,24.8,106.6,128.433,123.6,146.633,170.883,169.35,60.95,115.317,108.717,127.217,190.967,60.95,33.933,125.833,97.05,63.017,69.3,199.15,236.317,45.583,7.233,57.967,169.233,159.683,105.933,119.767,73.15,38.567,219.633,123.733,150.017,32.417,0,85.233,113.7,175.933,50.6,130.617,126.75,177.267,97.05,55.233,47.717,199.8,182.567,59.9,44.1,124.283,164.767,166.117,190.617,215.183,219.533,227.417,28.367,126.083,97.183,152.75,83.1,89.517,169.617,106.517,184.65,98.983
"Noxubee",121.717,211.35,216.8,88.067,140.633,203.767,111.75,111.883,82.533,56.717,197.383,81.233,112.6,202.45,164.683,141.033,85.2,101.717,122.8,179.333,149.283,122.833,214.883,146.467,136.317,123.867,184.083,209.117,111.85,136.317,108.033,201.2,158.567,107.017,35.083,138.55,157.2,43.433,89.933,87.783,90.117,136.817,181.3,40.65,136.483,54.267,140.517,199.117,158.067,74.817,87.267,0,47.533,153.05,70.55,174.617,202.133,103.133,158.567,81.233,123.1,204.65,159.7,135.017,58.083,168.283,159.933,141.983,167.75,136.083,140.417,192.633,78.6,78.5,172.567,228.133,108.767,49.633,245,50.017,137.083,174.367
"Oktibbeha",112.033,211.067,220.567,71.867,117.35,165.183,149.517,73.3,49.65,71.683,197.1,119,88.783,163.867,168.467,131.35,122.983,111.667,100.217,156.05,187.05,84.25,252.667,107.883,137.25,98.467,183.8,183.117,88.017,137.25,143.45,204.983,183.6,144.8,72.85,113,133.367,81.217,116.867,78.1,66.283,98.233,185.083,24.533,126.8,92.05,116.683,202.9,126.683,82.4,114.2,45.317,0,114.467,78.133,212.383,205.917,79.3,183.6,119,128.667,166.067,121.117,169.417,95.85,206.067,121.35,103.4,129.167,112.25,116.583,165.967,88.45,39.917,174.45,229.567,146.55,27.067,248.783,30.717,98.5,176.25
"Panola",112.967,200.967,210.567,90.883,105.433,108.883,212.733,63.017,94.983,141.017,186.983,214.083,102.083,51.35,158.45,119.567,218.05,152.633,88.3,146.217,272.567,41.5,301.417,22.1,127.233,86.567,173.7,160.433,101.333,127.233,197.183,194.967,189.933,221.1,173.683,34.633,81.55,190.217,169.983,119.05,84.567,52.5,175.067,133.533,117.717,192.783,64.867,192.883,109.6,151.333,175.833,154.317,116.083,0,135.733,261.15,195.9,65.917,189.933,214.083,141.933,109.5,57.75,210.983,202.933,254.817,87.883,76.417,26.2,100.9,127.983,63,157.383,87.55,162.133,219.45,241.633,129.85,238.767,135.533,70.15,163.933
"Pearl River",60.833,159.867,171.3,45.783,87.167,187.1,110.067,95.15,111.833,15.467,145.9,86.95,163.45,184.45,119.2,80.133,90.917,50.65,78.3,124.167,155,105.767,213.217,128.467,87.983,81.583,132.6,153.95,162.683,87.983,79.1,155.717,129.8,105.35,48.017,158.45,206.85,76.35,52.517,24.017,140.95,118.817,135.817,99.2,75.6,65.65,190.167,153.633,115.783,18.033,49.85,69.767,77.833,135.05,0,172.933,156.65,141.383,129.8,86.95,79,187.983,141.7,105.067,75.8,166.6,143.2,125.25,149.75,191.25,194.717,186.55,24.1,90.2,123.25,178.367,114.483,53.65,199.517,70.633,148.783,125.033
"Perry",165.817,205.783,145.367,204.9,183.533,281.25,77.683,223.817,250.517,162.85,198.9,114.583,280.583,315.45,145.85,161.667,114.883,144.283,187.483,210.767,71.767,233.617,52.033,256.333,143.283,196.2,191.417,209.55,279.817,143.283,104.9,177.017,96.067,75.833,157.117,286.3,325.167,134.45,140.833,176.233,258.083,246.667,132.4,208.633,155.483,127.433,308.483,155.733,230.9,153.1,133.233,174.1,215.5,262.917,171.283,0,124.483,271.117,96.067,114.583,145.967,282.133,269.55,99.5,132.95,13.683,247.1,249.383,277.6,304.05,308.383,314.4,149.033,242.2,179.517,187.367,104.5,205.65,185.4,218,273.833,181.317
"Pike",97.5,96.067,29.817,149.767,115.2,209.15,107.483,155.483,214.117,162.8,88.417,151.2,270.7,244.767,46.667,93.35,151.517,109.167,119.15,138.667,139.883,165.283,105.367,188,75.417,127.883,98.117,138.233,269.933,75.417,124.433,68.85,64.183,112.467,184.5,217.967,266.383,159.283,118.2,131.45,249.717,178.333,33.117,222.85,87.167,152.283,249.7,47.967,162.567,147.633,124.05,198.95,201.467,194.583,152.567,122.383,0,240.3,64.183,151.2,86.283,213.25,201.233,118.467,157.8,116.05,175,181.05,209.267,281.617,296.033,246.067,143.917,185.683,108.933,76.55,141.133,177.283,69.867,194.283,205.5,110.733
"Pontotoc",162.183,248.067,257.667,113.2,152.533,171.65,208.217,110.117,33.8,136.15,234.1,177.7,45.317,114.117,205.55,166.667,181.683,168.083,135.417,193.317,245.767,88.833,311.367,76.6,174.35,133.667,220.8,213.15,44.55,174.35,207.9,242.083,240.95,203.5,131.567,38.5,73.783,139.917,181.317,134.5,26.333,99.617,222.183,84.367,164.833,150.75,57.1,239.983,156.7,146.85,178.667,104.033,81.25,64.717,142.583,271.1,243,0,240.95,177.7,186.017,172.267,116.217,233,154.567,264.767,144.883,123.517,80.7,51.867,71.2,109.217,152.9,68.7,209.233,266.567,205.25,98.4,285.867,102.05,80.6,211.033
"Prentiss",95.5,111.933,81.217,137.283,113.217,210.933,49.217,153.483,213.8,136.717,103.867,98.317,270.383,245.117,59.483,91.35,98.633,83.1,117.167,140.433,106.417,163.283,135.267,186,72.967,125.883,105,139.217,269.617,72.967,66.15,83.167,0,57.567,140.85,215.967,264.383,118.2,92.117,113,249.417,176.35,38.55,192.367,85.167,111.183,247.7,61.867,160.583,121.55,97.983,157.85,183,192.583,131.583,94.983,66.55,243.35,0,98.317,75.65,211.817,199.233,60.2,116.7,88.667,176.767,179.067,207.283,279.633,295.733,244.083,117.833,183.7,109.2,93.517,88.25,158.817,107.767,175.817,203.517,111
"Quitman",121.517,181.667,172.433,125.983,148.333,244.617,50.733,175.35,156.2,78.317,167.7,0,186.267,264.667,135,125.017,7.867,72.033,152.283,174.117,73.517,185.967,153.883,208.683,106.633,161.783,154.4,172.9,185.517,106.633,52.033,171.517,97.567,46.017,64.317,212.217,230.867,40.133,60.25,103.333,163.783,199.033,131.333,114.317,118.85,33.133,214.183,154.667,196,72.4,58.85,79.8,121.2,215.267,89.35,113.6,151.55,176.8,97.567,0,93.4,245.5,221.917,76.4,39.067,107.283,210.45,205.467,229.967,209.75,214.083,266.767,68.333,152.167,142.883,186.3,33.017,121.117,200.55,123.683,210.75,144.683
