"","Alachua","Baker","Bay","Bradford","Brevard","Broward","Calhoun","Charlotte","Citrus","Clay","Collier","Columbia","DeSoto","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Glades","Gulf","Hamilton","Hardee","Hendry","Hernando","Highlands","Hillsborough","Holmes","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Madison","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Union","Volusia","Wakulla","Walton","Washington"
"Nassau",172.577,566.03,335.536,367.502,273.263,582.042,399.411,516.208,284.26,106.487,627.712,188.594,463.749,318.388,38.352,619.874,616.684,442.853,349.166,315.628,529,482.352,196.976,424.775,509.114,260.666,561.874,343.999,461.593,400.527,240.632,58.08,314.046,265.814,221.673,406.238,208.337,520.452,233.088,438.415,191.599,399.401,611.471,388.246,0,549.94,466.893,415.188,368.898,515.227,328.338,408.032,387.273,159.156,597.486,458.516,411.476,97.601,414.04,282.687,274.153,127.818,500.177,216.131,339.272,437.201,450.386
"Okaloosa",448.684,16.312,686.449,669.377,711.759,970.642,181.221,818.083,586.135,527.146,929.587,414.083,805.725,620.263,514.944,75.387,1011.266,241.045,204.78,662.389,863.89,203.505,370.799,768.202,850.654,562.541,950.474,645.874,96.119,800.691,627.211,496.541,248.361,609.827,337.703,708.113,501.212,50.074,323.347,740.29,380.967,683.475,1006.053,689.929,550.809,0,802.036,210.989,670.773,903.827,630.213,709.907,726.789,525.651,52.999,760.391,713.351,536.237,814.357,584.562,453.28,460.914,67.721,585.662,260.325,842.535,110.035
"Okeechobee",359.214,818.613,125.331,244.494,204.117,170.578,651.994,148.646,268.459,387.228,212.254,401.466,104.504,285.131,426.457,872.457,211.16,650.378,601.749,144.378,62.106,734.935,449.478,118.126,106.182,276.594,150.41,250.881,714.176,77.97,224.322,410.111,566.629,224.743,474.256,198.039,335.307,773.035,485.671,182.429,444.101,208.977,205.947,197.822,466.925,802.523,0,667.771,229.799,103.763,252.049,256.798,153.381,321.891,850.069,183.331,245.026,382.939,65.779,246.363,413.983,482.585,752.76,263.788,545.305,69.045,702.969
"Orange",313.447,227.442,551.212,534.14,576.522,835.405,29.619,682.846,450.898,391.909,794.35,278.846,670.488,485.026,379.707,281.286,876.029,89.508,69.55,527.152,728.653,120.165,235.562,632.965,715.417,427.304,815.237,510.637,123.005,665.454,491.974,361.304,113.037,474.59,202.466,572.876,302.752,181.864,188.11,605.053,245.73,548.238,870.816,554.692,415.572,211.352,666.799,0,535.536,768.59,494.976,574.67,591.552,390.414,258.898,625.154,578.114,401,679.12,449.325,295.67,325.677,161.589,450.425,103.247,707.298,111.798
"Osceola",226.25,685.649,156.104,15.587,202.459,427.956,519.03,159.588,116.831,274.568,271.092,268.502,147.23,55.834,331.097,739.493,452.046,517.414,468.785,125.091,257.878,601.971,316.514,115.946,244.752,124.966,420.129,56.984,581.212,228.29,189.584,312.694,433.665,141.114,341.292,49.618,202.343,640.071,352.707,81.795,311.137,32.413,452.996,38.867,366.962,669.559,228.404,534.807,0,373.482,41.78,40.928,75.727,241.488,717.105,101.896,44.372,335.393,241.956,88.976,248.427,318.25,619.796,196.863,412.341,312.19,570.005
"Palm Beach",461.652,921.051,237.611,349.98,251.478,75.553,754.432,241.801,370.897,434.589,239.821,503.904,207.218,387.569,473.818,974.895,119.419,752.816,704.187,246.816,128.469,837.373,551.916,220.84,154.351,379.032,55.385,353.319,816.614,127.837,326.76,457.472,669.067,327.181,576.694,323.114,437.745,875.473,588.109,285.143,546.539,314.463,114.206,303.308,514.286,904.961,103.767,770.209,335.285,0,357.535,367.123,258.867,402.299,952.507,286.045,370.567,430.3,115.646,348.801,516.421,529.946,855.198,366.146,647.743,78.903,805.407
"Pasco",187.084,646.483,179.176,41.387,225.531,458.461,479.864,190.093,77.665,235.402,301.597,229.336,177.735,16.668,291.931,700.327,482.551,478.248,429.619,148.163,267.756,562.805,277.348,140.212,275.257,85.8,443.201,33.621,542.046,251.362,191.023,273.528,394.499,101.948,302.126,80.123,163.177,600.905,313.541,112.3,271.971,55.485,483.501,61.939,327.796,630.393,251.476,495.641,42.783,396.554,0,81.917,98.799,202.322,677.939,132.401,85.361,254.88,265.028,49.81,241.853,279.084,580.63,157.697,373.175,335.262,530.839
"Pinellas",267.288,726.687,188.642,38.926,234.997,432.448,560.068,164.08,141.197,315.606,275.584,309.54,151.722,96.872,411.449,780.531,456.538,496.119,509.823,157.629,262.37,526.776,357.552,143.898,249.244,155.963,451.32,90.352,622.25,260.828,222.122,353.732,474.703,182.152,382.33,86.586,215.549,681.109,393.745,74.084,352.175,64.951,457.488,71.405,408,710.597,255.514,575.845,41.93,406.02,82.818,0,108.265,282.526,758.143,91.862,14.095,367.931,274.494,130.014,270.792,359.288,660.834,237.901,391.046,344.728,611.043
"Polk",283.837,743.236,121.034,91.812,167.389,324.064,576.617,124.832,174.418,304.612,222.144,326.089,80.69,113.421,343.841,797.08,364.688,575.001,526.372,90.021,169.623,659.558,374.101,41.716,166.495,182.553,303.896,57.325,638.799,153.229,154.514,327.495,491.252,116.177,398.879,98.83,259.93,697.658,410.294,131.007,368.724,56.295,359.475,45.14,384.309,727.146,153.343,592.394,77.117,257.249,99.367,108.955,0,246.634,774.692,151.108,112.399,300.323,166.895,97.542,338.606,375.837,677.383,188.531,469.928,195.957,627.592
"Putnam",92.885,541.803,223.758,237.87,161.485,470.264,375.184,386.576,154.628,41.108,498.08,139.508,324.341,188.756,118.106,595.647,504.906,388.091,324.939,181.401,417.222,458.125,172.749,285.367,369.706,131.034,450.096,214.367,437.366,288.749,102.608,101.76,289.819,108.561,197.446,276.606,113.373,496.225,208.861,308.783,167.372,251.968,499.693,258.422,158.574,525.713,355.115,390.961,239.266,403.449,198.706,278.4,247.865,0,573.259,328.884,281.844,58.529,302.262,153.055,177.685,146.595,475.95,77.264,283.018,325.423,426.159
