"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"St. Tammany",103.617,225.567,78.05,105.683,162.967,212.217,278.6,293.9,299.2,191.783,235.817,218.65,113.15,232.317,150.717,255.483,62.767,219.7,80.6,141.917,139.967,195.85,140.017,50.617,97.75,46.817,144.5,113.167,97.25,140.433,255.283,42.1,185.883,248.7,223.883,51.167,226.85,69.167,98.7,182.933,248.717,151.117,246.367,75.783,64.617,55.617,95.5,56.083,146.767,127.283,139.967,0,50.467,218.55,96.083,83.467,143.583,264.817,129.65,288.567,65.25,236.167,94.883,224.017
"Tangipahoa",113.567,234.883,78.417,105.767,144.95,212.583,242.55,275.017,286.617,192.15,191.567,219.017,113.517,188.067,106.467,264.817,63.133,175.45,40.683,142.283,148.583,196.217,140.383,75.3,57.833,71.75,144.85,113.533,105.867,140.783,211.033,42.467,141.633,204.45,233.2,75.85,182.6,93.85,80.683,192.267,258.05,158.95,255.683,105.067,73.233,15.7,95.583,56.167,147.133,127.65,148.583,52.283,0,174.3,104.683,83.55,143.95,220.567,130.017,244.317,65.617,191.917,74.767,217.3
"Tensas",278.533,188.517,225.333,253.417,152.1,232.817,120.617,153.067,164.667,183.05,83.033,300.967,245.2,66.133,97.683,178.217,197.333,69.817,182.367,243.867,269.217,213.617,247.167,238.95,169.417,235.4,244.85,220.3,278.333,247.567,89.1,206.117,41.1,82.517,175.883,239.5,60.667,257.5,179.833,155.067,162.55,265.717,210.85,268.733,236.883,179.35,243.233,219.817,178.567,241.867,269.217,215.933,171.183,0,268.35,231.2,251.183,98.633,193.7,122.367,201.033,69.983,164.967,134.283
"Terrebonne",31.85,232.45,86.483,58.967,188.2,219.45,285.483,300.8,306.083,198.667,252.217,225.883,117.833,290.017,202.133,262.383,104.95,275.133,136.033,149.15,68.933,203.083,89.867,64.65,141.767,61.1,151.733,111.367,32.917,93.383,286.433,97.9,241.3,304.133,230.767,65.2,284.55,84.233,140.883,189.817,255.617,80.067,253.25,94.433,47.667,111.05,78.217,62.383,153.667,108.533,68.933,97.883,105.9,273.983,0,83.533,109.383,278.35,136.533,310.6,107.45,291.6,137.067,230.917
"Union",57.75,200.633,21.283,27.45,138.033,187.283,253.667,268.967,274.267,166.85,220.117,193.717,88.217,243.617,135.017,230.55,37.833,250.983,79.717,116.983,89.717,170.917,110.65,59.1,74.65,55.55,119.567,88.233,57.917,114.167,254.6,55.05,217.167,258.883,198.95,59.65,238.167,77.65,73.767,158,223.783,100.85,221.417,88.867,55.733,91.767,17.267,38.5,121.833,102.35,89.717,83.983,83.067,233.417,83.017,0,118.65,246.517,104.717,278.767,40.317,260.1,69.95,199.083
"Vermilion",99.617,157.817,111.983,106.033,113.567,131.8,210.85,226.15,231.45,124.033,177.583,129.067,59.783,215.383,182.483,187.733,84.683,279.3,127.183,61.5,52.283,115.433,31.317,148.95,122.117,145.4,57.983,37.05,103.583,21.1,211.8,111.417,250.017,237.617,156.133,149.5,209.917,168.55,112.65,115.183,180.967,48.783,178.617,178.733,131.967,147.75,129.867,134.3,79.033,43.583,52.283,145.517,144.867,251.083,107.483,117.833,0,203.717,61.9,235.967,84.283,270.3,117.417,156.283
"Vernon",267.967,105.15,239.883,270.45,131.167,182.95,39.883,91.1,102.7,133.183,54.85,252.367,196.617,35.017,132.333,115.317,212.6,114.017,217.017,195.267,220.633,165.017,198.567,282.8,204.067,279.25,196.25,171.7,271.933,198.967,22.033,239.333,86.85,69.583,92.533,283.367,37.933,301.367,197.1,105.7,82.167,217.117,127.483,312.583,279.367,225.083,257.783,262.2,129.967,193.283,220.633,261.667,216.917,95.133,275.817,245.75,202.6,0,145.117,60.4,211.617,105.033,199.617,52.967
"Washington",126.067,100.967,97.983,128.55,56.717,109.45,154.017,169.317,174.617,67.2,120.75,135.75,54.717,158.55,125.45,130.9,70.7,222.45,105.333,59.017,78.733,84.083,56.667,140.9,90.117,137.35,61.6,29.8,130.033,57.067,154.95,97.433,193.167,180.783,99.283,141.467,153.083,159.467,66.733,58.35,124.133,75.217,121.767,170.683,137.467,129.317,115.883,120.3,22.183,51.383,78.733,131.533,130.883,194.25,133.917,103.85,60.7,146.867,0,179.117,69.717,213.467,83.817,99.433
"Webster",302,82.7,273.917,304.483,169.067,177.683,38.85,41.467,53.067,155.567,98.45,287.983,230.633,60.9,162.933,66.617,246.617,139.9,247.633,229.3,254.65,188.15,232.583,310.567,234.683,307.017,231.933,205.733,305.95,233,38.35,273.35,112.717,95.467,95.35,311.117,63.817,329.117,235,124.333,55.633,251.15,114.983,340.333,308.5,250.967,291.8,291.433,164,227.3,254.65,287.55,242.8,121.017,309.85,279.767,236.617,59.9,179.133,0,245.633,130.917,230.217,89.283
"West Baton Rouge",87.867,166.633,34.683,63.2,105.6,153.4,219.683,234.983,240.283,132.867,186.417,159.833,54.35,213.8,105.2,196.567,7.383,221.167,50,83.1,103.283,137.033,81.217,77.6,44.833,74.05,85.683,54.35,87.667,81.617,220.617,34.117,187.333,229.05,164.95,78.15,208.333,96.15,43.95,124.017,189.8,99.767,187.433,107.383,74.167,70.45,52.567,57,87.85,68.483,103.283,68.217,67.583,203.583,107,40.533,84.783,212.533,70.733,244.783,0,230.283,40.117,165.1
"West Carroll",296.333,196.55,251.967,280.05,178.733,250.417,128.033,160.5,172.1,200.65,98.283,321.1,265.35,73.55,124.3,185.65,223.967,19.167,203.933,264.017,289.367,233.75,267.3,258.05,196.05,254.5,264.983,240.433,288.617,267.7,96.517,225.217,53.8,41.933,183.917,258.6,68.1,276.6,206.467,173.167,169.967,285.85,218.867,287.833,255.983,198.45,269.867,238.917,198.7,262.017,289.367,235.033,190.283,68.5,287.45,257.817,271.333,106.067,213.85,129.8,227.667,0,191.6,142.3
"West Feliciana",116.05,171.55,62.85,90.933,81.617,180.317,220.3,239.9,245.183,142.067,154.3,191.95,86.45,177.817,69.217,201.483,34.85,185.183,34.133,115.217,135.383,158.417,113.317,105.767,17.05,102.217,117.783,86.467,115.85,113.717,200.783,62.283,151.35,193.067,169.867,106.317,172.35,124.317,17.35,128.917,194.717,131.883,192.35,135.55,102.333,59.05,80.75,85.167,97.067,100.583,135.383,96.383,75.3,167.6,135.167,68.717,116.883,204.067,79.933,234.067,38.55,194.3,0,165.733
"Winn",220.417,56.817,192.333,222.9,83.617,136.95,57.15,120.517,132.117,85.633,57.667,204.817,149.067,72.717,110.417,86.733,165.05,151.717,187.75,147.717,173.083,117.467,151.017,235.25,172.933,231.7,148.7,124.15,224.383,151.417,58.083,191.783,124.533,107.283,44.183,235.817,75.633,253.8,149.55,58.133,61.417,169.567,79.15,265.033,231.817,212.667,210.233,214.65,82.417,145.717,173.083,225.883,217.45,134.817,228.267,198.2,155.033,53.85,97.567,89.817,164.067,142.733,166.633,0
