"","Acadia","Allen","Ascension","Assumption","Avoyelles","Beauregard","Bienville","Bossier","Caddo","Calcasieu","Caldwell","Cameron","Catahoula","Claiborne","Concordia","De Soto","East Baton Rouge","East Carroll","East Feliciana","Evangeline","Franklin","Grant","Iberia","Iberville","Jackson","Jefferson","Jefferson Davis","Lafayette","Lafourche","LaSalle","Lincoln","Livingston","Madison","Morehouse","Natchitoches","Orleans","Ouachita","Plaquemines","Pointe Coupee","Rapides","Red River","Richland","Sabine","St. Bernard","St. Charles","St. Helena","St. James","St. John the Baptist","St. Landry","St. Martin","St. Mary","St. Tammany","Tangipahoa","Tensas","Terrebonne","Union","Vermilion","Vernon","Washington","Webster","West Baton Rouge","West Carroll","West Feliciana","Winn"
"St. Helena",176.84,327.443,82.427,150.653,174.505,349.38,436.658,445.062,470.274,273.217,256.213,341.38,161.306,348.837,144.009,378.708,82.122,301.615,35.247,222.961,262.729,306.756,201.304,141.758,55.538,133.452,229.739,169.936,183.501,207.092,391.379,46.531,255.28,351.444,310.565,140.431,339.949,156.174,89.193,239.157,360.52,238.636,346.821,164.692,135.26,0,136.584,104.126,207.398,175.595,262.729,91.897,21.086,296.897,183.507,123.134,204.142,398.339,171.16,455.247,85.2,330.038,75.122,293.341
"St. James",54.08,395.014,36.542,39.939,213.781,338.697,440.218,512.633,537.845,298.094,331.045,330.697,150.623,378.028,218.841,446.279,71.439,379.817,124.654,212.278,118.211,296.073,161.871,97.859,124.975,89.553,219.056,159.253,54.54,169.382,442.703,74.883,333.482,381.32,378.136,96.532,369.14,112.275,128.469,306.728,428.091,142.726,414.392,120.793,55.507,134.4,0,55.006,232.275,164.912,118.211,154.981,162.821,332.106,74.535,18.122,193.459,432.237,196.037,496.628,74.517,384.811,120.622,368.325
"St. John the Baptist",67.736,413.338,51.052,84.609,232.105,357.021,458.542,530.957,556.169,316.418,349.369,349.021,168.947,426.228,237.165,464.603,89.763,379.006,140.299,230.602,160.802,314.397,204.462,47.596,143.299,39.29,237.38,177.577,81.574,211.973,468.77,80.396,332.671,428.835,396.46,46.269,417.34,62.012,146.793,325.052,446.415,185.317,432.716,70.53,33.333,105.051,55.05,0,250.599,183.236,160.802,90.769,98.609,374.288,81.58,57.09,211.783,450.561,214.361,514.952,92.841,407.429,138.946,386.649
"St. Landry",239.068,168.67,204.393,210.169,43.12,115.037,213.874,286.289,311.501,71.75,167.12,205.012,120.248,227.08,177.762,219.935,163.187,314.624,181.95,94.458,156.966,79.74,114.402,292.751,154.023,284.445,107.362,83.034,243.856,120.19,216.359,209.834,264.438,254.658,151.792,291.424,218.192,307.167,124.593,80.384,201.747,151.734,188.048,315.685,271.134,208.733,232.664,249.69,0,107.536,156.966,269.901,277.91,239.047,245.987,219.214,117.654,205.893,37.208,270.284,138.11,302.823,146.621,141.981
"St. Martin",143.294,270.47,136.219,147.015,144.907,214.443,315.674,388.089,413.301,173.55,268.92,206.443,17.661,328.88,243.478,321.735,95.013,416.424,149.291,88.024,61.192,171.819,15.472,224.577,149.612,216.271,94.802,26.369,148.082,31.606,318.159,141.66,366.238,356.458,253.592,223.25,319.992,238.993,119.446,182.184,303.547,55.96,289.848,247.511,200.422,175.329,164.49,181.516,107.731,0,61.192,201.727,209.736,340.847,150.213,151.04,43.989,307.693,71.493,372.084,93.686,404.623,145.259,243.781
"St. Mary",84.046,319.733,129.209,87.767,194.17,263.706,364.937,437.352,462.564,222.813,318.183,255.706,74.972,378.143,310.873,370.998,162.408,465.687,216.686,137.287,0,221.082,45.378,173.147,217.007,164.841,144.065,75.632,88.834,52.889,367.422,209.055,415.501,405.721,302.855,171.82,369.255,172.984,186.841,231.447,352.81,26.233,339.111,196.081,141.174,264.725,118.434,162.291,156.994,60.919,0,220.79,258.283,390.11,90.965,110.789,70.637,356.956,120.756,421.347,161.081,453.886,212.654,293.044
"St. Tammany",146.635,432.109,103.272,169.957,250.876,375.792,477.313,549.728,574.94,335.189,353.245,367.792,187.718,413.396,241.041,483.374,108.534,366.174,127.467,249.373,219.57,333.168,227.716,71.404,147.758,63.395,256.151,196.348,140.342,233.504,455.938,67.277,319.839,416.003,415.231,70.077,404.508,85.82,165.564,343.823,465.186,244.085,451.487,108.279,92.101,92.219,155.888,91.565,269.37,202.007,219.57,0,85.777,361.456,140.348,142.438,230.554,462.898,233.132,519.806,111.612,394.597,157.717,405.42
"Tangipahoa",171.453,348.22,110.599,177.131,195.282,383.119,419.522,494.53,522.37,342.516,271.55,375.119,195.045,331.701,159.346,399.485,115.861,284.479,56.024,256.7,257.342,340.495,235.043,136.371,76.315,128.065,263.478,203.675,178.114,240.831,374.243,74.604,238.144,334.308,331.342,135.044,322.813,150.787,109.97,259.934,381.297,272.375,367.598,159.305,129.873,20.776,163.062,98.739,276.697,209.334,257.342,86.51,0,279.761,178.12,149.612,237.881,381.203,240.459,438.111,118.939,312.902,95.899,297.949
"Tensas",376.324,231.456,303.696,346.036,182.796,291.029,185.498,260.506,288.346,220.161,89.624,399.774,353.902,97.677,113.343,303.471,262.408,82.008,230.383,313.951,390.62,269.176,348.056,410.917,210.217,402.611,315.376,316.688,376.784,353.844,140.219,349.15,46.656,100.284,211.842,409.59,88.789,425.333,235.448,191.042,250.965,385.388,257.041,433.851,404.419,295.322,331.967,373.285,239.132,341.19,390.62,361.056,278.145,0,452.666,318.517,351.308,147.179,270.862,204.087,266.457,78.878,212.219,158.581
"Terrebonne",25.768,409.114,135.478,54.2,283.551,353.087,454.318,526.733,551.945,312.194,407.564,345.087,164.353,467.524,321.591,460.379,174.189,459.239,220.532,226.668,91.099,310.463,134.759,93.706,227.725,85.4,233.446,165.013,35.8,142.27,456.803,160.629,412.904,509.068,392.236,92.379,458.636,93.543,231.219,320.828,442.191,115.614,428.492,116.64,61.733,185.284,74.609,82.85,246.375,150.3,91.099,141.349,178.842,454.521,0,86.471,160.018,446.337,210.137,510.728,177.267,487.662,223.372,382.425
"Union",65.298,381.428,22.956,32.323,200.195,325.111,426.632,499.047,524.259,284.508,317.459,317.111,137.037,364.442,205.255,432.693,57.853,366.231,111.068,198.692,110.595,282.487,154.255,98.217,111.389,89.911,205.47,145.667,67.397,161.766,429.117,61.297,319.896,367.734,364.55,96.89,355.554,112.633,114.883,293.142,414.505,135.11,400.806,121.151,74.87,120.814,18.254,55.156,218.689,151.326,110.595,141.395,149.235,318.52,86.528,0,179.873,418.651,182.451,483.042,60.931,371.225,107.036,354.739
"Vermilion",152.907,280.967,164.424,156.628,155.404,198.224,326.171,398.586,423.798,184.047,279.417,165.546,61.668,339.377,271.683,332.232,123.218,426.921,177.496,71.805,70.805,155.6,33.283,242.008,177.817,233.702,70.22,33.298,157.695,21.554,328.656,169.865,376.735,366.955,264.089,240.681,330.489,241.845,147.651,192.681,314.044,65.573,300.345,264.942,210.035,203.534,192.695,209.721,118.228,44.006,70.805,229.932,237.941,351.344,159.826,179.245,0,318.19,81.99,382.581,121.891,415.12,173.464,254.278
"Vernon",439.475,130.667,404.8,410.576,183.013,253.501,47.47,146.834,174.674,182.633,68.476,366.527,320.655,51.356,179.741,142.227,363.594,176.782,296.781,280.704,357.373,235.929,314.809,493.158,276.615,484.852,282.129,283.441,444.263,320.597,24.782,410.241,148.203,100.68,111.053,491.831,58.423,507.574,270.262,153.569,101.387,352.141,156.252,516.092,471.541,396.869,433.071,450.097,205.885,307.943,357.373,462.603,379.692,146.016,446.394,419.621,318.061,0,237.615,90.415,338.517,164.981,278.617,67.584
"Washington",202.685,200.263,168.01,173.786,74.7,152.561,245.467,317.882,343.094,103.343,198.713,218.509,83.865,258.673,166.504,251.528,126.804,346.217,145.567,100.09,120.583,117.264,78.019,256.368,117.64,248.062,106.868,46.651,207.473,83.807,247.952,173.451,296.031,286.251,183.385,255.041,249.785,270.784,88.21,111.977,233.34,115.351,219.641,279.302,234.751,172.35,196.281,213.307,37.524,71.153,120.583,233.518,241.527,270.64,209.604,182.831,81.271,237.486,0,301.877,101.727,334.416,110.238,173.574
"Webster",504.138,104.522,469.463,475.239,254.98,230.479,51.535,62.385,90.225,224.1,166.024,384.777,385.318,107.671,264.581,105.35,428.257,233.097,381.621,345.367,422.036,269.7,379.472,568.779,361.455,560.473,342.908,348.104,508.926,385.26,64.813,474.904,204.518,156.995,116.357,567.452,114.738,583.195,342.229,190.879,68.555,416.804,144.389,591.713,562.281,453.184,497.734,531.147,270.548,372.606,422.036,518.918,436.007,202.331,511.057,484.284,382.724,89.293,302.278,0,403.18,221.296,363.457,122.165
"West Baton Rouge",118.952,301.02,46.324,73.034,134.881,267.089,346.224,418.639,443.851,204.1,299.47,259.089,79.015,312.77,153.583,352.285,5.118,314.559,57.086,140.67,161.577,224.465,119.013,134.682,59.717,126.376,147.448,87.645,119.412,124.801,348.709,51.765,268.224,316.062,284.142,133.355,303.882,149.098,63.211,212.734,334.097,156.345,320.398,157.616,113.065,85.434,74.595,91.621,138.281,93.304,161.577,111.832,119.841,266.848,176.431,61.145,121.851,338.243,102.043,402.634,0,319.553,55.364,274.331
"West Carroll",479.665,277.083,356.399,398.739,235.499,350.508,202.831,277.839,305.679,279.64,136.821,463.527,417.655,115.01,166.046,320.804,315.111,23.498,294.125,377.704,454.373,332.929,411.809,444.583,262.92,436.277,379.129,380.441,486.326,417.597,157.552,382.816,70.074,53.045,257.469,443.256,106.122,458.999,288.151,250.576,268.298,449.141,302.668,467.517,438.085,328.988,384.67,406.951,302.885,404.943,454.373,394.722,311.811,78.135,486.332,371.22,415.061,164.512,334.615,221.42,319.16,0,264.922,204.208
"West Feliciana",164.774,262.148,92.146,134.486,109.21,239.862,299.939,379.767,404.979,210.632,211.298,311.087,131.013,258.281,99.094,313.413,50.858,260.07,39.87,192.668,213.575,209.903,171.011,180.504,19.579,172.198,199.446,139.643,165.234,176.799,300.823,97.587,213.735,261.573,245.27,179.177,249.393,194.92,23.898,173.862,295.225,208.343,281.526,203.438,158.887,75.118,120.417,137.443,144.813,145.302,213.575,157.654,96.205,212.359,222.253,106.967,173.849,278.681,108.575,364.691,54.907,265.064,0,228.046
"Winn",375.569,73.267,340.894,346.67,119.107,170.89,72.285,180.018,207.858,118.727,70.059,302.621,256.749,91.119,138.625,124.532,299.688,216.545,258.353,216.798,293.467,172.023,250.903,429.252,235.786,420.946,218.223,219.535,380.357,256.691,74.77,346.335,187.966,140.443,53.653,427.925,98.186,443.668,206.356,89.663,80.088,288.235,98.852,452.186,407.635,293.601,369.165,386.191,141.979,244.037,293.467,406.402,296.44,158.589,382.488,355.715,254.155,67.59,173.709,123.599,274.611,204.744,228.384,0
