"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Lawrence",285.311,383.361,308.26,494.281,114.715,412.923,304.48,359.053,282.051,166.124,238.975,142.594,176.299,373.955,428.059,287.916,310.035,437.624,291.844,414.843,216.465,372.024,232.292,464.617,249.074,238.403,42.703,449.74,489.893,279.314,245.354,355.427,292.117,254.462,348.013,151.567,150.186,289.703,359.156,53.996,487.345,291.646,373.948,0,169.22,119.072,376.205,285.655,461.874,433.281,265.213,353.831,196.799,356.552,263.911,238.292,207.774,253.007,230.136,206.93,418.494,375.452,410.955,461.63,122.906,171.957,362.357,265.429,194.396,75.063,241.284,352.847,220.11,258.24,294.351,353.76,244.697,480.646,355.115,250.953,380.875,64.916,451.308,232.751,347.38,444.189,370.418,267.045
"Licking",208.029,259.909,181.039,345.845,95.433,270.767,127.159,182.066,81.065,40.739,125.013,217.399,229.703,198.103,251.072,72.943,95.062,271.807,214.52,272.687,93.013,248.572,220.879,341.165,196.801,111.182,139.938,301.304,322.864,102.327,214.621,231.975,214.835,243.049,224.561,158.583,47.26,166.251,231.935,164.808,338.909,77.612,196.961,169.325,0,53.322,248.984,158.434,313.438,264.268,126.799,226.61,74.08,232.907,245.32,191.011,200.16,241.594,181.258,47.479,276.338,233.296,282.313,313.194,74.539,38.317,238.905,209.162,40.547,107.246,229.871,236.308,106.335,125.551,116.327,176.773,145.253,332.21,182.093,173.629,257.23,148.376,275.577,180.478,223.928,327.159,246.966,143.593
"Logan",233.118,291.936,210.083,396.104,40.184,294.968,160.186,215.093,183.874,46.187,150.102,204.109,250.94,275.778,284.099,126.063,148.182,339.447,239.609,296.888,125.04,280.599,242.116,373.192,221.89,140.226,89.801,351.563,391.716,135.354,235.858,264.002,239.924,264.286,256.588,134.16,33.963,198.278,260.979,68.752,389.168,145.387,229.988,119.188,53.316,0,278.028,187.478,363.697,335.104,158.826,255.654,89.283,257.108,248.751,212.248,221.397,262.831,202.495,79.599,300.539,257.497,306.514,363.453,51.069,31.46,270.932,234.251,67.065,57.109,251.108,265.352,130.536,139.033,196.174,209.8,183.66,382.469,256.938,198.718,281.431,93.127,353.131,205.567,255.955,326.234,278.993,175.62
"Lorain",339.817,117.507,71.12,143.939,323.119,235.157,275.482,160.713,111.656,238.777,271.336,373.672,385.976,102.142,164.738,184.73,173.6,100.7,351.157,214.905,182.823,87.993,377.152,204.936,346.9,150.428,358.921,89.669,138.482,215.608,384.509,199.341,304.491,399.322,181.902,314.856,253.551,122.123,39.861,328.561,137.003,111.774,118.345,382.609,198.311,284.661,0,108.034,111.532,112.007,150.518,67.25,264.911,307.905,395.419,362.003,356.433,397.867,337.531,220.134,215.015,224.99,243.368,102.19,268.86,301.366,143.228,359.261,268.747,322.521,386.144,59.757,197.099,264.074,97.575,129.139,293.676,130.304,117.29,350.407,245.608,369.801,130.034,330.577,127.388,230.407,158.382,142.176
"Lucas",261.41,159.728,33.181,219.202,226.401,222.937,218.897,134.399,16.934,142.059,174.618,276.954,289.258,98.876,194.337,87.718,75.061,162.545,267.901,217.927,86.105,130.553,280.434,265.568,250.182,53.71,262.203,174.661,214.814,120.111,287.791,156.378,221.855,302.604,148.964,218.138,156.833,68.285,89.387,231.843,212.266,36.458,118.406,285.891,101.593,187.943,101.126,0,186.795,158.202,79.688,78.752,147.574,225.269,298.701,265.285,259.715,301.149,240.813,100.104,223.852,166.046,229.694,186.551,172.142,195.477,163.308,262.543,114.041,225.803,289.426,102.276,100.381,207.489,32.681,106.262,237.091,205.567,80.036,227.01,200.858,273.083,176.229,233.859,148.331,251.562,171.369,79.785
"Madison",437.211,228.654,164.852,35.469,393.825,342.362,284.521,169.752,204.051,317.86,350.419,452.755,465.059,125.267,139.688,233.325,200.645,65.872,443.702,322.11,261.906,199.14,456.235,312.141,425.983,229.511,438.004,31.226,72.998,224.647,463.592,306.546,391.057,478.405,289.107,393.939,332.634,237.487,151.008,407.644,28.533,185.559,127.384,461.692,311.906,363.744,111.074,187.117,0,61.372,246.672,113.503,273.95,394.471,474.502,441.086,435.516,476.95,416.614,268.729,322.22,332.195,350.573,8.247,347.943,310.405,250.433,438.344,277.786,401.604,465.227,170.904,276.182,273.113,201.883,138.178,302.715,21.834,140.415,402.811,370.06,423.685,104.273,409.66,234.593,337.612,265.587,248.987
"Mahoning",409.511,221.984,137.152,101.628,343.937,330.764,205.397,90.278,176.351,290.16,322.719,425.055,437.359,84.845,59.847,183.437,150.757,17.003,416.002,310.512,234.206,190.002,428.535,300.543,398.283,201.811,410.304,67.872,46.749,174.759,435.892,294.948,363.357,450.705,277.509,366.239,304.934,209.787,141.87,379.944,85.597,145.137,62.983,433.992,262.018,336.044,110.801,159.417,61.343,0,218.972,85.803,224.062,366.771,446.802,413.386,407.816,449.25,388.914,218.841,310.622,307.548,338.975,63.511,320.243,260.517,238.835,410.644,227.898,373.904,437.527,161.766,248.482,223.225,174.183,88.29,252.827,54.153,99.993,375.111,342.36,373.797,20.936,381.96,222.995,326.014,253.989,221.287
"Marion",167.015,133.838,83.996,280.023,194.105,172.463,251.963,194.426,75.893,109.763,84.368,254.196,266.5,159.697,255.158,128.92,158.304,223.366,178.355,167.453,34.427,122.501,222.762,215.094,174.402,38.303,239.246,235.482,275.635,161.977,212.011,105.904,131.689,244.932,98.49,195.38,124.537,40.137,113.295,208.886,273.087,116.132,179.227,262.934,129.005,155.647,146.07,79.497,247.616,219.023,0,139.573,198.884,134.254,222.921,189.505,236.957,243.477,218.055,150.919,173.378,115.572,179.22,247.372,149.185,163.205,112.834,186.763,165.351,202.846,231.754,104.634,44.43,250.355,62.928,166.289,270.057,266.388,140.063,151.23,150.384,250.126,237.05,158.079,97.857,201.088,120.895,17.479
"Medina",329.492,177.422,57.133,146.103,294.483,286.202,214.908,100.139,96.332,210.141,242.7,345.036,357.34,38.241,133.702,112.132,86.586,89.446,335.983,265.95,154.187,145.44,348.516,255.981,318.264,121.792,330.285,97.049,127.228,155.034,355.873,217.861,283.338,370.686,210.447,286.22,224.915,129.768,97.308,299.925,139.167,76.352,57.771,353.973,169.675,256.025,66.239,79.398,113.696,85.103,138.953,0,204.337,286.752,366.783,333.367,327.797,369.231,308.895,147.536,266.06,227.529,294.413,109.57,240.224,240.792,194.273,330.625,208.173,293.885,357.508,117.204,168.463,203.5,94.164,68.565,233.102,132.468,53.389,295.092,262.341,341.165,103.13,301.941,178.433,281.452,209.427,141.268
"Meigs",278.435,375.05,192.773,306.601,82.118,341.173,88.249,142.822,136.801,111.145,195.419,287.805,300.109,158.859,211.828,70.453,97.044,232.563,284.926,343.093,163.419,343.068,291.285,411.571,267.207,181.588,166.191,262.06,283.62,63.083,285.027,302.381,285.241,313.455,294.967,228.989,100.705,236.657,294.936,145.099,299.665,127.355,157.717,195.535,73.997,98.761,263.867,155.731,274.194,225.024,197.205,204.487,0,303.313,315.726,261.417,270.566,312,251.664,46.896,346.744,303.702,352.719,273.95,127.984,58.84,309.311,279.568,36.226,140.745,300.277,314.832,176.741,65.19,167.308,137.529,68.373,292.966,142.849,244.035,327.636,133.728,236.333,250.884,294.334,397.565,317.372,213.999
