"","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"Monona",436.653,304.096,30.055,385.924,445.05,501.99,277.682,327.291,112.223,561.536,298.943,136.813,366.649,408.138,402.537,311.268,176.894,442.624,107.587,424.636,125.306,36.639,223.252,395.508,356.8,370.695,459.061,82.275,348.407,372.073,104.447,347.34,58.652,133.623,310.362,311.729,133.37,191.409,415.367,345.564,507.831,231.232,469.788,471.644,439.462,293.527,419.904,197.128,164.304,373.974,368.518,522.284,446.796,339.855,298.949,346.756,155.189,150.047,391.41,505.299,395.176,310.447,138.802,528.711,582.444,151.243,0,324.095,379.676,224.2,395.215,424.636,545.174,315.462,179.747,329.738,284.095,551.533,297.232,491.185,380.515,194.691,505.166,495.259,289.877,216.463,232.173,228.556,335.868,273.791,226.915,247.508,131.572,255.26,229.572,49.241,489.688,325.43,395.181
"Monroe",135.646,63.179,344.575,103.606,186.32,201.869,116.273,116.322,198.312,273.074,28.183,173.461,208.863,197.169,116.963,64.669,232.096,331.802,231.53,124.515,255.88,325.184,286.116,95.387,47.378,127.738,158.94,252.843,47.68,365.397,291.502,349.523,253.864,265.204,199.246,72.247,180.714,117.456,130.158,51.072,206.824,126.024,250.789,360.822,116.107,220.671,267.12,110.473,308.236,201.16,157.549,409.681,146.675,228.739,209.49,43.106,195.704,178.576,78.258,488.768,94.169,49.97,185.575,228.59,281.437,278.481,325.153,0,381.987,214.575,374.665,124.515,244.167,12.315,247.983,260.973,109.743,250.526,36.665,191.064,218.42,166.627,204.159,293.353,79.067,89.761,79.964,94.379,158.019,226.853,83.875,134.768,226.351,101.249,236.894,289.193,351.962,102.535,100.598
"Montgomery",262.921,445.221,362.073,480.609,215.843,378.045,499.563,267.143,354.721,349.476,399.521,336.6,181.292,180.247,262.964,447.959,249.925,105.185,322.691,379.583,495.066,416.15,568.244,350.455,403.499,511.028,414.008,431.873,343.671,9.542,492.812,33.971,398.772,295.888,590.212,455.537,315.342,324.071,251.082,428.075,251.619,278.054,206.702,142.618,480.564,153.701,153.854,434.202,533.571,188.617,225.736,151.441,369.871,619.705,578.799,342.02,457.399,427.18,421.708,130.54,320.345,433.26,434.035,352.794,363.434,248.971,379.412,382.81,0,541.704,77.326,379.583,333.114,393.632,246.213,115.113,493.033,324.471,345.28,383.387,158.984,493.756,243.673,256.751,305.747,379.454,336.177,304.642,541.309,553.641,442.143,527.358,474.951,481.541,143.589,331.95,184.924,280.181,465.055
"Muscatine",337.221,147.193,255.554,234.257,387.895,402.558,104.318,306.753,232.497,462.104,189.91,247.704,399.294,387.6,307.394,146.22,329.626,491.313,272.614,325.204,108.951,198.679,113.492,296.076,220.254,189.148,359.629,141.975,248.913,524.908,164.317,509.034,221.366,286.355,128.815,138.643,271.939,240.098,320.589,185.02,408.399,279.921,452.364,520.333,285.983,380.182,468.593,122.622,135.612,391.591,347.98,570.973,347.364,138.382,57.848,247.262,102.083,114.984,257.023,690.343,295.744,149.903,121.983,429.279,483.012,319.233,224.427,215.062,541.498,0,534.176,325.204,445.742,206.429,332.479,420.484,110.731,452.101,221.32,391.753,408.851,49.915,405.734,494.928,254.313,185.441,221.446,249.628,154.321,35.168,140.292,65.508,90.406,100.85,382.304,278.572,553.537,292.966,243.514
"O'Brien",252.72,436.486,434.551,471.874,202.64,362.093,490.828,258.408,322.258,327.09,390.786,286.384,172.557,171.512,254.229,439.224,219.952,44.177,290.228,370.848,486.331,419.35,559.509,341.72,394.764,502.293,405.273,423.138,334.936,84.196,484.077,108.625,366.309,263.425,581.477,446.802,282.879,315.336,242.347,419.34,207.665,269.319,162.748,73.814,471.829,154.234,94.848,425.467,524.836,179.882,217.001,84.47,351.463,610.97,570.064,333.285,448.664,418.445,412.973,97.212,307.915,424.525,425.3,336.842,296.463,265.291,396.26,374.075,77.346,532.969,0,370.848,310.728,384.897,246.204,112.829,484.298,257.5,336.545,372.898,150.249,485.021,199.719,189.78,297.012,370.719,327.442,295.907,532.574,544.906,433.408,518.623,466.216,472.806,201.247,404.428,117.953,271.446,456.32
"Osceola",140.042,129.893,435.117,105.894,190.716,80.38,167.391,123.707,313.727,151.585,151.492,278.278,211.125,199.431,122.931,123.396,270.946,330.799,330.857,0,366.119,423.25,396.355,46.952,60.569,146.141,37.451,363.021,77.058,364.394,401.741,348.52,367.165,304.054,224.502,130.974,277.208,208.545,146.782,91.278,211.22,209.202,255.185,359.819,90.353,219.663,297.047,220.712,418.475,203.422,155.03,414.077,24.762,253.995,234.746,81.41,305.943,288.815,26.171,493.164,79.45,116.684,295.814,106.677,176.38,317.331,424.561,123.913,380.984,324.814,373.662,0,137.852,128.623,286.833,259.97,160.861,205.29,113.774,69.575,218.854,276.866,208.555,297.749,137.403,189.562,174.651,183.123,183.275,251.43,194.114,201.701,336.59,167.963,275.744,402.192,356.358,108.503,74.844
"Page",109.987,269.234,556.282,193.533,117.287,66.103,303.864,232.948,434.892,21.504,272.657,399.443,200.463,162.054,157.354,259.869,392.111,266.653,452.022,137.437,487.284,544.415,517.52,159.225,199.91,234.788,111.779,484.186,197.928,329.917,522.906,344.578,488.33,425.219,322.559,267.447,398.373,329.71,141.6,230.619,103.298,330.367,175.425,329.48,177.992,278.796,217.287,341.877,539.64,189.097,190.7,324.987,112.951,345.245,371.219,202.28,427.108,409.98,162.644,404.074,165.182,256.025,416.979,40.241,95.759,438.496,545.726,243.836,333.23,445.979,310.828,137.437,0,248.546,407.998,256.028,297.334,122.504,234.939,76.908,181.795,398.031,128.795,208.659,258.568,310.727,295.816,304.288,284.004,387.903,315.279,338.174,457.755,354.677,396.909,523.357,267.268,229.668,182.624
"Palo Alto",140.486,53.089,335.768,115.181,191.16,206.709,127.848,121.162,190.036,277.914,15.881,169.207,213.703,202.009,121.803,76.244,236.936,336.642,227.276,129.355,247.073,316.377,277.309,100.227,58.953,139.313,163.78,244.036,52.52,370.237,282.695,354.363,245.057,270.044,210.821,83.822,176.46,113.202,134.998,62.647,211.664,131.106,255.629,365.662,127.682,225.511,271.96,101.666,299.429,206,162.389,414.521,151.515,240.314,221.065,47.946,186.897,169.769,89.833,493.608,99.009,61.545,176.768,233.43,286.277,283.321,316.346,12.315,386.827,205.768,379.505,129.355,249.007,0,252.823,265.813,121.318,255.366,41.747,195.904,223.26,157.82,208.999,298.193,84.149,80.954,75.71,91.893,169.594,218.046,75.068,146.343,217.544,89.469,241.734,277.973,356.802,107.375,112.173
"Plymouth",299.287,312.591,156.815,347.979,308,364.624,349.937,189.925,106.517,424.17,266.891,88.396,229.599,270.772,265.171,315.329,17.756,252.712,74.487,287.27,287.471,203.609,360.649,258.142,270.869,378.398,321.695,224.278,211.041,179.264,285.217,163.837,150.568,47.684,382.617,322.907,67.138,129.388,278.001,295.445,370.465,91.497,332.738,334.594,347.934,143.586,282.854,235.598,325.976,236.924,231.152,388.936,309.43,412.11,371.204,209.39,249.804,219.585,289.078,372.329,257.81,300.63,226.44,391.345,445.078,29.084,180.519,250.18,246.706,334.109,236.373,287.27,407.808,261.002,0,179.797,356.35,414.167,212.65,353.819,243.465,286.161,367.8,358.209,173.117,204.054,158.233,136.088,408.123,346.046,235.932,319.763,267.356,285.013,47.879,126.692,352.638,188.064,332.425
"Pocahontas",155.908,324.309,324.89,359.697,138.761,253.85,378.651,146.231,196.039,272.394,278.609,170.723,60.36,95.634,144.96,327.047,163.521,73.539,223.432,258.671,374.154,371.19,447.332,229.543,282.587,390.116,293.096,310.961,222.759,106.041,371.9,90.167,252.85,196.629,469.3,334.625,169.783,203.159,133.443,307.163,208.437,157.142,163.52,110.794,359.652,38.573,113.636,313.29,412.659,67.685,104.804,148.164,248.959,498.793,457.887,221.108,336.487,306.268,300.796,209.708,199.433,312.348,313.123,257.916,275.599,209.906,329.464,261.898,115.584,420.792,116.223,258.671,256.032,272.72,179.408,0,372.121,244.688,224.368,265.748,74.226,372.844,200.491,188.991,184.835,258.542,215.265,183.73,420.397,432.729,321.231,406.446,354.039,360.629,143.004,294.767,183.42,159.269,344.143
