"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"St. Croix",335.553,230.791,63.429,256.623,436.557,210.138,448.348,482.63,210.698,208.851,228.5,385.721,415.47,231.182,503.237,364.858,438.407,149.55,390.575,476.179,492.1,115.177,477.811,407.552,446.478,265.492,535.515,482.43,459.921,594.863,482.536,316.718,147.601,332.597,311.732,498.592,275.331,480.64,401.989,381.368,539.16,477.811,445.491,426.483,442.496,578.581,145.937,479.802,531.712,380.022,362.763,580.158,149.024,499.603,101.036,364.565,139.323,373.463,535.874,0,221.753,244.182,526.391,331.407,523.212,237.161,163.285,515.95,378.569,395.971,440.949,274.013
"Taylor",140.742,336.076,158.873,361.908,312.682,62.74,253.537,304.724,240.573,135.303,45.637,171.086,220.659,51.229,387.85,170.047,243.596,77.797,374.376,280.019,295.346,124.573,283,212.741,251.667,318.995,309.156,287.619,265.11,400.052,355.537,79.013,95.66,274.856,295.533,336.02,165.939,366.537,207.178,267.265,344.349,283,331.388,281.207,265.161,383.77,113.488,364.415,305.353,185.211,251.513,385.347,158.24,304.792,147.315,169.754,244.608,259.36,342.909,222.03,0,52.868,331.58,229.595,328.401,342.446,60.122,321.139,201.234,179.799,263.614,91.366
"Trempealeau",161.36,358.693,181.49,384.525,356.426,21.229,266.58,317.767,284.808,179.527,95.844,129.402,233.702,22.535,431.594,183.09,256.639,100.608,446.864,293.062,308.389,145.034,296.043,225.784,206.608,363.23,322.199,300.662,278.153,413.095,399.281,37.329,118.277,348.453,368.021,393.751,246.007,440.214,220.221,317.472,357.392,296.043,405.065,324.951,308.905,396.813,85.792,408.159,318.396,198.254,333.439,398.39,226.97,317.835,169.932,182.797,267.225,309.567,355.952,244.647,52.951,0,344.623,302.083,341.444,365.063,92.927,334.182,244.96,200.417,271.692,141.573
"Vernon",220.746,575.772,463.051,612.243,224.359,366.836,110.543,148.514,516.206,410.15,330.61,277.916,130.248,367.721,285.073,174.544,116.668,381.975,403.961,126.916,118.862,428.751,138.97,169.699,187.108,514.033,69.763,49.435,98.559,82.199,220.563,325.836,399.838,337.669,361.986,166.932,324.521,311.338,183.045,268.555,40.548,138.97,276.189,233.624,191.6,79.969,432.185,230.809,71.747,157.143,328.017,67.494,476.216,90.96,451.493,174.566,548.786,258.137,129.518,526.208,331.934,344.085,0,369.74,53.696,592.781,364.3,16.371,222.347,217.517,170.457,296.813
"Vilas",192.163,242.457,268.177,278.928,171.96,310.525,275.169,254.878,188.757,143.87,184.151,398.026,263.254,291.784,238.64,212.009,286.191,210.152,155.952,248.427,264.348,241.779,356.517,224.501,325.111,180.718,307.763,330.214,287.052,408.088,217.939,281.856,183.067,46.369,77.109,233.995,68.084,152.657,230.123,88.015,351.864,356.517,163.128,161.886,214.744,309.541,295.242,215.205,303.96,219.972,30.471,393.383,152.17,347.387,203.287,243.264,245.872,99.049,271.277,331.334,231.055,304.784,370.108,0,370.996,259.466,223.887,363.734,150.817,168.219,213.197,151.62
"Walworth",216.183,575.07,458.488,611.541,276.02,362.273,135.146,200.175,515.504,409.448,326.047,260.861,125.685,363.158,336.734,169.981,92.995,377.412,455.622,178.577,170.523,424.188,96.635,205.102,170.053,513.331,121.424,64.863,123.162,70.434,272.224,321.273,395.275,389.33,434.976,218.593,323.819,362.999,179.341,320.216,92.209,96.635,327.85,285.285,243.261,131.63,427.622,282.47,123.408,152.58,389.369,88.731,475.514,51.917,446.93,170.003,544.223,309.798,181.179,521.645,327.371,339.522,53.533,369.038,0,592.079,359.737,70.204,274.008,231.267,222.118,292.25
"Washburn",414.923,17.098,198.589,19.461,431.565,370.783,497.929,477.638,96.024,241.604,349.36,495.62,486.014,352.042,498.245,434.769,508.951,270.41,259.921,471.187,487.108,252.695,579.277,447.261,567.338,78.721,530.523,552.974,509.812,630.848,477.544,403.547,268.461,270.836,249.971,493.6,273.057,397.312,452.883,335.965,574.624,579.277,407.391,421.491,437.504,569.146,355.5,474.81,526.72,442.732,278.421,616.143,187.071,570.147,209.291,485.425,98.58,368.471,530.882,237.028,342.613,365.042,592.868,259.4,593.756,0,284.145,586.494,373.577,390.979,435.957,285.425
"Washington",173.342,276.134,98.931,301.966,324.674,98.668,286.137,316.159,202.249,96.968,66.289,227.884,253.259,79.927,391.354,202.647,276.196,17.855,364.305,309.708,325.629,64.991,315.6,245.341,284.267,280.671,341.756,320.219,297.71,432.652,370.653,135.811,35.718,265.894,285.462,386.709,163.448,368.757,239.778,269.485,376.949,315.6,333.608,314.6,276.025,416.37,96.219,367.919,337.953,217.811,250.88,417.947,144.411,337.392,87.373,202.354,184.666,261.58,368.539,162.088,59.542,92.927,364.18,219.524,361.001,282.504,0,353.739,212.098,212.399,274.478,111.802
"Waukesha",208.531,567.418,450.836,603.889,214.341,354.621,98.328,118.551,507.852,401.796,318.395,265.701,118.033,355.506,275.055,162.329,104.453,369.76,393.943,96.953,108.777,416.536,154.884,139.736,174.893,505.679,59.678,39.986,86.344,86.233,210.545,313.621,387.623,307.706,332.023,156.914,316.167,301.32,150.246,238.592,30.53,154.884,266.171,223.606,161.637,69.951,419.97,220.791,43.052,144.928,298.054,71.528,467.862,106.874,439.278,162.351,536.571,228.174,119.5,513.993,319.719,331.87,17.146,361.386,69.61,584.427,352.085,0,192.384,223.615,140.494,284.598
"Waupaca",98.945,355.806,314.491,392.277,114.189,266.767,127.093,106.802,296.24,190.184,158.337,304.808,170.036,249.662,189.357,118.791,192.973,229.648,290.6,100.351,116.272,288.093,263.299,74.947,231.893,294.067,159.687,191.543,138.976,260.012,157.044,225.767,229.381,148.8,180.92,137.527,104.555,197.977,103.142,88.588,203.788,263.299,162.828,78.079,66.668,178.855,290.901,165.922,155.884,126.754,125.457,245.307,256.25,254.169,302.933,150.046,400.226,77.556,159.182,377.648,201.177,244.016,222.032,149.774,273.948,372.815,211.973,191.806,0,42.779,65.121,121.742
"Waushara",54.571,373.8,310.486,410.271,139.18,222.393,100.054,115.955,314.234,208.178,176.331,260.452,125.68,223.278,214.348,74.435,148.617,229.41,312.549,95.298,111.219,276.186,218.943,45.745,187.537,312.061,154.634,192.64,107.245,254.959,182.035,181.393,247.375,211.442,233.706,162.518,122.549,222.968,54.527,133.247,198.735,218.943,187.819,122.738,92.418,173.802,287.742,190.913,150.831,82.398,188.099,240.254,274.244,209.813,298.928,105.69,396.221,122.215,154.129,373.643,179.369,199.642,216.979,167.768,233.422,390.809,211.735,186.753,42.747,0,71.275,95.608
"Winnebago",123.221,418.254,376.939,454.725,76.143,291.043,72.78,66.695,358.688,252.632,220.785,315.264,159.192,291.928,151.311,128.243,154.016,292.096,252.554,46.038,61.959,350.541,224.342,59.239,224.456,356.515,105.374,137.23,84.663,205.699,118.998,250.043,291.829,175.45,199.767,99.481,167.003,159.931,84.671,106.336,149.475,224.342,124.782,68.278,29.381,124.542,353.349,127.876,101.571,122.112,170.499,190.994,318.698,215.212,365.381,148.827,462.674,95.918,104.869,440.096,263.625,268.292,167.719,212.222,219.635,435.263,274.421,137.493,64.829,68.65,0,184.19
"Wood",79.886,267.173,210.489,303.644,233.175,151.381,246.079,225.788,206.543,98.897,57.021,225.558,186.06,139.87,308.343,138.881,208.997,129.413,296.456,219.337,235.258,176.189,248.401,151.373,189.279,295.968,278.673,253.02,219.145,378.998,276.03,147.755,147.276,195.349,217.613,256.513,86.432,287.03,156.995,187.758,322.774,248.401,251.881,201.7,185.654,297.841,190.666,284.908,274.87,146.844,172.006,364.293,164.963,270.193,198.931,135.155,296.224,179.853,278.168,273.646,91.385,166.004,296.981,151.675,293.802,284.182,111.738,286.54,121.727,95.053,184.107,0
