"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Monroe",597.713,397.075,172.527,685.83,401.467,566.077,147.308,388.335,483.669,370.165,302.635,350.07,155.643,374.118,298.049,583.814,589.143,230.205,417.37,636.608,245.206,562.079,280.025,499.207,245.206,432.798,408.419,380.95,664.515,34.926,490.079,511.977,537.41,556.892,347.793,564.577,547.217,495.431,76.571,108.344,79.32,317.387,782.718,299.914,328.494,487.618,538.727,548.03,190.309,548.413,161.41,604.585,272.427,79.613,317.004,324.568,261.94,72.602,236.712,224.494,83.09,497.538,661.482,462.563,160.561,616.95,0,613.106,322.845,300.28,629.367,480.929,426.57,364.459,498.43,214.65,118.688,557.005,438.629,271.655,632.809,260.044,347.502,453.59,639.913,293.478,245.265,531.832,703.181,460.552,668.156,272.459,241.358,751.464,497.062,628.039,71.607,671.67,522.252,274.454,671.64,491.86
"Montgomery",50.958,328.013,441.849,143.547,173.313,113.706,434.637,322.248,303.003,249.913,323.838,415.11,414.363,223.55,328.857,71.321,64.767,367.258,234.18,49.385,367.559,32.217,337.932,195.604,367.559,138.502,207.281,339.909,172.972,585.257,155.495,46.66,402.148,372.187,430.572,264.433,134.565,180.931,628.972,445.02,615.484,415.065,240.435,315.826,412.766,95.85,19.912,274.346,476.605,86.899,450.659,60.227,381.756,596.465,281.683,374.687,438.44,542.201,375.362,389.324,619.254,341.85,74.682,207.916,525.386,267.996,597.88,0,322.402,306.145,288.51,185.148,406.698,285.434,143.628,398.569,605.967,133.377,197.727,355.365,230.673,416.589,266.958,336.616,97.63,332.551,452.623,176.59,160.898,209.744,69.357,363.444,378.303,209.181,186.455,32.108,565.778,155.137,98.417,380.845,129.357,141.677
"Morgan",307.594,192.706,124.283,395.711,111.348,275.958,121.526,71.071,288.516,80.046,127.202,304.171,125.495,133.535,41.403,293.695,299.024,48.468,127.251,346.489,78.691,271.96,54.254,235.696,78.691,142.679,118.3,204.602,401.004,296.389,199.96,221.858,373.882,343.921,301.894,301.066,257.098,205.312,340.104,157.18,326.616,271.488,492.599,124.481,282.595,197.499,248.608,284.519,187.737,258.294,133.093,314.466,206.357,307.597,88.828,190.545,236.852,253.333,58.036,100.456,330.386,312.007,371.363,172.444,309.967,353.439,309.012,322.987,0,57.619,365.856,217.418,271.391,74.34,208.311,155.76,317.099,266.886,148.51,65.43,369.298,201.297,87.682,241.779,349.794,75.415,251.035,268.321,413.062,183.722,378.037,55.902,61.965,461.345,206.943,337.92,189.766,381.551,232.133,208.339,381.521,201.741
"Moultrie",275.148,145.877,158.937,363.265,105.53,243.512,139.189,111.367,228.064,92.361,69.653,232.974,102.548,78.648,19.364,306.01,311.339,82.208,80.38,314.043,58.416,275.351,102.951,203.25,58.416,141.25,130.615,157.773,368.558,273.442,167.514,248.077,341.214,263.036,217.788,268.62,224.652,217.627,317.157,156.192,303.669,187.382,460.153,77.813,191.563,209.814,274.827,252.073,164.79,225.848,161.866,282.02,154.073,284.65,40.384,147.004,213.905,230.386,92.69,77.509,307.439,238.898,383.678,115.478,287.02,320.993,286.065,308.612,58.733,0,333.41,184.972,224.562,48.9,175.865,132.813,294.152,234.44,106.246,28.629,336.852,178.35,47.222,194.95,317.348,38.614,228.088,235.875,380.616,151.276,372.913,101.243,96.619,428.899,174.497,350.235,253.963,349.105,244.448,153.162,349.075,169.295
"Ogle",240.39,208.864,483.704,293.892,273.147,177.171,476.492,363.739,120.573,291.404,300.206,247.012,456.218,248.66,370.712,342.228,332.032,409.113,259.29,244.216,409.414,274.13,379.787,129.848,409.414,264.56,291.42,225.92,138.282,601.915,190.788,248.127,110.415,121.176,263.789,53.104,149.515,356.258,645.63,486.875,632.142,271.17,216.352,309.747,264.994,326.253,256.567,87.852,426.175,192.523,492.514,236.827,358.124,613.123,290.953,285.188,414.808,558.859,417.217,431.179,635.912,90.839,329.666,220.314,501.754,20.305,614.538,287.588,364.257,331.255,0,148.033,183.001,298.862,249.812,413.055,622.625,140.547,222.837,397.22,65.19,392.957,292.068,136.386,247.975,341.821,428.991,144.912,225.648,190.388,303.54,405.299,420.158,227.22,162.638,289.931,582.436,144.077,325.038,357.213,279.702,202.163
"Peoria",154.9,156.624,335.947,243.017,125.39,75.185,328.735,215.982,74.625,143.647,152.449,243.721,308.461,100.903,222.955,268.861,259.443,261.356,111.533,193.795,261.657,201.541,232.03,18.822,261.657,116.803,143.663,168.52,184.13,454.158,48.533,174.267,179.871,149.91,259.183,84.192,54.993,208.501,497.873,339.118,484.385,243.676,290.861,161.99,241.377,193.772,171.648,67.645,278.418,105.6,344.757,161.772,210.367,465.366,143.196,203.298,267.051,411.102,269.46,283.422,488.155,119.563,317.127,72.557,353.997,136.565,466.781,186.963,216.5,183.498,148.982,0,166.689,151.105,102.055,265.298,474.868,62.605,75.08,249.463,152.424,245.2,144.311,117.428,197.1,194.064,281.234,51.447,194.85,42.631,252.665,257.542,272.401,273.068,18.285,273.482,434.679,189.925,218.813,209.456,228.827,59.908
"Perry",375.257,81.76,358.734,463.374,272.034,245.789,340.2,332.163,105.663,255.638,160.373,80.001,299.652,193.411,242.388,442.78,433.362,314.723,209.503,414.152,258.7,375.46,293.957,179.297,258.7,290.722,294.251,75.306,273.258,394.299,267.623,348.186,118.863,97.456,78.864,168.025,225.597,381.263,438.014,361.993,424.526,102.849,362.793,169.914,96.673,373.45,374.936,166.752,247.881,325.957,362.877,382.129,204.987,405.507,190.442,137.133,170.406,351.243,323.93,277.793,428.296,91.949,491.046,201.271,265.957,182.612,406.922,408.721,270.97,223.023,183.214,166.648,0,239.029,275.974,259.918,415.009,233.209,222.058,233.336,211.287,191.061,191.637,49.245,417.457,211.512,193.194,212.382,360.624,215.665,473.022,312.012,326.871,362.196,238.288,447.401,374.82,279.053,408.084,204.076,449.184,269.404
"Piatt",242.211,161.061,190.967,330.328,59.751,210.575,188.619,72.288,214.033,43.99,111.056,248.158,168.345,62.538,60.102,257.639,262.968,116.376,56.341,281.106,121.541,197.683,89.605,170.313,121.541,91.082,82.244,172.957,335.621,339.239,134.577,170.261,356.398,278.22,263.62,235.683,191.715,169.256,382.954,199.002,369.466,248.113,427.216,119.055,245.814,161.443,197.011,219.136,230.587,192.911,199.777,249.083,214.804,350.447,62.437,207.735,271.488,296.183,124.48,143.306,373.236,239.14,335.307,98.36,358.434,288.056,351.862,230.944,71.52,48.899,300.473,152.035,239.746,0,142.928,198.61,359.949,201.503,89.128,77.528,303.915,244.147,39.537,210.134,284.411,86.075,285.671,202.938,347.679,118.339,341.981,112.562,127.421,395.962,141.56,301.864,319.76,316.168,196.077,213.893,316.138,136.358
"Pike",140.244,198.759,329.34,228.361,80.443,108.608,322.128,209.375,173.749,137.04,194.584,285.856,301.854,94.296,216.348,172.929,163.511,254.749,104.926,179.139,255.05,105.609,225.423,120.929,255.05,46.795,93.784,210.655,232.036,472.748,30.73,78.335,278.995,249.034,301.318,186.299,89.748,112.123,516.463,332.511,502.975,285.811,325.249,186.572,283.512,97.84,105.085,169.752,320.553,90.944,338.15,147.116,252.502,483.956,152.429,245.433,309.186,429.692,262.853,276.815,506.745,218.687,221.195,78.662,396.132,238.672,485.371,138.87,209.893,176.891,251.089,102.651,277.444,144.498,0,269.315,493.458,99.536,68.473,242.856,227.029,287.335,137.704,207.362,182.444,203.297,323.369,117.237,245.712,80.49,227.869,250.935,265.794,293.995,62.678,177.55,453.269,214.201,122.881,251.591,214.171,28.363
"Pope",368.02,181.276,156.041,456.137,234.063,336.384,120.965,220.931,267.87,202.761,103.26,203.027,64.54,174.743,130.645,416.41,421.739,135.629,196.934,406.915,77.802,368.223,200.422,283.408,77.802,265.394,241.015,165.151,448.716,187.571,260.386,340.949,376.613,318.463,200.75,348.778,317.524,328.027,231.286,119.161,217.798,170.344,555.447,100.539,181.451,320.214,367.699,332.231,35.979,318.72,146.037,374.892,87.599,198.779,117.629,116.707,135.708,144.515,163.391,61.764,221.568,294.325,494.078,203.88,150.88,401.151,200.194,401.484,155.441,132.876,413.568,265.13,259.961,197.055,268.737,0,208.281,327.312,202.341,104.251,417.01,100.153,144.068,250.377,410.22,101.018,100.302,316.033,473.488,244.753,500.752,192.856,166.332,521.771,267.376,460.635,168.092,454.511,354.848,89.581,441.947,262.167
