"","Adams","Barnes","Benson","Billings","Bottineau","Bowman","Burke","Burleigh","Cass","Cavalier","Dickey","Divide","Dunn","Eddy","Emmons","Foster","Golden Valley","Grand Forks","Grant","Griggs","Hettinger","Kidder","LaMoure","Logan","McHenry","McIntosh","McKenzie","McLean","Mercer","Morton","Mountrail","Nelson","Oliver","Pembina","Pierce","Ramsey","Ransom","Renville","Richland","Rolette","Sargent","Sheridan","Sioux","Slope","Stark","Steele","Stutsman","Towner","Traill","Walsh","Ward","Wells","Williams"
"Dickey",168.25,96.483,132.117,182.283,222.5,267.617,263.35,121.733,109.217,199.65,0,49.7,218.583,124.067,108.7,83.933,202.017,166.85,101.683,83.85,248.4,86.45,27.367,194.333,101.95,82.55,105.133,156.267,157.817,124.467,238.267,50.067,308.25,220.017,75.183,151.067,93.383,244.083,282.433,201.767,78.783,20.283,304.9,244.117,197.733,86.45,45.85,190.767,133.85,187.767,279.3,143.467,141.5
"Divide",171.517,91.433,163.017,185.567,253.417,298.517,294.267,152.633,103.117,197.383,48.9,0,249.483,133.45,122.65,114.85,232.933,161.783,51.983,87.117,283.533,117.367,22.033,225.25,111.35,80.783,136.033,187.167,188.733,155.367,269.167,45,339.167,214.95,78.45,180.9,43.683,274.983,313.333,233.283,30.55,48.233,335.817,275.017,228.65,117.367,76.767,221.667,128.8,182.85,310.2,174.367,144.767
"Dunn",316.867,252.5,239.467,306.367,231.717,99.717,125.05,106.85,265.217,350.933,219.817,250.067,0,248.933,160.4,199.133,46.05,328.917,302.05,242.25,94.2,139.367,234.483,159.65,233.167,214.1,120.117,94.35,126.55,140.85,113.217,226,142.083,381.333,227.583,258.683,293.75,191.65,177.733,244.533,279.15,223.717,95.65,76.217,28.833,139.367,179.55,198.25,289.867,346.167,154.467,198.95,288.9
"Eddy",74.633,134.5,48.717,89.567,134.817,310.217,209.95,164.333,142.183,117.867,124.817,133.5,249.033,0,178.5,50.317,206.8,97.517,184.833,51.617,291.017,128.367,132.917,138.05,24.867,176.35,147.733,152.617,124.2,167.067,181.967,109.433,254.85,148.267,64.25,50.1,177.883,174.583,229.033,104.3,162.583,117.133,294.283,286.717,240.35,128.367,92.717,107.317,105.333,106.933,225.883,87.167,48.767
"Emmons",239.617,168.567,169.167,245.95,197.65,209.867,220.683,63.983,181.3,271.033,109.533,123.5,160.833,178.633,0,128.833,144.283,238.933,167.433,155.217,189.167,55.433,101.8,151.667,162.417,55.7,47.383,98.517,102.933,44.25,178.617,142.083,265.583,292.1,143.65,188.383,159.15,201.4,239.767,190.767,144.05,125.883,247.167,186.367,139.983,55.433,95.633,148.083,205.933,259.15,236.617,128.65,212.867
"Foster",116.5,116.5,48.383,118.267,138.783,260.117,179.633,114.233,129.233,158.9,83.817,114.067,198.917,49.8,128.383,0,156.7,129.783,166.067,43.1,240.9,78.25,98.483,110.617,34.017,129.5,97.633,102.517,74.1,116.967,154.533,90.017,224.517,182.933,55.917,67.333,157.767,160.35,198.7,118.05,143.167,87.717,266.85,236.617,190.233,78.25,48.833,107.033,109.65,147.017,195.567,59.733,89.767
"Golden Valley",272.867,235.417,196.683,266.917,192.267,140.267,153.55,89.783,248.15,311.483,202.733,232.983,46.617,206.167,143.317,156.35,0,286.15,284.983,199.467,120.383,122.3,217.4,120.05,190.383,197.017,103.05,53.95,83.767,123.783,126.4,208.933,170.6,341.883,203.667,215.9,276.683,152.2,190.667,205.083,262.083,206.633,124.167,116.767,70.383,122.3,162.483,158.8,266.017,303.383,182.983,156.167,246.133
"Grand Forks",80.167,78.067,120.467,117.5,196.75,370.633,271.883,224.75,76.767,74.55,166.4,159.233,328.667,97.517,238.917,129.95,286.433,0,131.617,86.933,351.433,189.483,164.583,217.983,106.183,232.2,208.15,232.267,203.833,227.483,264.917,132.85,316.783,66.033,117.767,113.85,145.35,236.517,290.967,166.233,163.867,157.533,377.233,347.133,300.75,189.483,148.883,169.25,39.917,45.317,287.817,171.35,68.35
"Grant",199.367,72.867,215.317,236.083,305.7,353.267,346.55,204.933,75.033,193.75,101.183,52.1,301.783,184.917,167.283,167.133,285.217,132.067,0,133.75,315.017,169.65,74.333,277.533,162.8,112.267,188.333,239.467,241.017,208.717,321.467,91.433,391.45,185.233,130.75,231.567,13.733,327.283,365.633,283.95,36.783,100.517,388.1,327.317,280.933,169.65,129.05,273.967,99.7,164.5,362.5,226.667,186.067
"Griggs",88.817,83,91.817,103.9,182.133,286.833,223.067,140.95,95.283,115.667,83.55,87.833,242.35,51.783,155.1,43.65,200.117,86.8,133.333,0,267.617,105.667,90.467,154.05,29.683,148.4,124.35,145.95,117.517,143.683,197.967,63.767,267.95,139.967,31.45,99.233,126.383,203.783,242.133,151.617,116.917,74.683,310.283,263.333,216.95,105.667,65.067,150.467,66.683,103.783,239,103.167,63.1
"Hettinger",351.733,280.683,281.267,358.067,295.933,38.233,218.45,135.033,293.417,383.133,248,282.717,93.533,290.75,189.633,240.95,120.367,351.05,314.233,267.333,0,167.55,262.667,228.517,274.533,204.333,148.317,154.033,183.05,169.033,206.633,254.183,224.967,404.2,255.767,300.5,305.933,260.65,271.133,302.867,290.833,251.9,178.517,58.2,64.933,167.55,207.75,258.35,318.05,371.25,247.883,240.75,324.983
"Kidder",189.017,117.967,117.917,194.717,154.183,187.417,195.033,41.533,130.683,220.417,85.283,115.533,138.383,127.4,55.683,77.6,121.817,188.317,167.517,104.617,168.2,0,99.933,126.017,111.817,88.85,24.933,76.067,77.2,44.267,156.167,91.467,239.917,241.483,93.05,137.15,159.217,175.75,214.1,139.533,144.617,89.183,224.7,163.9,117.533,0,45.017,122.433,155.333,208.533,210.967,77.417,162.267
"LaMoure",174.15,93.917,146.55,188.2,236.95,282.05,277.8,136.167,106.65,205.55,26.85,22.333,233.017,132.9,100.75,98.383,216.467,164.283,74.317,89.75,262.85,100.9,0,208.783,110.8,74.583,119.567,170.7,172.267,142.183,252.7,47.5,322.7,217.45,81.083,165.517,66.017,258.517,296.867,216.217,51.417,26.183,319.35,258.55,212.183,100.9,60.3,205.2,131.283,185.333,293.733,157.9,147.4
