"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Charles Mix",289.989,178.5,298.404,69.113,291.432,284.203,180.303,647.723,191.919,225.674,0,278.103,154.249,308.952,225.979,527.187,108.736,282.844,342.98,629.237,35.22,291.366,474.658,253.98,153.735,97.959,346.505,346.677,185.495,114.164,693.287,270.825,81.704,222.12,16.997,133.849,92.853,220.28,310.665,30.345,60.396,165.716,376.008,156.536,331.283,504.604,249.437,170.568,189.526,271.844,371.539,465.145,71.577,320.74,452.664,139.181,176.592,262.242,110.992,202.865,58.817,142.307,290.138,377.254,112.425,429.846
"Clark",135.91,97.452,511.799,271.713,130.427,126.991,298.251,546.674,397.918,147.217,277.947,0,308.663,51.336,222.996,594.663,183.255,4.749,92.665,687.403,242.727,164.006,616.651,126.62,245.707,337.637,394.446,83.494,142.929,179.889,592.238,253.35,232.481,177.79,276.114,163.435,337.152,68.888,50.294,276.929,232.238,270.296,146.216,155.605,186.353,534.627,89.921,136.852,215.953,169.307,584.934,532.621,287.263,193.38,147.016,136.55,294.54,258.963,330.685,408.864,236.91,263.437,144.846,249.894,254.346,337.53
"Clay",184.572,276.876,445.074,89.358,186.015,420.932,11.594,814.638,338.589,392.589,156.882,309.454,0,260.099,118.167,694.102,190.187,304.704,237.563,796.152,172.208,463.684,716.09,420.895,74.485,239.19,513.42,241.26,352.41,185.269,860.202,437.74,110.25,389.035,173.88,273.13,234.084,229.204,271.653,136.424,165.229,332.631,407.964,142.487,484.148,671.519,390.151,212.803,100.247,166.427,518.209,632.06,101.159,487.655,347.247,247.525,22.718,429.157,281.208,349.535,133.612,52.954,445.076,548.786,41.662,596.761
"Codington",86.582,145.64,561.329,317.156,81.099,154.26,248.923,598.007,447.448,198.55,309.668,51.341,259.335,0,173.668,645.996,205.798,46.591,43.337,738.736,273.687,199.043,667.984,177.953,196.379,386.852,445.779,34.166,194.262,201.167,643.571,304.683,229.246,229.123,325.378,207.882,386.367,91.431,7.791,302.444,251.741,319.826,156.374,152.37,222.721,585.96,126.289,159.395,166.625,119.979,634.464,583.954,306.766,244.713,95.657,184.738,245.212,310.296,379.9,458.394,256.413,214.109,181.214,286.932,288.174,388.863
"Corson",97.443,209.852,505.343,176.369,98.886,333.803,108.136,747.614,391.462,325.565,211.326,222.325,118.548,172.97,0,627.078,123.163,217.575,150.434,729.128,175.345,376.555,649.066,353.871,55.592,297.306,446.396,154.131,285.386,118.245,793.178,370.716,128.086,322.011,235.832,206.106,296.821,162.18,184.524,200.616,153.399,265.607,320.835,75.463,397.019,604.495,303.022,145.779,20.874,49.85,578.478,565.036,197.415,420.631,260.118,180.501,104.425,362.133,290.354,402.408,153.064,73.322,357.947,461.657,147.387,529.737
"Custer",691.429,539.46,226.057,595,692.872,598.256,702.936,255.575,383.43,458.717,526.893,595.603,713.348,646.931,627.419,0,507.715,600.344,744.42,102.049,519.336,554.942,49.76,501.397,636.468,453.041,201.582,748.117,456.085,515.604,301.139,344.607,583.084,419.218,509.895,475.611,473.171,592.076,645.889,553.538,529.43,362.897,692.751,564.737,594.073,112.456,566.345,566.48,620.638,673.284,152.9,66.784,594.77,435,854.104,500.158,699.225,339.548,431.873,344.756,560.197,641.122,557.589,482.662,650.241,309.403
"Davison",187.512,84.287,385.512,91.059,188.955,236.629,199.019,627.783,271.631,205.734,109.511,183.276,209.431,205.814,123.502,507.247,0,178.526,240.503,609.297,73.53,271.426,529.235,234.04,132.551,177.475,326.565,244.2,165.555,9.848,673.347,250.885,79.143,202.18,116.001,86.275,176.99,114.387,204.772,102.287,51.584,145.776,279.644,53.76,295.991,484.664,201.863,59.408,116.721,169.367,458.647,445.205,106.609,300.8,350.187,54.936,195.308,242.302,170.523,282.577,56.256,137.205,270.198,357.314,134.371,409.906
"Day",131.16,102.193,516.54,266.963,125.677,131.732,293.501,551.415,402.659,151.958,282.688,4.749,303.913,46.586,218.246,599.404,178.505,0,87.915,692.144,247.468,168.747,621.392,131.361,240.957,342.378,399.187,78.744,147.67,175.139,596.979,258.091,227.731,182.531,280.855,168.176,341.893,64.138,45.544,278.191,227.488,275.037,141.466,150.855,191.094,539.368,94.662,132.102,211.203,164.557,589.675,537.362,282.513,198.121,142.266,141.291,289.79,263.704,335.426,413.605,232.16,258.687,149.587,254.635,249.596,342.271
"Deuel",64.678,162.551,622.183,295.252,59.195,204.284,227.019,639.472,508.302,240.015,328.166,92.806,237.431,43.451,151.764,743.918,240.003,88.056,0,845.968,292.185,247.036,765.906,219.418,174.475,414.146,563.236,24.589,226.676,235.085,685.036,339.75,246.969,264.19,352.672,224.793,413.661,108.342,55.005,319.499,270.239,382.447,191.316,192.303,267.5,721.335,173.503,178.726,144.721,98.075,695.318,681.876,316.298,286.178,130.599,201.649,223.308,345.363,407.194,519.248,271.947,192.205,228.428,332.138,266.27,430.328
"Dewey",793.465,641.496,281.958,697.036,794.908,657.944,804.972,295.096,416.414,551.18,628.929,688.066,815.384,739.394,729.455,102.035,609.751,692.807,846.456,0,621.372,614.63,107.413,561.085,738.504,487.829,303.618,850.153,548.548,617.64,340.66,437.07,685.12,511.681,611.931,577.647,507.985,694.112,743.17,655.574,631.466,464.933,738.518,666.773,638.43,153.418,624.684,668.516,722.674,775.32,208.801,168.82,696.806,494.688,798.767,602.194,801.261,432.011,469.395,377.74,662.233,743.158,613.34,528.016,752.277,350.395
