"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Lincoln",211.117,107.283,131.4,316.383,75,200.367,45.733,32.017,210.817,73.367,264.75,204.717,140.767,279.417,136.417,295.35,120.033,190.9,148.367,89.6,115.45,70.483,132.767,67.767,121.467,121.4,99.067,153.467,259.883,138.55,297.867,64.9,158.883,130.383,396.783,369.7,156.283,447.167,126.267,42.717,0,116.317,311.833,116.317,113.2,70.567,108.4,147.933,218.233,93.817,77.283,25.017,81.067,192.2,101.8,226.35,306.333,156.733,122.383,338.817,178.6,115.433,329.55,94.383,110.633,156.317,110.517,433.433,200.367,116.25,45.817,225.85,142.767,62.35,198.283,432.15,272.8,36.567,151.85,226.5,48.033,39.817,25.683,252.4,149.067,229.917,127.817
"Lyon",240.25,179.067,158.967,251.133,131.733,98.9,138.033,95.4,272.633,147.467,256.75,117.783,212.933,254.55,146.867,357.167,20.867,193.883,250.55,191.783,188.417,172.667,227.033,166.767,203.917,194.183,171.233,255.65,235.533,205.8,268.183,98.55,193.117,82.417,316.167,399.567,53.95,397.8,182.383,126.183,115.583,0,251.433,0,89.583,116.85,108.417,178.567,249.1,183.133,39.783,114.983,75.217,254.017,203.983,160.317,297.717,228.9,47.5,273.567,123.45,187.217,320.733,169.667,54.667,159.3,39.967,368.867,104,175.2,107.2,287.667,145.767,164.533,101.933,401.067,242.033,126.183,249.15,194.533,150.217,142,100.233,168.9,251.25,272.083,37.4
"Mahnomen",176.033,222.017,188.367,49.6,257.55,185.717,350.883,282.5,227.267,251.417,89.317,150.433,262.283,69.5,185.833,214.783,238.633,140.233,363.783,307.683,277.75,278.383,348.183,324.083,294.967,253.85,235.65,368.867,88.217,229.533,44.433,333.567,203.6,205.4,139.3,187.417,202.167,166.8,212.833,277.967,310.133,250.567,0,250.567,285,248.983,215.867,194.467,174.233,328.367,290.05,293.167,325.483,253.067,317.217,99.9,108.7,238.217,272.9,60.783,151.15,221.467,98.7,255.25,237.683,158.233,288.383,133.65,158.55,206.15,278.4,234.683,174.267,290.017,171.9,170.05,72.867,289.667,335.483,86.083,301.583,303.8,308.55,114.467,367.667,206.4,224.25
"Marshall",240.25,179.067,158.967,251.133,131.733,98.9,138.033,95.4,272.633,147.467,256.75,117.783,212.933,254.55,146.867,357.167,20.867,193.883,250.55,191.783,188.417,172.667,227.033,166.767,203.917,194.183,171.233,255.65,235.533,205.8,268.183,98.55,193.117,82.417,316.167,399.567,53.95,397.8,182.383,126.183,115.583,0,251.433,0,89.583,116.85,108.417,178.567,249.1,183.133,39.783,114.983,75.217,254.017,203.983,160.317,297.717,228.9,47.5,273.567,123.45,187.217,320.733,169.667,54.667,159.3,39.967,368.867,104,175.2,107.2,287.667,145.767,164.533,101.933,401.067,242.033,126.183,249.15,194.533,150.217,142,100.233,168.9,251.25,272.083,37.4
"Martin",318.367,214.533,242.517,270.967,182.233,148.7,104.367,128.05,318.067,180.617,340.283,196.9,248,315.833,230.417,402.6,104.417,277.433,222.983,186.283,217.667,171.2,193.367,133.083,216.517,228.633,206.317,228.083,319.067,245.783,318.117,64.883,266.133,165.95,327.133,464.767,139.083,408.767,233.517,149.967,111.817,89.4,283.617,89.4,0,175.983,191.967,255.183,325.483,149.45,76.833,132.267,40.983,299.45,186.567,217.033,381.267,263.983,41.733,280.433,206.783,222.683,378.65,201.633,138.217,242.85,55.917,379.817,178.4,223.5,153.067,333.1,229.317,158.55,169.233,412.017,296.9,143.8,232.017,278.083,155.267,147.067,94.7,183.1,223.683,337.167,120.933
"McLeod",169.75,68.3,82.6,255.133,20.967,158.133,106.533,51,172.217,36.133,203.483,149.517,102.15,218.15,70.5,256.75,101.4,129.633,175.85,119.75,89.817,86.65,160.25,113.667,107.017,83.417,60.467,180.933,198.617,99.55,236.617,126.817,117.517,71.733,335.533,331.1,114.05,385.917,84.9,50.767,70.2,117.783,250.583,117.783,175.133,0,46.967,106.567,176.867,134.883,132.067,46.933,143,153.6,129.267,165.083,245.083,118.133,160.45,277.567,120.7,76.45,268.283,63.517,63.55,95.05,152.917,372.183,152.683,74.883,32.167,187.25,81.517,100.033,156.05,370.883,211.533,51.15,147.833,165.25,85.7,71.583,87.617,191.133,176.533,191.317,85.317
"Meeker",147.817,90.55,63.233,213.9,65.217,123.267,148.05,79.667,180.217,80.4,175.317,104.017,124.883,193.083,51.133,264.733,92.117,101.467,210.067,153.95,124.017,120.85,194.45,157.067,141.233,109.1,82.05,215.15,174.067,113.367,206.717,153.067,100.7,26.233,294.3,319.917,90.367,357.733,96.833,94.55,107.283,109.333,216,109.333,194.083,45.95,0,86.133,156.667,170.85,143.983,90.333,166.35,161.6,163.483,123.867,216.9,140.867,152,236.333,75.2,98.7,240.117,97.733,66.733,66.883,144.467,344.583,114.983,86.2,75.567,195.233,53.333,132.5,120.317,342.717,180.567,94.55,182.05,133.067,129.1,114.983,111.2,149.917,210.75,179.667,75.3
"Mille Lacs",69.883,49.55,42.35,228.567,88.2,181.917,180.967,149.817,96.9,82.083,144.3,134.267,77.217,162.217,47.267,181.433,163.417,73.7,192.733,136.633,106.7,109.033,177.133,154.75,123.917,82.8,66.3,197.817,142.683,44.467,180.683,207.25,17.4,104.2,308.983,255,161.667,318.3,30.417,108.633,148.333,180.633,194.633,180.633,255.567,105.567,92.2,0,77.017,159.033,215.283,134.05,223.417,78.3,146.15,138.533,185.8,53.55,223.3,251.017,105.45,49,212.35,85.917,141.317,37.4,215.767,316.25,153.283,36.433,129.483,111.933,34.767,120.683,166.133,303.267,155.6,120.317,164.417,109.317,132.25,134.467,168.033,164.583,196.6,96.35,146.6
"Morrison",9.567,122.1,118,219.133,160.75,241.95,253.517,220.983,65.767,154.633,85.017,183.767,134.733,126.15,122.917,136.967,234.583,59.717,265.283,209.183,179.25,181.583,249.683,227.3,196.467,151.15,138.867,270.367,108.617,105.1,130.55,279.8,70.433,175.367,290.95,178.267,232.817,241.583,102.967,181.183,220.9,251.8,175.45,251.8,328.117,178.117,163.35,77.45,0,231.583,286.45,206.6,295.967,80.6,218.717,157.033,110.683,97.017,294.467,211.467,163.783,121.55,159.9,158.467,212.483,96.717,286.917,261.4,208.283,108.983,202.033,81.333,110.433,193.233,221.117,226.55,122.267,192.883,236.967,101.833,204.8,207.017,240.583,188.5,269.167,33.933,217.767
"Mower",220.967,117.7,141.25,333.767,117.633,275.267,57.667,108.017,207.483,106,282.783,239.45,137.433,297.45,142.583,292.017,196.35,208.917,79.35,46.8,92.567,57.533,49.717,36.333,72.867,117.133,99.167,84.433,277.9,141.567,315.9,93.15,168.733,196.183,414.167,366.367,231.183,465.2,136.117,99.5,93.067,182.35,329.867,182.35,150.367,134.333,170.483,157.783,228.083,0,151.9,88.783,119.033,188.883,42.917,243.717,324.367,153.417,171.017,356.2,210.633,125.85,347.567,86.15,185.75,174.35,171.233,451.467,258.483,126.1,109.6,222.517,157.45,41.617,271.317,450.167,290.833,93.717,88.367,244.533,54.283,78.167,100.783,269.783,80.033,226.6,202.717
"Murray",272.533,179.15,191.25,288.833,147.9,136.6,107.733,86.767,282.683,145.233,289.033,155.483,212.617,286.833,179.15,367.217,53.15,226.167,220.233,161.45,187.317,142.35,196.733,136.467,193.333,193.25,170.933,225.317,267.817,210.4,300.467,67.417,225.417,114.7,345.083,431.85,91.65,426.717,198.117,114.583,76.433,39.167,289.133,39.167,76.667,133,140.7,210.85,281.383,152.833,0,96.883,44.217,264.067,173.65,198.017,330,228.6,47,298.4,155.533,187.3,353.017,166.25,86.95,191.6,33.367,397.767,141.7,188.1,116.283,297.717,178.05,134.217,139.633,429.983,274.317,108.417,223.717,226.817,119.883,111.683,61.067,206.6,220.917,304.367,69.683
