county,population,area,,,,,,,,,,,,,,,,,,,,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Santa Cruz,273213,446,,,,,,,,,,,,,,,,,,,,253.367,368.142,196.01,670.607,416.004,69.058,184.709,652.444,608.327,287.675,493.893,641.612,235.641,121.077,641.136,749.561,118.433,223.986,264.123,88.365,413.952,52.278,0,453.771,57.092,597.3,170.907,190.622,268.656,293.142,381.888,578.981,325.677,259.522,457.972,235.274,273.426
Shasta,180080,3786,,,,,,,,,,,,,,,,,,,,510.756,392.965,452.051,241.748,539.192,517.1,315.338,981.295,937.178,316.228,295.055,970.463,269.505,530.465,969.987,1078.412,357.367,552.837,699.745,388.291,849.574,408.072,453.005,0,403.776,168.441,286.078,326.709,420.045,211.696,80.059,125.209,616.358,455.407,898.154,231.865,209.057
Sierra,3005,953,,,,,,,,,,,,,,,,,,,,249.695,322.24,190.99,620.778,366.175,115.071,134.88,642.086,597.969,237.846,444.064,631.254,185.812,128.436,630.778,739.203,83.476,213.628,297.716,53.408,447.545,16.154,57.607,403.942,0,547.471,121.078,146.251,218.827,243.313,332.059,529.152,315.319,209.693,491.565,185.445,223.597
Siskiyou,43539,6287,,,,,,,,,,,,,,,,,,,,654.495,536.704,595.79,262.231,620.07,660.839,459.077,1125.034,1080.917,459.967,375.933,1114.202,413.244,674.204,1113.726,1222.151,501.106,696.576,843.484,532.03,993.313,551.811,596.744,165.058,547.515,0,429.817,470.448,563.784,355.435,223.798,89.063,760.097,599.146,1041.893,375.604,352.796
Solano,447643,828,,,,,,,,,,,,,,,,,,,,255.869,262,197.164,503.112,388.273,234.531,32.769,729.301,685.184,120.18,326.398,718.469,68.146,247.896,717.993,826.418,74.798,300.843,417.176,105.722,567.005,125.503,170.436,286.276,121.207,429.805,0,44.14,190.859,125.647,214.393,411.486,361.471,200.52,611.025,67.779,105.931
Sonoma,494336,1576,,,,,,,,,,,,,,,,,,,,312.673,208.24,253.968,544.347,429.508,256.285,22.904,754.113,709.996,161.415,367.633,743.281,109.381,269.65,742.805,851.23,70.816,325.655,438.93,104.388,588.759,145.906,190.839,327.511,146.019,471.04,44.647,0,232.769,166.882,255.628,452.721,418.275,242.43,632.779,109.014,147.166
Stanislaus,550660,1495,,,,,,,,,,,,,,,,,,,,124.78,473.05,130.624,507.049,221.698,333.069,221.456,668.008,623.891,199.088,279.719,657.176,149.86,325.72,656.7,765.125,237.254,238.028,442.839,230.732,628.501,224.041,268.974,419.77,219.745,563.299,190.936,232.827,0,228.098,347.887,544.98,297.568,51.083,584.867,188.155,208.733
Sutter,96971,603,,,,,,,,,,,,,,,,,,,,319.537,261.705,260.832,406.843,401.629,357.168,155.406,790.076,745.959,93.431,257.927,779.244,78.286,372.71,778.768,887.193,197.435,361.618,539.813,228.359,689.642,248.14,293.073,211.839,243.844,355.368,126.146,166.777,228.826,0,122.707,337.049,425.139,264.188,706.935,61.578,19.701
Tehama,65084,2951,,,,,,,,,,,,,,,,,,,,439.697,321.906,380.992,296.832,521.789,446.041,244.279,910.236,866.119,197.266,272.395,899.404,198.446,459.406,898.928,1007.353,286.308,481.778,628.686,317.232,778.515,337.013,381.946,79.996,332.717,223.525,215.019,255.65,348.986,122.149,0,205.206,545.299,384.348,827.095,160.806,128.998
Trinity,12285,3179,,,,,,,,,,,,,,,,,,,,636,475.916,577.295,298.58,652.783,642.344,440.582,1106.539,1062.422,441.472,408.646,1095.707,394.749,655.709,1095.231,1203.656,482.611,678.081,824.989,513.535,974.818,533.316,578.249,125.243,529.02,89.054,411.322,451.953,545.289,336.94,205.303,0,741.602,580.651,1023.398,357.109,334.301
Tulare,466195,4824,,,,,,,,,,,,,,,,,,,,198.291,609.07,165.053,828.988,347.276,320.865,407.287,374.159,330.042,395.44,601.658,363.327,346.212,200.762,362.851,471.276,373.274,103.983,205.959,366.752,334.652,323.315,325.191,616.122,313.775,759.651,361.034,418.658,294.686,424.45,544.239,741.332,0,274.569,291.018,384.507,405.085
Tuolumne,54478,2236,,,,,,,,,,,,,,,,,,,,104.729,462.675,110.573,548.294,178.841,293.924,231.107,647.957,603.84,234.993,320.964,637.125,185.765,284.922,636.649,745.074,226.879,217.977,422.788,220.357,608.45,213.666,258.599,455.675,209.37,599.204,200.587,242.478,52.905,264.003,383.792,580.885,277.517,0,564.816,224.06,244.638
Ventura,846006,1846,,,,,,,,,,,,,,,,,,,,487.074,809.494,453.836,1117.913,589.969,423.74,624.605,208.675,160.566,684.365,890.583,197.843,631.503,364.191,197.367,307.318,567.655,371.361,195.292,537.587,44.3,500.333,458.31,899.536,490.793,1043.065,610.803,631.974,583.469,707.864,827.653,1024.746,292.032,563.352,0,667.921,688.499
Yolo,220500,1012,,,,,,,,,,,,,,,,,,,,279.843,277.237,221.138,448.99,361.935,299.402,97.64,750.382,706.265,85.315,291.533,739.55,38.592,312.767,739.074,847.499,139.669,321.924,482.047,170.593,631.876,190.374,235.307,232.154,186.078,375.683,68.38,109.011,189.132,61.609,160.271,357.364,385.445,224.494,667.241,0,41.893
Yuba,78668,630,,,,,,,,,,,,,,,,,,,,300.04,277.733,241.335,413.202,382.132,337.466,135.704,770.579,726.462,84.801,291.019,759.747,58.789,353.213,759.271,867.696,177.733,342.121,520.111,208.657,669.94,228.438,273.371,210.533,224.142,354.062,106.444,147.075,209.329,19.715,129.066,335.743,405.642,244.691,687.438,41.876,0
